,rxns_added
0,LYSTYRILEt
1,H2O2t
2,MCITLm
3,ASNTYRTHRr
4,PYDXO
5,r0686
6,AATA
7,HIBD
8,NAt5
9,HMGLB
10,SACCD2
11,PGMfc
12,H2Ot
13,EX_lystyrile_e
14,PLA2PE_STC_OLE_c
15,C226CPT1
16,NACHY
17,CITt4_1
18,HISD_c
19,AM6SAD
20,EX_lyslyslys_e
21,ILEASNHISt
22,C226CRNt
23,ARTFR42_cho
24,MALEI
25,FAOXC226
26,3HAO
27,KYN3OX
28,LYSLYSLYSt
29,EX_asnpheasp_e
30,FKYNH
31,PPDK
32,GDH1
33,EX_ileargile_e
34,PYRDOX
35,DGTPtmc
36,GMPR
37,DDPGAm
38,PAPA18111Z1819Z
39,ILEARGILEr
40,HIBHr
41,ASNPHEASPr
42,EX_asntyrthr_e
43,LYSLYSLYSr
44,ASPTA6
45,ILEASNHISr
46,ASNPHEASPt
47,NFMLDF
48,GLYO1
49,ACOADH2
50,MMSAD1
51,AASAD2
52,EX_hb_e
53,CITACt
54,ILEARGILEt
55,EX_ileasnhis_e
56,NTRIR3ppc
57,PGCD
58,ALCD19
59,CITL
60,Hfv
61,MCITLmc
62,MALSm
63,HPROym
64,NADDP
65,SACCD1
66,r1602
67,CTECOAI8
68,PSERT
69,NADPPPS
70,ECOAH2c
71,PSP_L
72,ACALDCD
73,4HPRO_LTtm
74,PDYXPT_c
75,EHGLAT2m
76,PCLAD
77,C226CPT2
78,NAPT
79,MTHFD
80,6HNACMO
81,NDH1_3uc
82,HBtr
83,ARTFR213_cho
84,MALS
85,PPM2
86,PUNP4
87,GTHOXti
88,ASNTYRTHRt
89,GTHPe
90,r1400
91,ARTFR41_cho
92,AMCOXO
93,HKYNH
94,NCNt
95,TRPO2
96,METHFtxc
97,LYSTYRILEr
98,MALMDA
99,GTHRDH_syn
