,rxns_added
0,AASAD2
1,SK_trnaser_c
2,GGNG
3,AACPS1_1
4,DPCOAPPe
5,SACCD2
6,NNDPR
7,NTRIR3ppc
8,SK_trnamet_c
9,H2O2t
10,MCOATA_1
11,GLU4ABUTthi
12,SULO
13,MMSAD1
14,SK_trnalys_c
15,HMGLB
16,3HBCOAHL
17,AMCOXO
18,GLBRAN
19,EX_hb_e
20,HIBD
21,FA180ACPHi
22,TAG_HDE_HDE_PALMt_h
23,LYSPHEILEt
24,FE3Ri
25,SK_trnaarg_c
26,GLPASE2
27,AMPt_m
28,GPPSh
29,AM6SAD
30,TRNFE
31,LPEAT_HDE_STC_sn2_c
32,IMPtr
33,EX_ileargile_e
34,EX_hislysile_e
35,R07456
36,CITt4_1
37,HMR_6782
38,SO4HCOtex
39,PTRCtex2
40,LYSLYSLYSt
41,AACPDAGAT_HDE_HDE_PALM_h
42,SK_trnacys_c
43,SK_trnaala_c
44,HISD_c
45,ATAMh
46,ETHAPT_HDE_DHA_c
47,CO2tmt
48,ACOADH2
49,SK_trnatrp_c
50,FAO181p_oddc
51,SK_trnagly_c
52,ACP1619ZD9DS
53,DGTPtmc
54,PGLc
55,PAPA18111Z1819Z
56,GLCt1
57,CHOPT_HDE_STC_c
58,GLPASE1
59,ETHAPT_HDE_STC_c
60,TAGAH_HDE_HDE_PALM_c
61,PSY
62,CYSLY3
63,PSERT
64,r1602
65,HCO3_h_thi
66,FBA
67,FADDP
68,SK_trnapro_c
69,THRTHRARGr
70,H2Otu_syn
71,3HAO
72,ILEARGILEt
73,O2tm
74,GLNGLU
75,3OAS180_h
76,CBFC_u
77,GLUS_ferr
78,ANXANOR
79,OPHHXm
80,34HPLtm
81,ASPTA6
82,NDH1_2u
83,PAPA161
84,SK_trnaphe_c
85,ACP1819ZD9DS_h
86,NADPHtu
87,SK_trnatyr_c
88,EX_thrthrarg_e
89,TMPK
90,CHOPT_HDE_DHA_c
91,ARGDh
92,GLUS_nadph
93,ECOAH12
94,EX_lyspheile_e
95,OCTDPtmt
96,EX_lystyrile_e
97,PAPA_HDE_HDE_h
98,PYDXO
99,EX_thmmp_e
100,HBZOPTm
101,MCITLmc
102,GLDBRAN
103,THMMPt4_1
104,METHFtxc
105,HISLYSILEt
106,FA180h
107,EX_lyslyslys_e
108,AGPATACP_HDE_HDE_h
109,LYSPHEILEr
110,HBtr
111,SK_trnaleu_c
112,ATPSh
113,LYSTYRILEt
114,NTRIR4ppc
115,DTTPt
116,4HBZFm
117,PCLAD
118,GTHPe
119,NADPtu
120,FPPS_h
121,UDPGtnic
122,QUILSYN
123,FA182COAabcpc
124,LYSLYSLYSr
125,CYO1b2_syn
126,ACCOAC_h
127,NCNt
128,ACCOAth
129,GLPASE2a
130,AMPt
131,THRTHRARGt
132,G3PAT1619Z_h
133,FAO182p_oddoddc
134,COUCOAFm
135,H2Ot
136,TRPO2
137,4HBZCOAFm
138,SK_trnathr_c
139,GLUDC
140,Hfv
141,ACP1_FMN
142,T4HCINNMFM
143,EX_fadh2_c
144,PGCD
145,OPHBDCm
146,PLDAGAT_DHA_EPA_DHA_PC_3_c
147,HKYNH
148,SK_trnaval_c
149,GLYC3Pth
150,LPCAT_HDE_STC_sn2_c
151,GTHRDH_syn
152,SK_trnaasn_c
153,FKYNH
154,ILEARGILEr
155,PHEMEtm
156,MTHFC_1
157,3OAS181_1
158,KYN3OX
159,SK_trnaile_c
160,AATA
161,GGPS_h
162,GRDPth
163,PDYXPT_c
164,SK_trnahis_c
165,GLGNS1
166,GTHOXti
167,HISLYSILEr
168,SK_trnaasp_c
169,LYSTYRILEr
170,SK_trnagln_c
171,FA140ACPHi_1
172,IDIh
