,rxns_added
0,SUCOAACTr
1,ASPTA6
2,DHPR
3,HKYNH
4,HMGLB
5,MTHFD
6,HISD_c
7,THRA
8,EX_hb_e
9,PGCD
10,RBK
11,NADDP
12,NNDPR
13,MALS
14,QUILSYN
15,DMBZIDS
16,FAO181p_evenc
17,HCO3E
18,ALDD2y
19,GMPt6
20,SULO
21,LYSLYSLYSr
22,KYN3OX
23,PDYXPT_c
24,TSULR3e
25,HBtr
26,ILELAT1tc
27,SULR3
28,GMPR
29,GLYO1
30,LYSLYSLYSt
31,TSR
32,NMNt7
33,PYDXO
34,PHETHPTOX
35,TRPO2
36,3HAO
37,NMNP
38,IOR2b
39,CYSTBLc
40,MCITLmc
41,METHFtxc
42,EX_lyslyslys_e
43,THRD_L
44,CITt2r
45,FKYNH
46,DHPACCOAHIT
47,ICL
48,r1604
49,r1909
50,PSERT
51,r2018
52,r1907
53,VALt2r
54,O2tmt
55,PSP_L
56,Hfv
57,NADPPPS
58,DBRC
