,rxns_added
0,EX_leu__L_e: leu__L_e <=> 
1,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
2,CO2t: co2_e <=> co2_c
3,NTRIR2xm: 5.0 h_m + 3.0 nadh_m + no2_m --> 2.0 h2o_m + 3.0 nad_m + nh4_m
4,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
5,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
6,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
7,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
8,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
9,EX_his__L_e: his__L_e <=> 
10,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
11,H2Ot: h2o_e <=> h2o_c
12,ORNt: orn_e --> orn_c
13,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
14,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
15,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
16,r2534: thr__L_e --> thr__L_c
17,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
18,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
19,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
20,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
21,AKG_na_tm: akg_c + na1_c --> akg_m + na1_m
22,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
23,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
24,PRAIi: pran_c --> 2cpr5p_c
25,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
26,HIStiDF: his__L_e --> his__L_c
27,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
28,PYRt2m: h_c + pyr_c --> h_m + pyr_m
29,GTHOXti: gthox_e --> gthox_c
30,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
31,r2412: citr__L_m + h_c + orn_c --> citr__L_c + h_m + orn_m
32,CO2tmt: co2_m <=> co2_c
33,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
34,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
35,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
36,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
37,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
38,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
39,DHQS: 2dda7p_c --> 3dhq_c + pi_c
40,CPS_m: 2.0 atp_m + co2_m + h2o_m + nh4_m --> 2.0 adp_m + cbp_m + 3.0 h_m + pi_m
41,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
42,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
43,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
44,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
45,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
46,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
47,OCT: cbp_c + orn_c --> citr__L_c + pi_c
48,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
49,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
50,HACNHm: b124tc_m + h2o_m --> hicit_m
51,OCTm: cbp_m + orn_m --> citr__L_m + pi_m
52,GMPt6: gmp_e + h_e --> gmp_c + h_c
53,NO2tmt: no2_m <=> no2_c
54,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
55,MCITDm: hcit_m --> b124tc_m + h2o_m
56,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
57,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
58,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
59,ALCD19: glyald_c + h_c + nadh_c --> glyc_c + nad_c
60,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
61,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
62,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
63,3MOBtmt: 3mob_m <=> 3mob_c
64,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
65,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
66,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
67,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
68,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
69,CHORM: chor_c --> pphn_c
70,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
71,NTRIR2x: 5.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c
72,ARGSL: argsuc_c --> arg__L_c + fum_c
73,LEUtec: leu__L_e --> leu__L_c
74,EX_thr__L_e: thr__L_e <=> 
75,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
76,TRPAS1: cys__L_c + h2o_c --> h2s_c + h_c + nh4_c + pyr_c
77,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
78,H2O2t: h2o2_e <=> h2o2_c
