,rxns_added
0,lipid10
1,SK_trnaasn_c
2,GLPASE1
3,PTRCtex2
4,G3PAT141
5,SACCD1
6,NH4t
7,SK_trnahis_c
8,AGPATCOA_MYRS_MYRS_c
9,GMPR
10,DAGK141
11,DAGK160
12,AASAD2
13,GLDBRAN
14,LYSTYRILEt
15,HISD_c
16,NADK
17,VALTA
18,G3PAT120
19,PSERT
20,NNDPR
21,ACOAR6mc
22,ACOAR4mc
23,FACOAE180
24,H2O2t
25,MCITLmc
26,AGPATCOA_PALM_PALM_c
27,pail_uptake
28,EX_ileargile_e
29,HMR_2190
30,KYN3OX
31,R07456
32,AATA
33,PEFLIP
34,AM6SAD
35,DXPRIi
36,lipid3
37,FADDP
38,RTOT4_cho
39,HMR_6782
40,GLCt1
41,FKYNH
42,ACOADH2
43,4HBZFm
44,GLPASE2
45,HCO3E
46,AMCOXO
47,LYSLYSLYSr
48,CYSTRS
49,HBZOPTm
50,HIBD
51,SK_trnaala_c
52,DAGAH_STC_STC_c
53,LYSPHEILEr
54,34HPLtm
55,DAGK180
56,FACOAE120
57,OCTDPtmt
58,GTHRDH_syn
59,EX_ptd1ino_e
60,PHEMEtm
61,SACCD2
62,SULR_1
63,PDYXPT_c
64,HMGLB
65,FADH2tm
66,PLDPE_PALM_PALM_c
67,T4HCINNMFM
68,H2SO
69,SK_trnapro_c
70,PAPA1819Z1819Z
71,MI1PP
72,HOCDACBP
73,HDCAt
74,ILEARGILEt
75,FE3Ri
76,PTD1INOt
77,SK_trnaasp_c
78,SK_trnacys_c
79,SK_trnalys_c
80,SK_trnaleu_c
81,OCTDPS
82,HBtr
83,PINOS
84,SK_trnagly_c
85,GLGNS1
86,MMSAD1
87,MEPCT
88,EX_lystyrile_e
89,4HBZCOAFm
90,QUILSYN
91,OPHHXm
92,SK_trnatyr_c
93,ALCD19y
94,r1636
95,ARTFR41_cho
96,GLBRAN
97,PLDPE_STC_STC_c
98,GTHPe
99,SK_trnaarg_c
100,ASNTYRTHRt
101,SK_trnaser_c
102,G3PAT161
103,O2tm
104,EX_asntyrthr_e
105,UDPGtnic
106,MAGAH180
107,LYSTYRILEr
108,CYSLY3
109,PAPA181
110,EX_lyslyslys_e
111,SK_trnaphe_c
112,ILEARGILEr
113,GLNGLU
114,METHFtxc
115,THMMPt4_1
116,ALCD19
117,TMPK
118,PSP_L
119,G3PAT140_c
120,HKYNH
121,ASPTA6
122,GLPASE2a
123,EX_fadh2_c
124,lipid2
125,3HAO
126,ASNTYRTHRr
127,EX_thmmp_e
128,Hfv
129,COUCOAFm
130,EX_pail_e
131,GMPt6
132,PGCD
133,SK_trnagln_c
134,FAOXC18C18OHm
135,FBA
136,PIPLC
137,MAGAH160
138,lipid4
139,lipid5
140,CTECOAI8
141,PPDK
142,SK_trnaval_c
143,UREA
144,EX_hb_e
145,ACOAR5mc
146,OPHBDCm
147,G3PAT160_1
148,SK_trnaile_c
149,TRPO2
150,PGLc
151,LYSLYSLYSt
152,H2Ot
153,HIBHr
154,DAGAH_PALM_PALM_c
155,ACOAR3mc
156,EX_lyspheile_e
157,NTRIR3ppc
158,LYSPHEILEt
159,FACOAE141
160,SK_trnamet_c
161,GLUth
162,SK_trnathr_c
163,PCLAD
164,PYDXO
165,ACP1_FMN
166,GTHOXti
167,RBK
168,ECOAH2c
169,GGNG
170,CO2tmt
171,SK_trnatrp_c
172,PLDPE_MYRS_MYRS_c
