,rxns_added
0,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
1,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
2,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
3,ASPtmt: asp__L_m <=> asp__L_c
4,trna_met: trnamet_c <=> 
5,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
6,TRPAS1: cys__L_c + h2o_c --> h2s_c + h_c + nh4_c + pyr_c
7,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
8,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
9,Htu: h_h --> h_u
10,ACSERL_c: acser_c + seln_c --> ac_c + selcys_c
11,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
12,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
13,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
14,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
15,trna_cys: trnacys_c <=> 
16,H2Ot: h2o_e <=> h2o_c
17,LEUtec: leu__L_e --> leu__L_c
18,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
19,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
20,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
21,trna_asn: trnaasn_c <=> 
22,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
23,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
24,trna_lys: trnalys_c <=> 
25,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
26,trna_arg: trnaarg_c <=> 
27,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
28,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
29,ACOAD2: h_c + hx2coa_c + nadh_c --> hxcoa_c + nad_c
30,FORthi: for_h + h_h --> for_c + h_c
31,FldAct: fald_c + thf_c --> h2o_c + mlthf_c
32,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
33,ARTPLM1: Rtotalcoa_c --> pmtcoa_c
34,ACSERthi: acser_h --> acser_c
