,rxns_added
0,SULR_1
1,PLIPA2E120
2,NTRIR4ppc
3,FACOAE180
4,ACCOAtm_1
5,ILEARGILEr
6,LYSTYRILEr
7,O2tm
8,SK_trnatrp_c
9,PAPA161
10,lipid4
11,ACITL
12,EX_ileargile_e
13,GTHRDH_syn
14,SK_trnaser_c
15,PAPA_OLE_PALM
16,KYN3OX
17,SK_trnaarg_c
18,NH4t
19,PHEPHETHRt
20,RTOT2_cho
21,AMCOXO
22,SK_trnaval_c
23,DAGK160
24,HIBD
25,OCTDPtmt
26,AATA
27,PTD1INOt
28,TRPO2
29,UDPGtnic
30,GLPASE2a
31,GMPR
32,METHFtxc
33,ICL
34,SK_trnacys_c
35,GGNG
36,SK_trnagly_c
37,T4HCINNMFM
38,PLIPA2E141
39,CYSLY3
40,COUCOAFm
41,CO2tmt
42,H2Ot
43,GLCt1
44,ALAGLUE
45,PSERT
46,LYSPHEILEr
47,GLDBRAN
48,SK_trnatyr_c
49,ACP1_FMN
50,lipid3
51,LALGP
52,MALS
53,SK_trnamet_c
54,EX_pail_e
55,GLGNS1
56,lipid2
57,LADGMDH
58,SK_trnaphe_c
59,EX_thmmp_e
60,MAGAH1819Z_c
61,ACOADH2
62,HBtr
63,r0822
64,PLDPE_MYRS_MYRS_c
65,FACOAE120
66,ACOAR4mc
67,GLBRAN
68,TRNFE
69,PHEPHETHRr
70,r1602
71,34HPLtm
72,4HBZFm
73,PEFLIP
74,ARTFR210_cho
75,GLNGLU
76,FACOAE141
77,PCLAD
78,FAOXC80
79,EX_fadh2_c
80,QUILSYN
81,3HAO
82,DAGAH_PALM_PALM_c
83,PGCD
84,34HPLFM
85,LPLIPAL1E141
86,FBA
87,4HBZCOAFm
88,GTHOXti
89,EX_ptd1ino_e
90,FACOAE160
91,ASNTYRTHRr
92,MMSAD1
93,PEDS1801829Z12Z
94,SK_trnaala_c
95,LYSPHEILEt
96,lipid5
97,PPDK
98,PIPLC
99,OPHBDCm
100,AASAD2
101,UREA
102,AGPATCOA_MYRS_MYRS_c
103,ASPTA6
104,PGLc
105,LYSTYRILEt
106,SK_trnaile_c
107,OPHHXm
108,RBK
109,ACOAR5mc
110,PINOS
111,SK_trnaasp_c
112,FADDP
113,VALTA
114,ILEARGILEt
115,H2O2t
116,DAPDC
117,SK_trnagln_c
118,NNDPR
119,EX_lyspheile_e
120,lipid10
121,SK_trnahis_c
122,PDYXPT_c
123,LPLIPAL1E120
124,HKYNH
125,GLPASE2
126,PYDXO
127,PLDPE_PALM_PALM_c
128,GTHPe
129,PTRCtex2
130,pail_uptake
131,ACOAR7mc
132,GLPASE1
133,FE3Ri
134,G3PAT140_c
135,34HPPt2m
136,PAPA1819Z1819Z
137,ASNTYRTHRt
138,FAOXC1811603m
139,HMGLB
140,SK_trnaleu_c
141,SACCD2
142,HISD_c
143,SACCD1
144,EX_lystyrile_e
145,PEDS1819Z1829Z12Z
146,TMPK
147,ACOAR3mc
148,EX_phephethr_e
149,EX_asntyrthr_e
150,GMPt6
151,NDH1_3uc
152,AM6SAD
153,EX_hb_e
154,PHEMEtm
155,HIBHr
156,SK_trnapro_c
157,NADK
158,SK_trnaasn_c
159,FKYNH
160,MAGAH160
161,NTRIR3ppc
162,Hfv
163,DAGAH_OLE_PALM_c
164,SK_trnalys_c
165,SK_trnathr_c
166,THMMPt4_1
167,R07456
168,MCITLmc
169,MI1PP
170,HMR_6782
171,HBZOPTm
172,r1467
173,PLDPE_STC_STC_c
174,PSP_L
