,rxns_added
0,ECOAH3_1c
1,HMGCOAR
2,3HAACOAT80
3,OCOAT1
4,PI34P5K_cho
5,3HAO
6,HMR_0817nhs
7,BDMT
8,NEU21nhs
9,NPH
10,SPMDAT1
11,HEPT2
12,OMLT
13,ACChex
14,PIPLC_cho
15,PYDXO
16,CIGAMS
17,DOLPMT4
18,NADPPPS
19,EX_lystyrile_e
20,PI45P3K_cho
21,PUTA3
22,HEPT4
23,NNDPR
24,HXCT
25,EX_hb_e
26,DHEASULT
27,HKYNH
28,ACNPLYS
29,r2228
30,UDCASULT
31,GMT1
32,RE1537C
33,HMGLB
34,GLCNACT_L
35,lipid2
36,RE1539C
37,POAACR
38,GPDDA3
39,PI3P4K_cho
40,CMPDAi
41,EX_fadh2_c
42,CYSLY3
43,EX_thrthrarg_e
44,PTRCtex2
45,DCPDP
46,IGAMD
47,GLCTR3
48,EX_lyspheile_e
49,MCITLmc
50,HMR_0876nhs
51,MOAT3C
52,AMCOXO
53,METMETILEt
54,MIPCS126_SC
55,GAPP
56,3AMACHYD
57,CITt2r
58,DPMVD
59,MSHS
60,G12MT1_L
61,OGLT
62,DOLPMT_L
63,AM6SAD
64,FKYNH
65,ARTPLM1
66,UAG2EMA
67,ASPTA6
68,MEVK1
69,HBtr
70,HIBHr
71,ACOAR3mc
72,3HAACOAT60
73,IMPtr
74,13DAMPPOX
75,AKO
76,HEPT3
77,EX_HC02200_e
78,MIP2C126PLC_SC
79,LYSPHEILEr
80,GLUDC_m
81,EX_HC02196_e
82,HMR_0889nhs
83,URACPAH
84,LYSPHEILEt
85,EX_dhea_e
86,CBMD
87,SUCD3_u6mc
88,METMETILEr
89,EX_metmetile_e
90,FAO141p_evenc
91,HEPK1
92,HMR_0907nhs
93,ACOADH2
94,UPPRT
95,HEPT1
96,G16MT_L
97,UDCA3Sabc
98,AASAD1
99,LYSLYSLYSr
100,HXAt3
101,PMEVK
102,BAMPPALDOX
103,FAO181p_evenc
104,PCLAD
105,GLCNACPT_L
106,PYROX
107,SULO
108,RE2335C
109,IACGAMS
110,GLCTR2
111,KYN3OX
112,r1636
113,THRTHRARGr
114,UDPGtnic
115,ILEARGILEt
116,URSCHOLCOAc
117,HMR_0906nhs
118,GLCTR1
119,HMGL_1c
120,MMTSAO
121,G13MT_L
122,DIAT
123,HIBDkt
124,EX_udca3s_e
125,HMR_0823nhs
126,EX_dheas_e
127,PI3PP_cho
128,PI45PLC_cho
129,DOLPMT3
130,UDCPDP
131,LYSLYSLYSt
132,4ABUTtm
133,RHAT1
134,ACOAD1fr
135,ILEARGILEr
136,NEU24nhs
137,RHACOAR60
138,GALT1
139,HEPK2
140,QUILSYN
141,RHACOAR80
142,LYSTYRILEt
143,TRPO2
144,ABUTD
145,PLDPE_STC_EPA_c
146,TAGO
147,EX_lyslyslys_e
148,SUCOAACTr
149,PLDPC_STC_EPA_c
150,HMR_0890nhs
151,LYSTYRILEr
152,THRTHRARGt
153,r2182
154,APATr
155,BDMT_L
156,MSHOXH
157,MIP2CS126_SC
158,ORLT
159,SDOOR_c
160,SACCD1
161,SO4HCOtex
162,HISD_c
163,DHEAte
164,DXHPScmc
165,EX_ileargile_e
166,Hfv
167,IPC126PLC_SC
168,AATA
169,CHOPT_STC_EPA_c
170,SACCD2
171,RE0688C
