,rxns_added
0,3HAO
1,EX_lyslyslys_e
2,AMCOXO
3,THRTHRARGt
4,Hfv
5,HIBHr
6,HACD4i
7,PSERT
8,FAO181p_oddc
9,HMR_2495
10,RHACOAR100
11,ILEARGILEt
12,QUILSYN
13,MCCC
14,CEPTEnhs
15,CLPNDCPT2
16,CYSLY3
17,KAT1
18,CYTD
19,3HAACOAT100
20,AM6SAD
21,PS141abcppc
22,FA80ACPHi
23,r1923
24,lipid2
25,HCO3E
26,LYSTYRILEr
27,HBtr
28,KYN3OX
29,MMTSAO
30,MGCH
31,UTUP
32,RNTR4c
33,EX_metmetile_e
34,METMETILEr
35,CLPNDCPT1
36,ASPTA6
37,EX_hb_e
38,MALCOAMT
39,r1400
40,HMGL_1c
41,ICL
42,DIPEPabc6c
43,HKYNH
44,LYSLYSLYSt
45,PGKhc
46,HMR_0654
47,ARTFR211_cho
48,PGCD
49,HMR_0653nhs
50,METMETILEt
51,MBCOAi
52,THRTHRARGr
53,HMR_3429
54,FACOAE80
55,DAGK_hsnhs
56,LAAL15
57,NADPPPS
58,CHOLtu
59,EX_ileargile_e
60,TRPO2
61,OCOAT1
62,FKYNH
63,DHPR2
64,SACCD1
65,ARTPLM1
66,SULO
67,EX_lystyrile_e
68,DUTUP
69,NNDPR
70,FAO161p_oddc
71,HMR_2727
72,HIBDkt
73,CLPNDCRNt
74,DUTCP
75,HISD_c
76,SACCD2
77,DCTPD
78,METHFtxc
79,RNTR3c
80,EX_thrthrarg_e
81,PCLAD
82,MALS
83,PSP_L
84,AASAD2
85,LYSLYSLYSr
86,RBK
87,ILEARGILEr
88,GMPt6
89,ACOAR4mc
90,HMR_3915
91,RTOT2_cho
92,ACOADH2
93,URIK2
94,ETHAPT
95,LYSTYRILEt
96,PHETHPTOX
97,r1579
98,CITt2r
99,HMGLB
100,PPS
101,FACOAE141
102,MCITLmc
103,AATA
104,GMPR
105,PYDXO
106,MTHFD2
107,PCHOLP_hsnhs
