,rxns_added
0,COAtmt: coa_m <=> coa_c
1,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
2,GLNth: gln__L_c + h_c --> gln__L_h + h_h
3,TAURt: taur_c --> taur_e
4,THRS: h2o_c + phom_c --> pi_c + thr__L_c
5,HCO3E: co2_c + h2o_c --> h_c + hco3_c
6,FACOAE120: ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c
7,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
8,MLTG2: h2o_c + maltttr_c --> glc__D_c + malttr_c
9,THRD_Lm: thr__L_m --> 2obut_m + nh4_m
10,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
11,PRAIi: pran_c --> 2cpr5p_c
12,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
13,CYTBD4um: 4.0 h_c + o2_c + 2.0 pqh2_um --> 2.0 h2o_c + 4.0 h_u + 2.0 pq_um
14,H2Oth: h2o_c --> h2o_h
15,CYOOm3: 4.0 focytC_m + 7.92 h_m + o2_m --> 4.0 ficytC_m + 1.96 h2o_m + 4.0 h_c + 0.02 o2s_m
16,trna_leu: trnaleu_c <=> 
17,FMETTRS_1: 10fthf_c + mettrna_c --> fmettrna_c + thf_c
18,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
19,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
20,ACOAH: ac_c + coa_c + h_c --> accoa_c + h2o_c
21,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
22,trna_lys: trnalys_c <=> 
23,GLUDy: glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
24,HDCEAt: hdcea_e <=> hdcea_c
25,CHORS: 3psme_c --> chor_c + pi_c
26,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
27,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
28,PRPPS: atp_c + r5p_c --> amp_c + h_c + prpp_c
29,TRSARyr: 2h3oppan_c + h_c + nadph_c --> glyc__R_c + nadp_c
30,trna_thr: trnathr_c <=> 
31,H2O2t: h2o2_e <=> h2o2_c
32,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
33,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
34,ARTCOAL1: Rtotal_c + coa_c --> Rtotalcoa_c
35,trna_val: trnaval_c <=> 
36,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
37,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
38,CITCIb: citac_c + h2o_c --> r3mmal_c
39,GLYOX_2: h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c + mthgxl_c
40,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
41,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
42,D_LACDcm: 2.0 ficytc_m + lac__D_c --> 2.0 focytc_m + pyr_c
43,MTHFR5: fdxo_42_c + h_c + mlthf_c + 2.0 nadh_c --> 5mthf_c + fdxr_42_c + 2.0 nad_c
44,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
45,FACOAE60: h2o_c + hxcoa_c --> coa_c + h_c + hxa_c
46,SUCDu_syn: pq_u + succ_c --> fum_c + pqh2_u
47,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
48,r2419: akg_c + pi_m --> akg_m + pi_c
49,ATPSum: 3.0 adp_c + 13.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 10.0 h_c
50,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
51,CYOR3m: 2.0 ficytcc_c + h_c + mql7_c --> 2.0 focytcc_c + 3.0 h_e + mqn7_c
52,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
53,FRDcm: fadh2_m + fum_c --> fad_m + succ_c
54,r1454: 2obut_m + h_c --> 2obut_c + h_m
55,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
56,EX_amet_e: amet_e <=> 
57,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
58,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
59,GLUth: glu__L_h + h_h --> glu__L_c + h_c
60,CODH_ACS: co2_c + coa_c + fdxr_42_c + h_c + mecfsp_c --> accoa_c + cfesp_c + fdxo_42_c + h2o_c
61,CATm: 2.0 h2o2_m --> 2.0 h2o_m + o2_m
62,trna_gly: trnagly_c <=> 
63,r2136: na1_e + pi_e --> na1_c + pi_c
64,AMALT3: malt_c + maltpt_c --> glc__D_c + malthx_c
65,G5SD: glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
66,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
67,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
68,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
69,EX_his__L_e: his__L_e <=> 
70,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
71,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
72,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
73,FAOXC16180m: 4.0 coa_m + 3.0 fad_m + 4.0 h2o_m + hdcoa_m + 4.0 nad_m --> 4.0 accoa_m + 3.0 fadh2_m + 4.0 h_m + 4.0 nadh_m + occoa_m
74,ASPth: asp__L_c + h_c --> asp__L_h + h_h
75,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
76,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
77,PAN4PP: h2o_c + pan4p_c --> pi_c + ptth_c
78,trna_phe: trnaphe_c <=> 
79,CITCIa: citm_c --> citac_c + h2o_c
80,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
81,PNTEH: h2o_c + ptth_c --> cysam_c + pnto__R_c
82,lipid1: Rtotal_c <=> dca_c + ddca_c + hdca_c + hdcea_c + hxa_c + ocdca_c + ocdcea_c + octa_c + ttdca_c + ttdcea_c
83,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
84,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
85,trna_asp: trnaasp_c <=> 
86,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
87,FOLt2_1: fol_e + h2o_c --> fol_c + h2o_e
88,3MOBtmt: 3mob_m <=> 3mob_c
89,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
90,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
91,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
92,NH4tmt: nh4_m <=> nh4_c
93,G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
94,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
95,CBFC: 2.0 h_h + 2.0 pcox_u + pqh2_u --> 4.0 h_u + 2.0 pcrd_u + pq_u
96,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
97,CHORM: chor_c --> pphn_c
98,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
99,PIcm: pi_c --> pi_m
100,HMR_3951: na1_c + so3_c --> na1_e + so3_e
101,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
102,FBA: fdp_c <=> dhap_c + g3p_c
103,SPODMm: 2.0 h_m + 2.0 o2s_m --> h2o2_m + o2_m
104,GTHOXti: gthox_e --> gthox_c
105,O2tm: o2_c --> o2_m
106,trna_cys: trnacys_c <=> 
107,GLYCK2: atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
108,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
109,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
110,trna_gln: trnagln_c <=> 
111,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
112,PYRtm: pyr_c --> pyr_m
113,ACOAD1f: btcoa_c + fad_c --> b2coa_c + fadh2_c
114,FACOAE140: h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c
115,r1467: odecoa_c --> odecoa_m
116,MLTP1: maltpt_c + pi_c --> g1p_c + maltttr_c
117,r0963: fol_e <=> fol_c
118,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
119,CYOO6m: 4.0 focytc_m + 8.0 h_m + o2_m --> 4.0 ficytc_m + 2.0 h2o_m + 4.0 h_c
120,trna_arg: trnaarg_c <=> 
121,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
122,ACCOAtm: accoa_c + coa_m --> accoa_m + coa_c
123,NADHDH: 3.0 h_c + nadh_c + q_c --> 2.0 h_e + nad_c + qh2_c
124,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
125,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
126,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
127,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
128,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
129,ACSERthi: acser_h --> acser_c
130,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
131,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
132,DHQS: 2dda7p_c --> 3dhq_c + pi_c
133,ATPS_h: adp_h + 4.67 h_u + pi_h --> atp_h + h2o_h + 3.67 h_h
134,FACOAE100: dcacoa_c + h2o_c --> coa_c + dca_c + h_c
135,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
136,SO3ti: so3_c --> so3_e
137,CYSS_2: acser_c + h2s_c --> ac_c + cys__L_c
138,ACOAD1z: b2coa_c + fdxo_42_c + 2.0 nadh_c --> btcoa_c + fdxr_42_c + 2.0 nad_c
139,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
140,trna_tyr: trnatyr_c <=> 
141,trna_ile: trnaile_c <=> 
142,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
143,EX_leu__L_e: leu__L_e <=> 
144,THRA_m: acald_m + gly_m --> thr__L_m
145,PHSERt_h: phom_h --> phom_c
146,EX_pnto__R_e: pnto__R_e <=> 
147,LEUtec: leu__L_e --> leu__L_c
148,OCDCEAt: ocdcea_e <=> ocdcea_c
149,SAT: accoa_h + ser__L_h --> acser_h + coa_h
150,FACOAE180: h2o_c + stcoa_c --> coa_c + h_c + ocdca_c
151,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
