,rxns_added
0,LEUtec: leu__L_e --> leu__L_c
1,GLNt: gln__L_e --> gln__L_c
2,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
3,HMR_3951: na1_c + so3_c --> na1_e + so3_e
4,RIBt: rib__D_e --> rib__D_c
5,CITCIa: citm_c --> citac_c + h2o_c
6,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
7,RE0915C: h2o_c + maltttr_c --> fru_c + malttr_c
8,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
9,SERtN1: h_c + 2.0 na1_e + ser__L_e --> h_e + 2.0 na1_c + ser__L_c
10,O2t: o2_e <=> o2_c
11,EX_val__L_e: val__L_e <=> 
12,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
13,FDH3: for_c + 3.0 h_c + mqn8_c --> co2_c + 2.0 h_e + mql8_c
14,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
15,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
16,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
17,ACALDCD: 2.0 acald_c --> actn__R_c
18,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
19,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
20,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
21,FUM: fum_c + h2o_c --> mal__L_c
22,ALAALACNc: alaala_c + h2o_c --> 2.0 ala__L_c
23,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
24,CITACt: ac_c + cit_e --> ac_e + cit_c
25,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
26,CYSGLYt2ir: cgly_e + h_e --> cgly_c + h_c
27,ORNt: orn_e --> orn_c
28,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
29,CITCIb: citac_c + h2o_c --> r3mmal_c
30,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
31,KYN3OX: Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c
32,VALtec: val__L_e --> val__L_c
33,FKYNH: Lfmkynr_c + h2o_c --> Lkynr_c + for_c + h_c
34,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
35,EX_thr__L_e: thr__L_e <=> 
36,PPC: co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
37,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
38,GTHRDt2: gthrd_e --> gthrd_c
39,SULR_2: 6.0 fdxrd_c + 7.0 h_c + so3_c --> 6.0 fdxox_c + 3.0 h2o_c + h2s_c
40,CHORM: chor_c --> pphn_c
41,AM6SAD: am6sa_c + h2o_c + nad_c --> amuco_c + 2.0 h_c + nadh_c
42,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
43,EX_pap_e: pap_e <=> 
44,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
45,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
46,PRAIi: pran_c --> 2cpr5p_c
47,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
48,ARGSL: argsuc_c --> arg__L_c + fum_c
49,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
50,HCO3E: co2_c + h2o_c --> h_c + hco3_c
51,3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c
52,r2526: ser__L_e --> ser__L_c
53,r2534: thr__L_e --> thr__L_c
54,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
55,GGTAe2: gthrd_e + h2o_e --> cgly_e + glu__L_e
56,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
57,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
58,DHQS: 2dda7p_c --> 3dhq_c + pi_c
59,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
60,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
61,CITt2r: cit_e + h_e <=> cit_c + h_c
62,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
63,H2Ot: h2o_e <=> h2o_c
64,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
65,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
66,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
67,AMCOXO: amuco_c + h2o_c + h_c + nadph_c --> 2oxoadp_c + nadp_c + nh4_c
68,BPNT: h2o_c + pap_c --> amp_c + pi_c
69,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
70,HKYNH: h2o_c + hLkynr_c --> 3hanthrn_c + ala__L_c
71,METtec: met__L_e --> met__L_c
72,TRPO2: o2_c + trp__L_c --> Lfmkynr_c
73,PAPt: pap_e <=> pap_c
74,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
75,HMR_8580: h2o_c + malttr_c --> fru_c + malt_c
76,PCLAD: cmusa_c + h_c --> am6sa_c + co2_c
77,CHORS: 3psme_c --> chor_c + pi_c
78,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
79,SO4HCOtex: 2.0 hco3_c + so4_e --> 2.0 hco3_e + so4_c
80,PFK_ppi: f6p_c + ppi_c --> fdp_c + h_c + pi_c
81,FRUt1r: fru_e <=> fru_c
