,rxns_added
0,PLDAGAT_LNA_EPA_ARA_PC_6_c
1,DAGAH_PALM_LNA_c
2,PLA2PE_HDE_HDE_c
3,PLDPE_MYRS_ALNA_c
4,AGPATCOA18111Z1819Z
5,ARTFR45nhs
6,R5PFLc
7,CHOPT_OLE_HDE_c
8,PLDPE_MYRS_PALM_c
9,CDAPPA140
10,PHEPHEt
11,ETHAPT
12,PGSA120
13,CHOPT_PALM_EPA_c
14,ETHAPT_OLE_DHA_c
15,ETHAPT_MYRS_MYRS_c
16,LPCAT_OLE_ALNA_sn2_c
17,LPCAT_PALM_OLE_sn2_c
18,CHOPT_HDE_EPA_c
19,PLDPC_HDE_LNA_c
20,CHOPT_MYRS_PALM_c
21,CHOPT_OLE_PALM_c
22,CHOPT_STC_PALM_c
23,AGPATCOA_EPA_EPA_c
24,PCW3DS_HDE_EPA_sn2_c
25,ETHAPT_OLE_PALM_c
26,HMR_2688
27,CE7083t
28,HXAt3
29,ETHAPT_EPA_ARA_c
30,PLDAGAT_PALM_EPA_LNA_PE_10_c
31,PLDAGAT_OLE_EPA_EPA_PE_12_c
32,PLDAGAT_EPA_EPA_DHA_PE_13_c
33,PLA2PE_PALM_ALNA_c
34,pe_prod10
35,HTDCACBP
36,PCW3DS_EPA_EPA_sn2_c
37,CHOPT_OLE_DHA_c
38,CHOPT_MYRS_DHA_c
39,PLA2PC_OLE_HDE_c
40,AGPATCOA_HDE_EPA_c
41,HMR_2687
42,ETHAPT_STC_PALM_c
43,ETHAPT_HDE_LNA_c
44,PLDAGAT_HDE_EPA_OLE_PE_11_c
45,PIPLC_HDE_LNA_c
46,ACOADAGAT_LNA_EPA_ARA_c
47,PLDAGAT_PALM_EPA_LNA_PC_4_c
48,PCW3DS_MYRS_ALNA_sn2_c
49,PLDAGAT_OLE_EPA_EPA_PE_10_c
50,RE3486C
51,LPEAT_HDE_LNA_sn2_c
52,CHOPT_PALM_OLE_c
53,LPEAT_LNA_PALM_sn2_c
54,PI4P5K_HDE_LNA_c
55,AGPATCOA_MYRS_MYRS_c
56,2_7_8_3
57,PLDPE_EPA_LNA_c
58,FACOAE161
59,ETHAPT_STC_EPA_c
60,lipid1
61,LPCAT_STC_DHA_sn2_c
62,PAPA120
63,AGPAT141
64,PLDAGAT_MYRS_EPA_DHA_PE_12_c
65,DAGAH_EPA_LNA_c
66,ETHAPT_EPA_EPA_c
67,ETHAPT_EPA_LNA_c
68,HMR_3411
69,pe_prod14
70,PLDPE_EPA_EPA_c
71,SMS
72,PAPA181
73,PLDAGAT_HDE_EPA_DHA_PE_10_c
74,PLDAGAT_HDE_EPA_ARA_PC_6_c
75,PLDAGAT_LNA_EPA_ARA_PC_2_c
76,lipid2
77,PAPA1601819Z
78,ETHAPT_STC_STC_c
79,HMR_0410
80,lipid5
81,PCD12DS_OLE_LNA_sn2_c
82,ECOAH6m
83,FAOXC160140m
84,ACOADAGAT_EPA_EPA_ARA_c
85,DAGCPT
86,HMR_2689
87,APG3PAT141
88,lipid3
89,NNDPR
90,PLD_SC
91,AGPATCOA_STC_EPA_c
92,PCW3DS_OLE_ALNA_sn2_c
93,DAGAH_PALM_DHA_c
94,PLDPE_STC_EPA_c
95,ACOAR3mc
96,PIP3P_HDE_LNA_c
97,EX_CE7083_e
98,PLDAGAT_PALM_PALM_LNA_PC_7_c
99,PLDAGAT_MYRS_HDE_PALM_PC_1_c
100,TRPPHEr
101,NADN
102,HOCDACBP
103,PLDAGAT_EPA_EPA_ARA_PC_3_c
104,PLDAGAT_PALM_ARA_PALM_PE_13_c
105,PLPSD18111Z1819Z
106,RE3491C
107,PLDAGAT_LNA_EPA_LNA_PE_9_c
108,ARTCOAL1
109,ETHAPT_HDE_HDE_c
110,DAGAH_OLE_DHA_c
111,CDAPPA120
112,PLDPC_MYRS_ALNA_c
113,LPEAT_EPA_ARA_sn2_c
114,TRPPHEt
115,PLDPC_EPA_EPA_c
116,ETHAPT_MYRS_PALM_c
117,PLDAGAT_HDE_EPA_ARA_PC_7_c
118,PHEPHEr
119,EX_phephe_e
120,DAGAH_OLE_HDE_c
121,PAPA161
122,PCD12DS_LNA_LNA_sn1_c
