,rxns_added
0,FAO2: atp_c + 8.0 coa_c + 7.0 fad_c + 7.0 h2o_c + hdca_c + 7.0 nad_c --> 8.0 accoa_c + amp_c + 7.0 fadh2_c + 7.0 h_c + 7.0 nadh_c + ppi_c
1,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
2,r1824: gln__L_c + na1_e + pro__L_e --> gln__L_e + na1_c + pro__L_c
3,FBA: fdp_c <=> dhap_c + g3p_c
4,PRAIi: pran_c --> 2cpr5p_c
5,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
6,3MOBtmt: 3mob_m <=> 3mob_c
7,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
8,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
9,TPTPt_m: g3p_c + pi_m --> g3p_m + pi_c
10,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
11,CHORS: 3psme_c --> chor_c + pi_c
12,PYRt2m: h_c + pyr_c --> h_m + pyr_m
13,EX_thr__L_e: thr__L_e <=> 
14,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
15,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
16,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
17,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
18,DHQS: 2dda7p_c --> 3dhq_c + pi_c
19,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
20,HCO3E: co2_c + h2o_c --> h_c + hco3_c
21,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
22,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
23,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
24,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
25,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
26,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
27,CHORM: chor_c --> pphn_c
28,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
29,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
30,THRGLNexR: gln__L_c + thr__L_e <=> gln__L_e + thr__L_c
31,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
32,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
33,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
34,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
35,CO2tmt: co2_m <=> co2_c
36,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
37,GMPt6: gmp_e + h_e --> gmp_c + h_c
38,r1544: gln__L_c + gly_e --> gln__L_e + gly_c
39,CITt2r: cit_e + h_e <=> cit_c + h_c
40,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
41,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
