,rxns_added
0,PPItm: ppi_c --> ppi_m
1,HEX1: atp_c + glc__D_c --> adp_c + g6p_c + h_c
2,r1610: cys__L_c + trp__L_e --> cys__L_e + trp__L_c
3,ETHAPT_PALM_PALM_c: 12dgr160_c + cdpea_c --> cmp_c + h_c + pe160_c
4,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
5,METR: 5mthf_c + cfesp_c --> mecfsp_c + thf_c
6,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
7,EX_trp__L_e: trp__L_e <=> 
8,FBA: fdp_c <=> dhap_c + g3p_c
9,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
10,PCt: atp_c + h2o_c + pchol_hs_c <=> adp_c + h_c + pchol_hs_e + pi_c
11,ICDHym: icit_m + nadp_m <=> akg_m + co2_m + nadph_m
12,HMR_0642: h2o_c + pe_hs_c --> HC02051_c + etha_c + h_c
13,PGMT: g1p_c <=> g6p_c
14,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
15,G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
16,FAOXC16180m: 4.0 coa_m + 3.0 fad_m + 4.0 h2o_m + hdcoa_m + 4.0 nad_m --> 4.0 accoa_m + 3.0 fadh2_m + 4.0 h_m + 4.0 nadh_m + occoa_m
17,GLCDBRAN3: glycogen_c + h2o_c --> 14glucan_c + glc__D_c
18,OCDCEAt: ocdcea_e <=> ocdcea_c
19,CHORM: chor_c --> pphn_c
20,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
21,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
22,TYRTA: akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
23,r2534: thr__L_e --> thr__L_c
24,FAOXC160: 7.0 coa_m + 7.0 fad_m + 7.0 h2o_m + 7.0 nad_m + pmtcoa_m --> 8.0 accoa_m + 7.0 fadh2_m + 7.0 h_m + 7.0 nadh_m
25,DASYN141: ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c
26,GLYGS: h2o_c + udpg_c --> 14glun_c + h_c + udp_c
27,MTAM: 5fthf_m + 2.0 h_m --> h2o_m + methf_m
28,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
29,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
30,ARGSL: argsuc_c --> arg__L_c + fum_c
31,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
32,CYOO6m: 4.0 focytc_m + 8.0 h_m + o2_m --> 4.0 ficytc_m + 2.0 h2o_m + 4.0 h_c
33,GluForTx: forglu_c + h_c + thf_c --> 5forthf_c + glu__L_c
34,RE0915C: h2o_c + maltttr_c --> fru_c + malttr_c
35,HMR_3915: amet_c + thf_c --> 5mthf_c + ahcys_c
36,DHQS: 2dda7p_c --> 3dhq_c + pi_c
37,GLU5K: atp_c + glu__L_c --> adp_c + glu5p_c
