,rxns_added
0,PLDPC_DHA_ARA_c
1,EX_hdcoa_e
2,PLDAGAT_HDE_MYRS_LNA_PC_6_c
3,PLDPC_PALM_OLE_c
4,PDX5PS
5,ETHAPT_OLE_PALM_c
6,MYCFLUX4
7,EX_stcoa_e
8,FAO240pc
9,FACOAE60
10,PLA2PE_PALM_DHA_c
11,MYC1M2
12,ETHAPT_MYRS_ALNA_c
13,ETHAPT_EPA_EPA_c
14,HMR_2211
15,PAPA1819Z1819Z
16,RE0574C
17,QULNS
18,METTRPPHEr
19,LPEAT_PALM_ARA_sn2_c
20,PAPA_OLE_ALNA_c
21,DAGAH_OLE_DHA_c
22,PLPSA21819Z1845Z9Z12Z15Z
23,PLDAGAT_EPA_EPA_ARA_PE_13_c
24,EX_pmtcoa_e
25,GLPASE1
26,PLDPE_PALM_OLE_c
27,PLDPE_MYRS_EPA_c
28,PLA2PE_STC_DHA_c
29,AGPATCOA_EPA_EPA_c
30,MYC1CYC2
31,HMR_3110
32,R07456
33,DAGAH_EPA_ARA_c
34,PLDAGAT_MYRS_EPA_DHA_PE_15_c
35,FAOXC200180m
36,PPTT
37,TAGO
38,DAGAH_EPA_DHA_c
39,ETHAPT_EPA_ARA_c
40,PLD_SC
41,GLBRAN
42,NNDPR
43,EX_phephethr_e
44,PCW3DS_MYRS_ALNA_sn2_c
45,HOCDACBP
46,MYCFLUX1
47,FAMPL3
48,EX_mettrpphe_e
49,PLDAGAT_LNA_EPA_LNA_PE_13_c
50,GPIAT
51,3HAACOAT60
52,GLGNS1
53,PCD12DS_LNA_EPA_sn1_c
54,TMHAS2
55,NNATr
56,LPEAT_LNA_STC_sn2_c
57,ETHAPT_DHA_ARA_c
58,HMR_2190
59,CEPTCnhs
60,LPEH1829Z12Z_sn1_c
61,LPLIPAL1A140
62,CDPMEK
63,EX_occoa_e
64,PHEPHETHRr
65,PLDPE_OLE_PALM_c
66,PERD
67,PLDPC_MYRS_ALNA_c
68,pc_prod
69,PLDPC_EPA_GLNA_c
70,CEPTEnhs
71,UDPGtnic
72,PCW3DS_EPA_STA_sn2_c
73,HMR_2703
74,ETHAPT_STC_ALNA_c
75,MEPCT
76,PLPSA218111Z1829Z12Z
77,ETHAPT_OLE_ALNA_c
78,PLA2PE_MYRS_EPA_c
79,PAPA_DHA_ARA_c
80,PLA2PE_MYRS_DHA_c
81,3OPHB_5tm
82,PLPSA218111Z1845Z9Z12Z15Z
83,MYCON1
84,DAGAH_STC_ALNA_c
85,PLDPC_OLE_ALNA_c
86,CHOPT_MYRS_MYRS_c
87,ETHAPT_STC_DHA_c
88,CHOPT_EPA_EPA_c
89,HXAt
90,ps_prod1
91,PLDAGAT_PALM_EPA_DHA_PE_14_c
92,FACOAL205
93,FAOXC18C18OHm
94,PAPA_DHA_LNA_c
95,GLPASE2a
96,PLDPE_PALM_ARA_c
97,PLDPC_OLE_ARA_c
98,LPEAT_OLE_ARA_sn2_c
99,HBZOPT6mc
100,RE0576C
101,MYC2CYC2
102,DAGCPT
103,AGPAT1819Z1819Zhc
104,PLDAGAT_HDE_EPA_OLE_PE_10_c
105,ETHAPT_MYRS_MYRS_c
106,ARTFR52_cho
107,PENDPtm
108,HMR_2704
109,PLDAGAT_HDE_EPA_DHA_PE_13_c
110,DAGAH_STC_DHA_c
111,EX_ddcacoa_e
112,AGPATCOA18111Z1819Z
113,APH181
114,EX_dcacoa_e
115,LPEAT_DHA_ARA_sn2_c
116,PCD12DS_LNA_DHA_sn1_c
117,PLDPC_EPA_ARA_c
118,ETHAPT_EPA_DHA_c
119,HMR_0654
120,CMPDAi
121,GLDBRAN
122,MYC1CYC4
123,PAPA_MYRS_ALNA_c
124,RE0575C
125,HXCOAte
126,AGPATCOA_MYRS_EPA_c
127,MYCON2
128,EX_udcpp_e
