,rxns_added
0,DAGK141
1,GLPASE2a
2,LPCAT_EPA_EPA_sn2_c
3,ALR4x
4,PLIPA2G140
5,pe_prod2
6,ETHAPT_EPA_EPA_c
7,GMPt6
8,CDPDAGS_LNA_PALM_c
9,PLDAGAT_EPA_EPA_LNA_PE_14_c
10,PLDAGAT_HDE_EPA_DHA_PE_12_c
11,UAG2E
12,PGSA140
13,CDAPPA141
14,GART
15,lipid4
16,PLIPA2G120
17,GLPASE2
18,ALCD21_D
19,pe_prod4
20,NMNt7
21,PASYN_EC
22,PI345P5P_cho
23,DAGK120
24,PLDAGAT_EPA_EPA_EPA_PC_5_c
25,METTRPPHEr
26,PERD
27,DXPRIi
28,CHOPT_MYRS_MYRS_c
29,NADPPPS
30,FADt_h
31,PHEPHEASNt
32,FCLPA
33,DMPPS
34,PAPA_EPA_GLNA_c
35,ETHAPT_DHA_STC_c
36,pe_prod1
37,pe_prod7
38,FK
39,DAGAH_OLE_HDE_c
40,LPCAT_EPA_ARA_sn2_c
41,GLUPRT
42,PDX5PS
43,lipid5
44,MGSA2
45,PLDPE_HDE_HDE_c
46,PRFGCL
47,CHOPT_OLE_OLE_c
48,DAGCPT_SC
49,PLA2PE_EPA_EPA_c
50,UFAGT
51,ETHAPT_LNA_LNA_c
52,DAGK181
53,F1PGT
54,PRAGSr
55,APH161
56,CDAPPA161
57,PLIPA2
58,RBFK
59,PLA2PC_MYRS_ARA_c
60,LPEAT_LNA_ALNA_sn2_c
61,TECA3S45
62,R07456
63,PAPA_PALM_EPA_c
64,AGPAT1801819Zhc
65,LPCAT_STC_STC_sn2_c
66,AGPATCOA_MYRS_MYRS_c
67,PETHTMT_c
68,CHOPT_OLE_HDE_c
69,PGSA120
70,DAGCPT
71,PEFLIP
72,CHOPT_EPA_EPA_c
73,PGSA160
74,lipid2
75,PGPP140
76,ETHAPT_STC_STC_c
77,EX_phepheasn_e
78,PETHDMT_c
79,PLDAGAT_EPA_EPA_LNA_PC_7_c
80,SUCRt2
81,PRFGS
82,NMNP
83,PAPA_LNA_PALM_c
84,LPEH1619Z_sn1_c
85,CMPDAi
86,ETHAPT_STC_DHA_c
87,CHOPT_MYRS_EPA_c
88,HMR_0410
89,GLCNACT_U
90,PAPA_EC
91,PPTT
92,PLDAGAT_PALM_EPA_ARA_PC_5_c
93,IPDPS
94,ETHAPT_LNA_PALM_c
95,EX_mettrpphe_e
96,PRPPP
97,SMS
98,LPEH2055Z8Z11Z14Z17Z_sn1_c
99,EX_fadh2_c
100,FAO141p_evenc
101,AGPAT181
102,PLPSA21801819Z
103,ETHAPT_MYRS_EPA_c
104,CHOPT_MYRS_STC_c
105,LPCAT_MYRS_STC_sn2_c
106,PAPA_EPA_HDE_c
107,PLPSA218111Z1819Z
108,LPLIPAL1G120
109,PLDPE_LNA_ALNA_c
110,PLA2_2_cho
111,MECDPDH
112,ETHAPT_MYRS_ALNA_c
113,ETHAPT_EPA_GLNA_c
114,PLDAGAT_HDE_EPA_DHA_PE_15_c
115,PLDPC_EPA_GLNA_c
116,LPCAT_MYRS_MYRS_sn2_c
117,3HAACOAT60
118,PLDPC_LNA_ALNA_c
119,PAPA160
120,PCD6DS_EPA_GLNA_sn2_c
121,MEPCT
122,PLPSA21801845Z9Z12Z15Z
123,HMR_0908
124,PLA2PC_STC_LNA_c
125,ETHAPT_DHA_DHA_c
126,PINOS
127,2_7_8_3
128,5HBZIDS2
129,PMETM_SC
130,DAGAH_DHA_STC_c
131,AGPATCOA_PALM_EPA_c
132,PLDAGAT_OLE_EPA_EPA_PC_5_c
133,PEPT_EC
134,GMPR
135,PCD6DS_OLE_GLNA_sn2_c
136,GARFT
137,CEPTC_cho
138,OHPBAT
139,NADDP
140,lipid3
141,APG3PAT180
142,LPCAT_STC_OLE_sn2_c
143,PSD141
144,PGPP161
145,CDAPPA140
146,AGPAT18111Z1819Zhc
147,pi_prod4
148,AGPATCOA_STC_DHA_c
149,PLDAGAT_HDE_EPA_LNA_PE_13_c
150,PETHMT_c
151,FCI
152,APG3PAT161
153,5HBZIDMT
154,LPEAT_PALM_ALNA_sn2_c
155,CHOPT_LNA_LNA_c
156,PCD12DS_LNA_EPA_sn1_c
157,PLDAGAT_HDE_EPA_LNA_PC_7_c
158,LPEAT_EPA_GLNA_sn2_c
159,lipid10
160,LPEAT_PALM_EPA_sn2_c
161,DBRC
162,LPEAT_LNA_PALM_sn2_c
163,pc_prod
164,PLDPE_LNA_LNA_c
165,DTTPtm_cho
166,PLDPE_MYRS_MYRS_c
167,HEXTT
168,PCW3DS_LNA_EPA_sn2_c
169,LALDO2x
170,LPEAT_OLE_GLNA_sn2_c
171,PLDAGAT_OLE_EPA_EPA_PE_9_c
172,PLDAGAT_HDE_HDE_LNA_PC_3_c
173,PIPLC
174,LPCAT_LNA_HDE_sn2_c
175,AGPATCOA18111Z1819Z
176,PDS2_1
177,AGPAT140
178,LINOFATPtc
179,KAT2
180,LPCAT_OLE_OLE_sn2_c
181,PLDPC_OLE_LNA_c
182,PREN
183,PGSA161
184,PHEPHEASNr
185,FCLK
186,MFAPS_SC
187,LPCAT_OLE_GLNA_sn2_c
188,ACOADAGAT_PALM_EPA_ARA_c
189,LPLIPA2
190,LPCAT_STC_DHA_sn2_c
191,PLDPE_OLE_LNA_c
192,AGPATCOA_EPA_EPA_c
193,MECDPS
194,PGPP120
195,PGSA181
196,PGSA141
197,GGTT
198,PCW3DS_LNA_ALNA_sn2_c
199,ETHAPT_EPA_HDE_c
200,GLCNACPT_U
201,pi_prod3
202,RHACOAR60
203,PLIPA2G161
204,SPP
205,DAGAH_DHA_DHA_c
206,AFAT
207,CDPMEK
208,ETHAPT_HDE_GLNA_c
209,LPASE_cho
210,HMR_0909
211,DNDPt45m
212,PLDAGAT_HDE_HDE_LNA_PC_4_c
213,LPLIPAL1G161
214,PDS1_1
215,PI345P3P_cho
216,ARTPLM1
217,PLDPE_EPA_EPA_c
218,PCW3DS_MYRS_EPA_sn2_c
219,PETOHM_SC
220,PI45PLC_cho
221,UDPGtnic
222,CDIPT_LNA_PALM_c
223,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
224,PGSA182_9_12
225,ETHAPT
226,PLCD
227,CHOPT_STC_OLE_c
228,ETHAPT_PALM_EPA_c
229,LPLIPAL1G140
230,PLDAGAT_EPA_EPA_EPA_PE_14_c
231,PAPA18111Z1819Z
232,PI34P4P
233,PLA2PE_EPA_HDE_c
234,METTRPPHEt
235,PAPA_STC_DHA_c
236,DAGAH_OLE_ARA_c
237,PCW3DS_EPA_EPA_sn2_c
238,PGPP182_9_12
239,CHOPT_STC_DHA_c
240,pe_prod5
241,METHFtxc
242,R1PK
243,CDAPPA120
244,CHOPT_STC_STC_c
245,PCD12DS_LNA_HDE_sn1_c
246,AGPAT160
247,PLA2PE_LNA_LNA_c
248,ETHAPT_SC
249,PIP3P_LNA_PALM_c
250,ETHAPT_HDE_HDE_c
251,LPS3_cho
252,PSYc
