,rxns_added
0,TAURt
1,EX_thrthrarg_e
2,6PGTt_h
3,ACPS
4,H2Otu_syn
5,CHORM
6,ASPSAth
7,HSDxi
8,NPH
9,ATPS_h
10,PGLh
11,THRTHRARGr
12,HMDHPS_c
13,CEPTEnhs
14,G6PBDHh
15,CYSAMO
16,EX_fmn_e
17,HMR_0654
18,ASPK_1
19,FADDP
20,PHEPHETHRt
21,NADK3
22,PPNDH
23,HMR_0653nhs
24,ASPth
25,NDH1_2u
26,PGLc
27,FMNtex
28,FLNDPR2r
29,CDPMEK
30,EX_phephethr_e
31,DMBZIDS
32,G1P_pi_th
33,DBRC
34,G6PB_pi_th
35,ETHAPT
36,FMNt
37,NDH2_syn
38,PKETF
39,H2Othu
40,SQLS
41,CEPTCnhs
42,NMNS
43,DPPS
44,PAN4PP
45,THRTHRARGt
46,PHEPHETHRr
47,PNTOt2
48,HMR_0657nhs
49,HYPTROX_cho
50,ASADH
51,PTHPS2
