,rxns_added
0,GTHRDH_syn
1,ASNASNARGr
2,AMETt2
3,PRO1y
4,RPEc
5,EX_lyslyslys_e
6,ASNTYRPHEr
7,PC
8,ASNTYRPHEt
9,ASPTA6
10,PSERT
11,r1564
12,GTHOXti
13,PHEPHEASNt
14,HISHISLYSr
15,FAO181p_oddc
16,PGCD
17,PSP_L
18,LYSLYSLYSr
19,EX_asntyrphe_e
20,HISTRPHISr
21,FBA
22,ICL
23,HCO3E
24,CITt2r
25,LYSLYSLYSt
26,HCYSMT
27,ASNASNARGt
28,GLNS
29,EX_hishislys_e
30,EX_adprib_e
31,EX_amet_e
32,ADPRIBt
33,FBA3
34,EX_phepheasn_e
35,HISHISLYSt
36,EX_histrphis_e
37,ASNS2
38,HISTRPHISt
39,MALS
40,P5CD
41,PHEPHEASNr
42,EX_asnasnarg_e
