,rxns_added
0,THRASNNaEx: asn__L_c + na1_e + thr__L_e --> asn__L_e + na1_c + thr__L_c
1,NH4ti: nh4_c --> nh4_e
2,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
3,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
4,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
5,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
6,CHORM: chor_c --> pphn_c
7,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
8,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
9,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
10,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
11,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
12,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
13,GMPt6: gmp_e + h_e --> gmp_c + h_c
14,FAO2: atp_c + 8.0 coa_c + 7.0 fad_c + 7.0 h2o_c + hdca_c + 7.0 nad_c --> 8.0 accoa_c + amp_c + 7.0 fadh2_c + 7.0 h_c + 7.0 nadh_c + ppi_c
15,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
16,r0926: 3pg_m --> 3pg_c
17,PRAIi: pran_c --> 2cpr5p_c
18,GHMT2r: ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
19,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
20,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
21,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
22,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
23,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
24,DHQS: 2dda7p_c --> 3dhq_c + pi_c
25,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
26,CO2tmt: co2_m <=> co2_c
27,EX_thr__L_e: thr__L_e <=> 
28,ORNCD: orn_c --> nh4_c + pro__L_c
29,CITt2r: cit_e + h_e <=> cit_c + h_c
30,HCO3E: co2_c + h2o_c --> h_c + hco3_c
31,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
32,3MOBtmt: 3mob_m <=> 3mob_c
33,CHORS: 3psme_c --> chor_c + pi_c
34,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
35,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
36,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
37,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
38,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
