,rxns_added
0,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
1,ADPT: ade_c + prpp_c --> amp_c + ppi_c
2,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
3,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
4,CHORS: 3psme_c --> chor_c + pi_c
5,PYRDC2: acald_c + h_c + pyr_c --> actn__R_c + co2_c
6,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
7,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
8,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
9,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
10,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
11,SO4HCOtex: 2.0 hco3_c + so4_e --> 2.0 hco3_e + so4_c
12,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
13,ACLS: h_c + 2.0 pyr_c --> alac__S_c + co2_c
14,CHORM: chor_c --> pphn_c
15,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
16,DHQS: 2dda7p_c --> 3dhq_c + pi_c
17,FUM: fum_c + h2o_c --> mal__L_c
18,PRAIi: pran_c --> 2cpr5p_c
19,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
