,rxns_added
0,ILEARGILEt
1,CYSLEUTHRt
2,ILEARGILEr
3,CITt2r
4,EX_cysleuthr_e
5,PSERT
6,MALS
7,EX_fadh2_c
8,CYSLY3
9,DHPR
10,EX_valleuphe_e
11,PSP_L
12,ICL
13,PYDXO
14,PRO1y
15,EX_ileargile_e
16,5DOAN
17,THRTHRARGt
18,VALLEUPHEt
19,CITt3
20,TRPTHRILEt
21,GLYTA
22,CYSLEUTHRr
23,THRTHRARGr
24,EX_thrthrarg_e
25,EX_trpthrile_e
26,QULNS
27,PGCD
28,ANNAT
29,EX_leutyrtyr_e
30,DM_dad_5_c
31,TRPTHRILEr
32,NMNt7
33,PHETHPTOX
34,LEUTYRTYRr
35,LEUTYRTYRt
36,DM_5drib_c
37,ARGt2r
38,NNDPR
39,NMNP
40,GMPR
41,VALLEUPHEr
42,SULO
43,GMPt6
44,ASPO6_1
