,rxns_added
0,GLCt1: glc__D_e <=> glc__D_c
1,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
2,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
3,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
4,PRAIi: pran_c --> 2cpr5p_c
5,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
6,FMNRy_1: fmn_c + 2.0 h_c + nadph_c --> fmnh2_c + nadp_c
7,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
8,GLYCL_2: co2_c + mlthf_c + nadh_c + nh4_c --> gly_c + nad_c + thf_c
9,FBA: fdp_c <=> dhap_c + g3p_c
10,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
11,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
12,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
13,ARGt5r: arg__L_e --> arg__L_c
14,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
15,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
16,MLTG2: h2o_c + maltttr_c --> glc__D_c + malttr_c
17,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
18,LEUtec: leu__L_e --> leu__L_c
19,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
20,MLTG1: h2o_c + malttr_c --> glc__D_c + malt_c
21,r2534: thr__L_e --> thr__L_c
22,CHORM: chor_c --> pphn_c
23,HMR_3951: na1_c + so3_c --> na1_e + so3_e
24,PAPt: pap_e <=> pap_c
25,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
26,SULR_2: 6.0 fdxrd_c + 7.0 h_c + so3_c --> 6.0 fdxox_c + 3.0 h2o_c + h2s_c
27,r0963: fol_e <=> fol_c
28,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
29,EX_his__L_e: his__L_e <=> 
30,HCO3E: co2_c + h2o_c --> h_c + hco3_c
31,BPNT: h2o_c + pap_c --> amp_c + pi_c
32,CHORS: 3psme_c --> chor_c + pi_c
33,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
34,METR: 5mthf_c + cfesp_c --> mecfsp_c + thf_c
35,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
