,rxns_added
0,VALTRPVALr
1,PSERT
2,PRPPS
3,KAS13
4,GLYDHDA
5,ILEARGILEt
6,ADPRIBt
7,FGFThc
8,HMR_3915
9,EX_thrglntyr_e
10,ARGSERSERt
11,MTHFD
12,NAPRT
13,EX_argserser_e
14,NADDP
15,GLNTYRLEUr
16,CITt2r
17,MALS
18,MTHFR5
19,EX_asntyrthr_e
20,EX_valtrpval_e
21,OCDCAt
22,FORAMD
23,VALLEUPHEt
24,ASNTYRTHRr
25,CYSLEUTHRt
26,ORNCD_1
27,SO3ti
28,SULR_1
29,ARGSERSERr
30,EX_cysleuthr_e
31,PUTA3
32,EX_glntyrleu_e
33,CYSLEUTHRr
34,EX_5fthf_e
35,VALTRPVALt
36,VALLEUPHEr
37,PAPt
38,GLS2e
39,EX_adprib_e
40,MDH
41,EX_glucan1500_e
42,EX_leuleutrp_e
43,ILEARGILEr
44,ARGN_1
45,GLUDy_pf
46,EX_ileasnhis_e
47,MTHFR
48,CS
49,HISD_c
50,PRUK
51,EX_valleuphe_e
52,CODH_ACS
53,METR
54,GLS2
55,CYSLY3
56,ILEASNHISr
57,GLUCAN2abc
58,ARGN
59,PYDXO
60,THRGLNTYRr
61,THRGLNTYRt
62,ASNTYRTHRt
63,EX_pap_e
64,NMNDA
65,RBPC
66,BPNT
67,GART
68,GLCt1
69,EX_1mncam_e
70,ORNTA_1
71,GTHOXti
72,H2O2t
73,EX_ileargile_e
74,EX_thrthrarg_e
75,GTHPe
76,THRTHRARGt
77,r1739
78,LEULEUTRPr
79,ORNCD
80,NNMT
81,5FTHFt2_1
82,1MNCAMti
83,NADPPPS
84,5MTHFt2_1
85,FATP3t
86,ADPRDP
87,PGCD
88,NNAM
89,HCO3E
90,LEULEUTRPt
91,PSP_L
92,GLNTYRLEUt
93,UREA
94,THRTHRARGr
95,ILEASNHISt
