,rxns_added
0,EX_CE5022_e: CE5022_e <=> 
1,EX_fum_e: fum_e <=> 
2,EX_mal__D_e: mal__D_e <=> 
3,EX_ipdp_e: ipdp_e <=> 
4,EX_5fthf_e: 5fthf_e <=> 
5,5FTHFt2_1: 5fthf_e + h2o_c --> 5fthf_c + h2o_e
6,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
7,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
8,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
9,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
10,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
11,THRD_L: thr__L_c --> 2obut_c + nh4_c
12,ILEtec: ile__L_e --> ile__L_c
13,EX_pdx5p_e: pdx5p_e <=> 
14,EX_5mthf_e: 5mthf_e <=> 
15,5MTHFt: 5mthf_e --> 5mthf_c
16,EX_succ_e: succ_e <=> 
17,AKO: akg_c + fad_c + h2o_c --> co2_c + fadh2_c + succ_c
18,FRD: fadh2_c + fum_c --> fad_c + succ_c
19,EX_atp_e: atp_e <=> 
20,EX_citr__L_e: citr__L_e <=> 
21,EX_tag_e: tag_e <=> 
22,EX_pydxn_e: pydxn_e <=> 
23,EX_coa_e: coa_e <=> 
24,EX_lipoate_e: lipoate_e <=> 
25,LIPOti_1: atp_c + h2o_c + lipoate_e + na1_e --> adp_c + h_c + lipoate_c + na1_c + pi_c
26,EX_avite1_e: avite1_e <=> 
27,HGPHT: h_c + hgentis_c + phdp_c --> 2m6phol_c + co2_c + ppi_c
28,TOCOPHOM1: amet_c + gtocophe_c --> ahcys_c + avite1_c + h_c
29,MPBQ: 2m6phol_c + amet_c --> 23dmphol_c + ahcys_c + h_c
30,34HPPOR: 34hpp_c + o2_c --> co2_c + hgentis_c
31,GGDPR: ggdp_c + 3.0 h_c + 3.0 nadph_c --> 3.0 nadp_c + phdp_c
32,TOCOPHS1: 23dmphol_c --> gtocophe_c
33,PSD_EC: h_c + 0.02 ps_EC_c --> co2_c + 0.02 pe_EC_c
34,PGPP_EC: h2o_c + 0.02 pgp_EC_c --> 0.02 pg_EC_c + pi_c
35,LPLIPA1: 0.02 agpg_EC_c + h2o_c --> g3pg_c + h_c + 0.36 hdca_c + 0.07 hdcea_c + 0.5 ocdcea_c + 0.02 ttdca_c + 0.05 ttdcea_c
36,LPLIPA2: 0.02 agpe_EC_c + h2o_c --> g3pe_c + h_c + 0.36 hdca_c + 0.07 hdcea_c + 0.5 ocdcea_c + 0.02 ttdca_c + 0.05 ttdcea_c
37,PLIPA1: h2o_c + 0.02 pg_EC_c --> 0.02 agpg_EC_c + h_c + 0.36 hdca_c + 0.07 hdcea_c + 0.5 ocdcea_c + 0.02 ttdca_c + 0.05 ttdcea_c
38,PSSA_EC: 0.02 cdpdag_EC_c + ser__L_c --> cmp_c + h_c + 0.02 ps_EC_c
39,PLIPA2: h2o_c + 0.02 pe_EC_c --> 0.02 agpe_EC_c + h_c + 0.36 hdca_c + 0.07 hdcea_c + 0.5 ocdcea_c + 0.02 ttdca_c + 0.05 ttdcea_c
40,GLYCtex: glyc_e --> glyc_p
41,PGSA_EC: 0.02 cdpdag_EC_c + glyc3p_c --> cmp_c + h_c + 0.02 pgp_EC_c
42,GLYCtpp: glyc_c --> glyc_p
