,rxns_added
0,LEUtec: leu__L_e --> leu__L_c
1,trna_asn: trnaasn_c <=> 
2,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
3,trna_gln: trnagln_c <=> 
4,HIStiDF: his__L_e --> his__L_c
5,COAtmt: coa_m <=> coa_c
6,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
7,r0686: 1p3h5c_m + 2.0 h2o_m + nadp_m --> e4hglu_m + h_m + nadph_m
8,SULR_2: 6.0 fdxrd_c + 7.0 h_c + so3_c --> 6.0 fdxox_c + 3.0 h2o_c + h2s_c
9,METtec: met__L_e --> met__L_c
10,ASPth: asp__L_c + h_c --> asp__L_h + h_h
11,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
12,CEPA: cellb_c + pi_c --> g1p_c + glc__D_c
13,DDPGAm: 4h2oglt_m --> glx_m + pyr_m
14,trna_val: trnaval_c <=> 
15,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
16,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
17,FMETTRS_1: 10fthf_c + mettrna_c --> fmettrna_c + thf_c
18,CHORS: 3psme_c --> chor_c + pi_c
19,DHQS: 2dda7p_c --> 3dhq_c + pi_c
20,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
21,GHMT2r: ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
22,PTRCTA: akg_c + ptrc_c --> 4abutn_c + glu__L_c
23,EHGLAT2m: e4hglu_m + oaa_m --> 4h2oglt_m + asp__L_m
24,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
25,FORthi: for_h + h_h --> for_c + h_c
26,PROPAT4te: pro__L_e --> pro__L_c
27,trna_gly: trnagly_c <=> 
28,PTRCARGte: arg__L_e + ptrc_c --> arg__L_c + ptrc_e
29,3MOBtmt: 3mob_m <=> 3mob_c
30,Htu: h_h --> h_u
31,4HPRO_LTtm: 4hpro_LT_c --> 4hpro_LT_m
32,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
33,trna_ser: trnaser_c <=> 
34,G6PA_pi_th: g6p_A_c + pi_h --> g6p_A_h + pi_c
35,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
36,CITt2r: cit_e + h_e <=> cit_c + h_c
37,trna_met: trnamet_c <=> 
38,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
39,ABTA: 4abut_c + akg_c --> glu__L_c + sucsal_c
40,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
41,LYSt5r: lys__L_e --> lys__L_c
42,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
43,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
44,PFLh: coa_h + pyr_h --> accoa_h + for_h
45,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
46,PHSERt_h: phom_h --> phom_c
47,trna_ile: trnaile_c <=> 
48,CAT: 2.0 h2o2_c --> 2.0 h2o_c + o2_c
49,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
50,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
51,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
52,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
53,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
54,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
55,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
56,FUMtr: fum_e --> fum_c
57,MDHm: mal__L_m + nad_m <=> h_m + nadh_m + oaa_m
58,CITCIa: citm_c --> citac_c + h2o_c
59,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
60,trna_ala: trnaala_c <=> 
61,trna_thr: trnathr_c <=> 
62,CITACt: ac_c + cit_e --> ac_e + cit_c
63,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
64,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
65,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
66,MTHFC_1: h2o_c + methf_c --> 10fthf_c
67,TKT1: r5p_c + xu5p__D_c <=> g3p_c + s7p_c
68,r0911: glu__L_m + pro__L_c --> glu__L_c + pro__L_m
69,trna_pro: trnapro_c <=> 
70,PRAIi: pran_c --> 2cpr5p_c
71,CS: accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
72,CO2t: co2_e <=> co2_c
73,THRS: h2o_c + phom_c --> pi_c + thr__L_c
74,ME2m: mal__L_m + nadp_m --> co2_m + nadph_m + pyr_m
75,trna_tyr: trnatyr_c <=> 
76,GTHRDt2: gthrd_e --> gthrd_c
77,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
78,G6PADHh: g6p_A_h + nadp_h --> 6pgl_h + h_h + nadph_h
79,FRDcm: fadh2_m + fum_c --> fad_m + succ_c
80,GLUK: atp_c + glc__D_c --> adp_c + g6p_B_c + h_c
81,trna_his: trnahis_c <=> 
82,CO2tmt: co2_m <=> co2_c
83,FAOXC80: 3.0 coa_m + 3.0 fad_m + 3.0 h2o_m + 3.0 nad_m + occoa_m --> 4.0 accoa_m + 3.0 fadh2_m + 3.0 h_m + 3.0 nadh_m
84,P5CDm: 1pyr5c_m + 2.0 h2o_m + nad_m --> glu__L_m + h_m + nadh_m
85,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
86,H2Oth: h2o_c --> h2o_h
87,PIt_h: h_c + pi_c --> h_h + pi_h
88,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
89,CHORM: chor_c --> pphn_c
90,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
91,ACSERthi: acser_h --> acser_c
92,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
93,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
94,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
95,OAAtmt: oaa_m <=> oaa_c
96,trna_lys: trnalys_c <=> 
97,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
98,PROAKGOX1: akg_c + o2_c + pro__L_c --> 4hpro_LT_c + co2_c + succ_c
99,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
100,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
101,SAT: accoa_h + ser__L_h --> acser_h + coa_h
102,trna_asp: trnaasp_c <=> 
103,EX_leu__L_e: leu__L_e <=> 
104,PRO1xm: nad_m + pro__L_m --> 1pyr5c_m + 2.0 h_m + nadh_m
105,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
106,GAPD: g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c
107,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
108,ASPtmt: asp__L_m <=> asp__L_c
109,HPROym: 4hpro_LT_m + nadp_m --> 1p3h5c_m + 2.0 h_m + nadph_m
110,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
111,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
112,GLNth: gln__L_c + h_c --> gln__L_h + h_h
113,GLUth: glu__L_h + h_h --> glu__L_c + h_c
