,rxns_added
0,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
1,ALAALACNc: alaala_c + h2o_c --> 2.0 ala__L_c
2,PTD1INOt: ptd1ino_c <=> ptd1ino_e
3,ILEtec: ile__L_e --> ile__L_c
4,CHORS: 3psme_c --> chor_c + pi_c
5,EX_inositol: ptd1ino_e <=> 
6,G3PAT140: glyc3p_c + myrsACP_c --> 1tdecg3p_c + ACP_c
7,r2534: thr__L_e --> thr__L_c
8,PPC: co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
9,SBT_Dt: sbt__D_e <=> sbt__D_c
10,OCDCEAt: ocdcea_e <=> ocdcea_c
11,CMPN: cmp_c + h2o_c --> csn_c + r5p_c
12,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
13,AGPAT120: 1ddecg3p_c + ddcaACP_c --> ACP_c + pa120_c
14,PAPt: pap_e <=> pap_c
15,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
16,AGPATCOA_STC_STC_c: 1odecg3p_c + ocdccoa_c --> coa_c + pa180_c
17,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
18,PYROX: h_c + nadh_c + o2_c + ura_c --> nad_c + uracp_c
19,LEUtec: leu__L_e --> leu__L_c
20,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
21,OCDCAt: ocdca_e <=> ocdca_c
22,GLNt: gln__L_e --> gln__L_c
23,UREA: h2o_c + 2.0 h_c + urea_c --> co2_c + 2.0 nh4_c
24,PRAIi: pran_c --> 2cpr5p_c
25,MMSAD3: coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c
26,PFK_ppi: f6p_c + ppi_c --> fdp_c + h_c + pi_c
27,METtec: met__L_e --> met__L_c
28,AGPATCOA_HDE_HDE_c: 1hdec9eg3p_c + hdcoa_c --> coa_c + pa161_c
29,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
30,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
31,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
32,AGPAT181: 1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c
33,CHORM: chor_c --> pphn_c
34,MLTG2: h2o_c + maltttr_c --> glc__D_c + malttr_c
35,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
36,r2000: cys__L_c + lys__L_e --> cys__L_e + lys__L_c
37,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
38,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
39,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
40,H2Ot: h2o_e <=> h2o_c
41,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
42,lipid1: Rtotal_c <=> dca_c + ddca_c + hdca_c + hdcea_c + hxa_c + ocdca_c + ocdcea_c + octa_c + ttdca_c + ttdcea_c
43,lipid6: Rtotal_e <=> dca_e + ddca_e + hdca_e + hdcea_e + hxa_e + ocdca_e + ocdcea_e + octa_e + ttdca_e + ttdcea_e
44,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
45,G3PAT1619Z_c: glyc3p_c + hdcoa_c --> 1hdec9eg3p_c + coa_c
46,CBMD: cbm_c + 2.0 h_c --> co2_c + nh4_c
47,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
48,HCO3E: co2_c + h2o_c --> h_c + hco3_c
49,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
50,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
51,GTHOXti: gthox_e --> gthox_c
52,OCTAt: octa_e <=> octa_c
53,G3PAT120: ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c
54,r2002: lys__L_e + pro__L_c --> lys__L_c + pro__L_e
55,NCNt: ca2_e + 4.0 na1_c + nh4_e --> ca2_c + 4.0 na1_e + nh4_c
56,O2t: o2_e <=> o2_c
57,VALtec: val__L_e --> val__L_c
58,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
59,SO4HCOtex: 2.0 hco3_c + so4_e --> 2.0 hco3_e + so4_c
60,AGPAT141: 1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c
61,ACALDCD: 2.0 acald_c --> actn__R_c
62,URACPAH: h2o_c + uracp_c --> cbm_c + h_c + poaac_c
63,SULR_2: 6.0 fdxrd_c + 7.0 h_c + so3_c --> 6.0 fdxox_c + 3.0 h2o_c + h2s_c
64,LYSt5r: lys__L_e --> lys__L_c
65,G3PAT141: glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c
66,MLTG1: h2o_c + malttr_c --> glc__D_c + malt_c
67,AGPATCOA_MYRS_MYRS_c: 1tdecg3p_c + tdcoa_c --> coa_c + pa140_c
68,ARGt5r: arg__L_e --> arg__L_c
69,CITACt: ac_c + cit_e --> ac_e + cit_c
70,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
71,3AMACHYD: 3amac_c + h2o_c + h_c --> msa_c + nh4_c
72,ARGN: arg__L_c + h2o_c --> orn_c + urea_c
73,DHQS: 2dda7p_c --> 3dhq_c + pi_c
74,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
75,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
76,BPNT: h2o_c + pap_c --> amp_c + pi_c
77,PROTEIN_BS: 0.6 ala__L_c + 0.377 arg__L_c + 0.2881 asn__L_c + 0.359 asp__L_c + 0.145 cys__L_c + 0.322 gln__L_c + 0.386 glu__L_c + 0.538 gly_c + 0.143 his__L_c + 0.324 ile__L_c + 0.564 leu__L_c + 0.57 lys__L_c + 0.138 met__L_c + 0.219 phe__L_c + 0.313 pro__L_c + 0.43 ser__L_c + 0.386 thr__L_c + 0.044 trp__L_c + 0.182 tyr__L_c + 0.416 val__L_c --> protein_c
78,CITt2r: cit_e + h_e <=> cit_c + h_c
79,AGPAT160: 1hdecg3p_c + palmACP_c --> ACP_c + pa160_c
80,RTOTALt: Rtotal_e --> Rtotal_c
81,EX_pap_e: pap_e <=> 
82,HXAt: hxa_e <=> hxa_c
83,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
84,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
85,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
