,rxns_added
0,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
1,GPDDA3: g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c
2,FldAct: fald_c + thf_c --> h2o_c + mlthf_c
3,P5CR: 1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c
4,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
5,r2419: akg_c + pi_m --> akg_m + pi_c
6,trna_tyr: trnatyr_c <=> 
7,trna_asn: trnaasn_c <=> 
8,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
9,ACONTa: cit_c <=> acon_C_c + h2o_c
10,CODH_ACS: co2_c + coa_c + fdxr_42_c + h_c + mecfsp_c --> accoa_c + cfesp_c + fdxo_42_c + h2o_c
11,EX_pap_e: pap_e <=> 
12,HIStiDF: his__L_e --> his__L_c
13,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
14,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
15,GLUth: glu__L_h + h_h --> glu__L_c + h_c
16,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
17,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
18,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
19,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
20,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
21,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
22,RE0915C: h2o_c + maltttr_c --> fru_c + malttr_c
23,trna_thr: trnathr_c <=> 
24,CYOO3: 2.0 focytcc_c + 6.0 h_c + 0.5 o2_c --> 2.0 ficytcc_c + h2o_c + 4.0 h_e
25,trna_met: trnamet_c <=> 
26,trna_ala: trnaala_c <=> 
27,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
28,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
29,MLTP2: malthx_c + pi_c --> g1p_c + maltpt_c
30,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
31,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
32,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
33,ARGt5r: arg__L_e --> arg__L_c
34,H2ASE_syn: h_c + nadph_c --> h2_c + nadp_c
35,FOLt2_1: fol_e + h2o_c --> fol_c + h2o_e
36,NADHDH: 3.0 h_c + nadh_c + q_c --> 2.0 h_e + nad_c + qh2_c
37,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
38,H2Oth: h2o_c --> h2o_h
39,ICDHym: icit_m + nadp_m <=> akg_m + co2_m + nadph_m
40,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
41,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
42,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
43,AKGICITtm: akg_c + icit_m --> akg_m + icit_c
44,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
45,HMR_8580: h2o_c + malttr_c --> fru_c + malt_c
46,ACTNdiff: actn__R_e --> actn__R_c
47,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
48,GTHOXti: gthox_e --> gthox_c
49,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
50,DHAP_pi_thr: dhap_c + pi_h --> dhap_h + pi_c
51,BPNT: h2o_c + pap_c --> amp_c + pi_c
52,TKT2: e4p_c + xu5p__D_c <=> f6p_c + g3p_c
53,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
54,ACSERthi: acser_h --> acser_c
55,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
56,CATm: 2.0 h2o2_m --> 2.0 h2o_m + o2_m
57,trna_lys: trnalys_c <=> 
58,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
59,THRS: h2o_c + phom_c --> pi_c + thr__L_c
60,LGTHL: gthrd_c + mthgxl_c --> lgt__S_c
61,AMALT2: malt_c + maltttr_c --> glc__D_c + maltpt_c
62,SAT: accoa_h + ser__L_h --> acser_h + coa_h
63,trna_gln: trnagln_c <=> 
64,trna_arg: trnaarg_c <=> 
65,GLNt: gln__L_e --> gln__L_c
66,SPODMm: 2.0 h_m + 2.0 o2s_m --> h2o2_m + o2_m
67,ALATA_L: akg_c + ala__L_c --> glu__L_c + pyr_c
68,PYDXO_1: h2o_c + o2_c + pydam_c --> h2o2_c + nh4_c + pydx_c
69,RPI: r5p_c <=> ru5p__D_c
70,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
71,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
72,CHORM: chor_c --> pphn_c
73,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
74,trna_ile: trnaile_c <=> 
75,GHMT2r: ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
76,METtec: met__L_e --> met__L_c
77,GLUK: atp_c + glc__D_c --> adp_c + g6p_B_c + h_c
78,ASPth: asp__L_c + h_c --> asp__L_h + h_h
79,HEX7: atp_c + fru_c --> adp_c + f6p_c + h_c
80,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
81,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
82,TPI: dhap_c <=> g3p_c
83,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
84,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
85,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
86,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
87,CO2tmt: co2_m <=> co2_c
88,PHSERt_h: phom_h --> phom_c
89,PC: atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
90,MLTP1: maltpt_c + pi_c --> g1p_c + maltttr_c
91,trna_val: trnaval_c <=> 
92,ACCOAtm: accoa_c + coa_m --> accoa_m + coa_c
93,trna_pro: trnapro_c <=> 
94,MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c
95,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
96,CYOOm3: 4.0 focytC_m + 7.92 h_m + o2_m --> 4.0 ficytC_m + 1.96 h2o_m + 4.0 h_c + 0.02 o2s_m
97,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
98,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
99,ACOAH: ac_c + coa_c + h_c --> accoa_c + h2o_c
100,HYDFDN2r: fdxo_42_c + 2.0 h2_c + nadp_c --> fdxr_42_c + 3.0 h_c + nadph_c
101,trna_asp: trnaasp_c <=> 
102,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
103,METR: 5mthf_c + cfesp_c --> mecfsp_c + thf_c
104,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
105,PYRtm: pyr_c --> pyr_m
106,GTHOr: gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c
107,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
108,MLTG2: h2o_c + maltttr_c --> glc__D_c + malttr_c
109,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
110,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
111,DHQS: 2dda7p_c --> 3dhq_c + pi_c
112,CHORS: 3psme_c --> chor_c + pi_c
113,HCO3E: co2_c + h2o_c --> h_c + hco3_c
114,trna_ser: trnaser_c <=> 
115,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
116,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
117,PIcm: pi_c --> pi_m
118,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
119,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
120,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
121,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
122,CYSS_2: acser_c + h2s_c --> ac_c + cys__L_c
123,EX_leu__L_e: leu__L_e <=> 
124,TKT1: r5p_c + xu5p__D_c <=> g3p_c + s7p_c
125,trna_phe: trnaphe_c <=> 
126,trna_leu: trnaleu_c <=> 
127,SULFOX: 2.0 ficytC_m + h2o_c + so3_c --> 2.0 focytC_m + 2.0 h_c + so4_c
128,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
129,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
130,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
131,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
132,GAPDi_nadp: 13dpg_c + h_c + nadph_c --> g3p_c + nadp_c + pi_c
133,G5SD: glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
134,trna_his: trnahis_c <=> 
135,r0963: fol_e <=> fol_c
136,CITt2r: cit_e + h_e <=> cit_c + h_c
137,EX_his__L_e: his__L_e <=> 
138,PIt_h: h_c + pi_c --> h_h + pi_h
139,H2Otm: h2o_c --> h2o_m
140,Htu: h_h --> h_u
141,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
142,H2O2t: h2o2_e <=> h2o2_c
143,CYOR3m: 2.0 ficytcc_c + h_c + mql7_c --> 2.0 focytcc_c + 3.0 h_e + mqn7_c
144,MCITDm: hcit_m --> b124tc_m + h2o_m
145,GLNth: gln__L_c + h_c --> gln__L_h + h_h
146,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
147,ACONTb: acon_C_c + h2o_c <=> icit_c
