,rxns_added
0,DHQS: 2dda7p_c --> 3dhq_c + pi_c
1,trna_met: trnamet_c <=> 
2,trna_arg: trnaarg_c <=> 
3,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
4,PRAIi: pran_c --> 2cpr5p_c
5,trna_val: trnaval_c <=> 
6,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
7,trna_tyr: trnatyr_c <=> 
8,CHORS: 3psme_c --> chor_c + pi_c
9,trna_gln: trnagln_c <=> 
10,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
11,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
12,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
13,trna_cys: trnacys_c <=> 
14,GMPt6: gmp_e + h_e --> gmp_c + h_c
15,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
16,trna_leu: trnaleu_c <=> 
17,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
18,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
19,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
20,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
21,trna_glu: trnaglu_c <=> 
22,EX_leu__L_e: leu__L_e <=> 
23,trna_pro: trnapro_c <=> 
24,trna_ser: trnaser_c <=> 
25,trna_trp: trnatrp_c <=> 
26,r1807: gly_c + leu__L_e + na1_e --> gly_e + leu__L_c + na1_c
27,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
28,CHORM: chor_c --> pphn_c
29,trna_ile: trnaile_c <=> 
30,trna_his: trnahis_c <=> 
31,trna_lys: trnalys_c <=> 
32,trna_asn: trnaasn_c <=> 
33,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
34,GAPP: g3p_c + h2o_c --> glyald_c + pi_c
35,trna_ala: trnaala_c <=> 
36,trna_thr: trnathr_c <=> 
37,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
38,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
39,trna_phe: trnaphe_c <=> 
40,trna_asp: trnaasp_c <=> 
41,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
42,trna_gly: trnagly_c <=> 
43,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
