,rxns_added
0,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
1,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
2,FMETTRS_1: 10fthf_c + mettrna_c --> fmettrna_c + thf_c
3,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
4,G3PAT141: glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c
5,ADHEr: accoa_c + 2.0 h_c + 2.0 nadh_c --> coa_c + etoh_c + 2.0 nad_c
6,EX_amet_e: amet_e <=> 
7,MLTP2: malthx_c + pi_c --> g1p_c + maltpt_c
8,GLNth: gln__L_c + h_c --> gln__L_h + h_h
9,MLTG2: h2o_c + maltttr_c --> glc__D_c + malttr_c
10,PSD141: h_c + ps141_c --> co2_c + pe141_c
11,MTHFD: mlthf_c + nadp_c <=> methf_c + nadph_c
12,CITCIb: citac_c + h2o_c --> r3mmal_c
13,3MOBtmt: 3mob_m <=> 3mob_c
14,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
15,ETHAPT_MYRS_MYRS_c: 12dgr140_c + cdpea_c --> cmp_c + h_c + pe140_c
16,PHSERt_h: phom_h --> phom_c
17,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
18,HMR_8582: h2o_c + malt_c --> 2.0 fru_c
19,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
20,trna_cys: trnacys_c <=> 
21,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
22,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
23,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
24,GLUK: atp_c + glc__D_c --> adp_c + g6p_B_c + h_c
25,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
26,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
27,G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
28,trna_asp: trnaasp_c <=> 
29,KHK: atp_c + fru_c --> adp_c + f1p_c + h_c
30,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
31,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
32,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
33,trna_ala: trnaala_c <=> 
34,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
35,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
36,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
37,G3PAT1619Z_c: glyc3p_c + hdcoa_c --> 1hdec9eg3p_c + coa_c
38,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
39,EX_his__L_e: his__L_e <=> 
40,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
41,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
42,SUCOASm: atp_m + coa_m + succ_m <=> adp_m + pi_m + succoa_m
43,MI1PP: h2o_c + mi1p__D_c --> inost_c + pi_c
44,G3PAT120: ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c
45,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
46,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
47,trna_lys: trnalys_c <=> 
48,MI1PS: g6p_c --> mi1p__D_c
49,CO2tmt: co2_m <=> co2_c
50,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
51,PYRtm: pyr_c --> pyr_m
52,PSSA181: cdpdodec11eg_c + ser__L_c --> cmp_c + h_c + ps181_c
53,r0483: 3aib__D_m + akg_m --> 2mop_m + glu__L_m
54,trna_gln: trnagln_c <=> 
55,MMMm: mmcoa__R_m --> succoa_m
56,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
57,ARTCOAL2_cho: Rtotal2coa_c + h2o_c --> Rtotal2_c + coa_c + h_c
58,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
59,Htu: h_h --> h_u
60,r2419: akg_c + pi_m --> akg_m + pi_c
61,trna_met: trnamet_c <=> 
62,H2Oth: h2o_c --> h2o_h
63,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
64,AHCi: ahcys_c + h2o_c --> adn_c + hcys__L_c
65,GHMT2r: ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
66,r0330: h_c + nadh_c + thym_c --> 56dthm_c + nad_c
67,DAGK181: 12dgr181_c + atp_c --> adp_c + h_c + pa181_c
68,r0595: h_c + mercppyr_c + so3_c --> HC01501_c + pyr_c
69,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
70,AGPAT141: 1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c
71,SO4t_e: 2.0 h_c + so4_c --> 2.0 h_e + so4_e
72,ATPS_h: adp_h + 4.67 h_u + pi_h --> atp_h + h2o_h + 3.67 h_h
73,ASPth: asp__L_c + h_c --> asp__L_h + h_h
74,AMETt2: amet_e + h_e --> amet_c + h_c
75,trna_val: trnaval_c <=> 
76,O2tmt: o2_m <=> o2_c
77,EX_trp__L_e: trp__L_e <=> 
78,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
79,BUP2: 3uib_c + h2o_c + 2.0 h_c --> 3aib__D_c + co2_c + nh4_c
80,SULFOX: 2.0 ficytC_m + h2o_c + so3_c --> 2.0 focytC_m + 2.0 h_c + so4_c
81,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
82,CITCIa: citm_c --> citac_c + h2o_c
83,lipid3: dag_c <=> 12dgr120_c + 12dgr140_c + 12dgr141_c + 12dgr160_c + 12dgr161_c + 12dgr180_c + 12dgr181_c
84,AGPAT120: 1ddecg3p_c + ddcaACP_c --> ACP_c + pa120_c
85,ACSERthi: acser_h --> acser_c
86,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
87,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
88,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
89,CHORM: chor_c --> pphn_c
90,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
91,ACONTb: acon_C_c + h2o_c <=> icit_c
92,r0819: akg_c + succ_m --> akg_m + succ_c
93,lipid5: pe_c <=> pe120_c + pe140_c + pe141_c + pe160_c + pe161_c + pe180_c + pe181_c
94,G3PAT140_c: glyc3p_c + tdcoa_c --> 1tdecg3p_c + coa_c
95,AGPATCOA_HDE_HDE_c: 1hdec9eg3p_c + hdcoa_c --> coa_c + pa161_c
96,OCDCEAt: ocdcea_e <=> ocdcea_c
97,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
98,MLTP1: maltpt_c + pi_c --> g1p_c + maltttr_c
99,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
100,GLUth: glu__L_h + h_h --> glu__L_c + h_c
101,trna_gly: trnagly_c <=> 
102,PTD1INOt: ptd1ino_c <=> ptd1ino_e
103,RE0916C: CE2873_c + h2o_c --> CE2872_c + h_c + so4_c
104,PSD181: h_c + ps181_c --> co2_c + pe181_c
105,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
106,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
107,ETHAPT_STC_STC_c: 12dgr180_c + cdpea_c --> cmp_c + h_c + pe180_c
108,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
109,trna_arg: trnaarg_c <=> 
110,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
111,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
112,EX_leu__L_e: leu__L_e <=> 
113,GLYCK2: atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
114,3AIB_Dtm: 3aib__D_c --> 3aib__D_m
115,MDHy: mal__L_c + nadp_c --> h_c + nadph_c + oaa_c
116,r0210: HC00250_c + h_c + ser__L_c --> cys__L_c + h2o_c
117,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
118,CHORS: 3psme_c --> chor_c + pi_c
119,34HPPt2m: 34hpp_c + h_c --> 34hpp_m + h_m
120,trna_his: trnahis_c <=> 
121,GLYALDDy: glyald_c + h2o_c + nadp_c --> glyc__R_c + 2.0 h_c + nadph_c
122,CATm: 2.0 h2o2_m --> 2.0 h2o_m + o2_m
123,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
124,LEUt2r: h_e + leu__L_e <=> h_c + leu__L_c
125,ETHAPT_HDE_HDE_c: 12dgr161_c + cdpea_c --> cmp_c + h_c + pe161_c
126,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
127,EX_inositol: ptd1ino_e <=> 
128,PSD120: h_c + ps120_c --> co2_c + pe120_c
129,ETHAPT: cdpea_c + 0.01 dag_c <=> cmp_c + h_c + 0.01 pe_c
130,AGPATCOA_MYRS_MYRS_c: 1tdecg3p_c + tdcoa_c --> coa_c + pa140_c
131,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
132,AACPS7: ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c
133,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
134,TYRTAim: 34hpp_m + glu__L_m --> akg_m + tyr__L_m
135,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
136,OCDCAt2: h_e + ocdca_e --> h_c + ocdca_c
137,trna_thr: trnathr_c <=> 
138,PSSA141: cdpdtdec7eg_c + ser__L_c --> cmp_c + h_c + ps141_c
139,DHQS: 2dda7p_c --> 3dhq_c + pi_c
140,ETHAAL: etha_c --> acald_c + nh4_c
141,SUCD1: fad_c + succ_c --> fadh2_c + fum_c
142,CYSS_2: acser_c + h2s_c --> ac_c + cys__L_c
143,HCO3E: co2_c + h2o_c --> h_c + hco3_c
144,ICDHym: icit_m + nadp_m <=> akg_m + co2_m + nadph_m
145,CYTOM: amet_c + csn_c --> 5mcsn_c + ahcys_c + h_c
146,SPODMm: 2.0 h_m + 2.0 o2s_m --> h2o2_m + o2_m
147,PSSA120: cdpdddecg_c + ser__L_c --> cmp_c + h_c + ps120_c
148,GTHAMPOR: amp_c + gthox_c + h_c + so3_c --> aps_c + 2.0 gthrd_c
149,H2O2tm: h2o2_c --> h2o2_m
150,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
151,GLU5K: atp_c + glu__L_c --> adp_c + glu5p_c
152,r0795: HC01501_c + h2o_c --> HC00250_c + 2.0 h_c + so4_c
153,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
154,THRS: h2o_c + phom_c --> pi_c + thr__L_c
155,PC: atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
156,AGPAT181: 1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c
157,AACPS5: ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c
158,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
