,rxns_added
0,MCITDm: hcit_m --> b124tc_m + h2o_m
1,ARGSL: argsuc_c --> arg__L_c + fum_c
2,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
3,PROPAT4te: pro__L_e --> pro__L_c
4,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
5,PTD1INOt: ptd1ino_c <=> ptd1ino_e
6,trna_asp: trnaasp_c <=> 
7,AGPRim: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m
8,G3PAT120: ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c
9,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
10,OCDCEAt: ocdcea_e <=> ocdcea_c
11,AGPATCOA_HDE_HDE_c: 1hdec9eg3p_c + hdcoa_c --> coa_c + pa161_c
12,NADHOR_m: 5.0 h_m + nadh_m + q9_m --> 4.0 h_c + nad_m + q9h2_m
13,r2534: thr__L_e --> thr__L_c
14,3AMACHYD: 3amac_c + h2o_c + h_c --> msa_c + nh4_c
15,MTHFD2i: mlthf_c + nad_c --> methf_c + nadh_c
16,FAO10: atp_c + 9.0 coa_c + 7.0 fad_c + 8.0 h2o_c + 8.0 nad_c + ocdcea_c --> 9.0 accoa_c + amp_c + 7.0 fadh2_c + 8.0 h_c + 8.0 nadh_c + ppi_c
17,ATP_3h_tm: adp_m + atp_c + 3.0 h_m --> adp_c + atp_m + 3.0 h_c
18,AGPAT141: 1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c
19,URACPAH: h2o_c + uracp_c --> cbm_c + h_c + poaac_c
20,PHETA1: akg_c + phe__L_c <=> glu__L_c + phpyr_c
21,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
22,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
23,PYRtm: pyr_c --> pyr_m
24,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
25,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
26,OCTm: cbp_m + orn_m --> citr__L_m + pi_m
27,ORNTACim: acorn_m + glu__L_m --> acglu_m + orn_m
28,FMETTRS_1: 10fthf_c + mettrna_c --> fmettrna_c + thf_c
29,r2444: ddca_e --> ddca_c
30,r2136: na1_e + pi_e --> na1_c + pi_c
31,AACPS5: ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c
32,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
33,CITCIa: citm_c --> citac_c + h2o_c
34,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
35,FBA3: s17bp_c --> dhap_c + e4p_c
36,PAPt: pap_e <=> pap_c
37,AGPATCOA_STC_STC_c: 1odecg3p_c + ocdccoa_c --> coa_c + pa180_c
38,ACOAH: ac_c + coa_c + h_c --> accoa_c + h2o_c
39,G3PAT1619Z_c: glyc3p_c + hdcoa_c --> 1hdec9eg3p_c + coa_c
40,GLXCL: 2.0 glx_c + h_c --> 2h3oppan_c + co2_c
41,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
42,PYRDC_1: h_m + pyr_m --> acald_m + co2_m
43,trna_cys: trnacys_c <=> 
44,H2O2t: h2o2_e <=> h2o2_c
45,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
46,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
47,EX_leu__L_e: leu__L_e <=> 
48,GLYCLTD_m: glx_m + h_m + nadh_m --> glyclt_m + nad_m
49,ACCOAtm: accoa_c + coa_m --> accoa_m + coa_c
50,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
51,trna_lys: trnalys_c <=> 
52,THRt4: na1_e + thr__L_e --> na1_c + thr__L_c
53,r1830: cys__L_c + na1_e + pro__L_e --> cys__L_e + na1_c + pro__L_c
54,trna_thr: trnathr_c <=> 
55,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
56,DHQS: 2dda7p_c --> 3dhq_c + pi_c
