,rxns_added
0,trna_trp: trnatrp_c <=> 
1,r2419: akg_c + pi_m --> akg_m + pi_c
2,NH4tmt: nh4_m <=> nh4_c
3,PEPC_h: co2_h + h2o_h + pep_h --> h_h + oaa_h + pi_h
4,trna_ala: trnaala_c <=> 
5,VALTA: akg_c + val__L_c <=> 3mob_c + glu__L_c
6,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
7,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
8,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
9,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
10,FMETTRS_1: 10fthf_c + mettrna_c --> fmettrna_c + thf_c
11,CYSTS: hcys__L_c + ser__L_c --> cyst__L_c + h2o_c
12,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
13,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
14,PIt_h: h_c + pi_c --> h_h + pi_h
15,trna_his: trnahis_c <=> 
16,trna_cys: trnacys_c <=> 
17,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
18,SARDHm: fad_m + sarcs_m + thf_m --> fadh2_m + gly_m + mlthf_m
19,MDHC_nadp_hr: mal__L_h + nadp_h --> co2_h + nadph_h + pyr_h
20,trna_ile: trnaile_c <=> 
21,GLUth: glu__L_h + h_h --> glu__L_c + h_c
22,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
23,CTECOAI7: hdcoa_c --> hdd2coa_c
24,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
25,CYSS_2: acser_c + h2s_c --> ac_c + cys__L_c
26,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
27,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
28,H2Ot: h2o_e <=> h2o_c
29,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
30,AOX_m: o2_m + 2.0 q9h2_m --> 2.0 h2o_m + 2.0 q9_m
31,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
32,ACGAM6PS: accoa_c + gam6p_c <=> acgam6p_c + coa_c + h_c
33,trna_gly: trnagly_c <=> 
34,trna_tyr: trnatyr_c <=> 
35,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
36,DHQS: 2dda7p_c --> 3dhq_c + pi_c
37,ICL: icit_c --> glx_c + succ_c
38,ASPth: asp__L_c + h_c --> asp__L_h + h_h
39,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
40,HACNHm: b124tc_m + h2o_m --> hicit_m
41,trna_gln: trnagln_c <=> 
42,RPEc: 2.0 ru5p__D_c <=> 2.0 xu5p__D_c
43,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
44,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
45,trna_met: trnamet_c <=> 
46,r1815: cys__L_c + leu__L_e + na1_e --> cys__L_e + leu__L_c + na1_c
47,SAT: accoa_h + ser__L_h --> acser_h + coa_h
48,r2032: cys__L_c + orn_e --> cys__L_e + orn_c
49,CO2tmt: co2_m <=> co2_c
