,rxns_added
0,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
1,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
2,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
3,ASPth: asp__L_c + h_c --> asp__L_h + h_h
4,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
5,METR: 5mthf_c + cfesp_c --> mecfsp_c + thf_c
6,ATPS_h: adp_h + 4.67 h_u + pi_h --> atp_h + h2o_h + 3.67 h_h
7,AGPRim: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m
8,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
9,HCO3E: co2_c + h2o_c --> h_c + hco3_c
10,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
11,CODH_ACS: co2_c + coa_c + fdxr_42_c + h_c + mecfsp_c --> accoa_c + cfesp_c + fdxo_42_c + h2o_c
12,trna_arg: trnaarg_c <=> 
13,trna_asp: trnaasp_c <=> 
14,trna_cys: trnacys_c <=> 
15,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
16,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
17,CEPA: cellb_c + pi_c --> g1p_c + glc__D_c
18,SAT: accoa_h + ser__L_h --> acser_h + coa_h
19,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
20,CITCIa: citm_c --> citac_c + h2o_c
21,GLUDy: glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
22,THRt4: na1_e + thr__L_e --> na1_c + thr__L_c
23,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
24,trna_phe: trnaphe_c <=> 
25,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
26,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
27,trna_asn: trnaasn_c <=> 
28,PYRDC_1: h_m + pyr_m --> acald_m + co2_m
29,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
30,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
31,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
32,MDH: mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
33,Htu: h_h --> h_u
34,CO2tmt: co2_m <=> co2_c
35,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
36,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
37,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
38,ACOAD1f: btcoa_c + fad_c --> b2coa_c + fadh2_c
39,NADPt2_c: nadp_m --> nadp_c
40,trna_ile: trnaile_c <=> 
41,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
42,THRS: h2o_c + phom_c --> pi_c + thr__L_c
43,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
44,FUM: fum_c + h2o_c --> mal__L_c
45,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
46,GLXCL: 2.0 glx_c + h_c --> 2h3oppan_c + co2_c
47,NADPHtmt: nadph_c <=> nadph_m
48,EX_his__L_e: his__L_e <=> 
49,CHORS: 3psme_c --> chor_c + pi_c
50,OCTm: cbp_m + orn_m --> citr__L_m + pi_m
51,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
52,CHORM: chor_c --> pphn_c
53,EX_leu__L_e: leu__L_e <=> 
54,GLCt1: glc__D_e <=> glc__D_c
55,PC: atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
56,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
57,ORNTACim: acorn_m + glu__L_m --> acglu_m + orn_m
58,GLYtm: gly_c --> gly_m
59,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
60,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
61,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
62,ICDHym: icit_m + nadp_m <=> akg_m + co2_m + nadph_m
63,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
64,TYRTA: akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
65,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
66,ACSERthi: acser_h --> acser_c
67,MCITDm: hcit_m --> b124tc_m + h2o_m
68,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
69,trna_gly: trnagly_c <=> 
70,ACOTAim: acg5sa_m + glu__L_m --> acorn_m + akg_m
71,MDH2: mal__L_c + q8_c --> oaa_c + q8h2_c
72,trna_met: trnamet_c <=> 
73,r2419: akg_c + pi_m --> akg_m + pi_c
74,ATPSum: 3.0 adp_c + 13.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 10.0 h_c
75,CITRtm: citr__L_m --> citr__L_c
76,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
77,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
78,trna_gln: trnagln_c <=> 
79,TRSARyr: 2h3oppan_c + h_c + nadph_c --> glyc__R_c + nadp_c
80,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
81,PIcm: pi_c --> pi_m
82,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
83,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
84,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
85,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
86,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
87,ATP_3h_tm: adp_m + atp_c + 3.0 h_m --> adp_c + atp_m + 3.0 h_c
88,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
89,ACYP_2: actp_c + h2o_c --> ac_c + h_c + pi_c
90,GLNth: gln__L_c + h_c --> gln__L_h + h_h
91,AMETt2: amet_e + h_e --> amet_c + h_c
92,PIt_h: h_c + pi_c --> h_h + pi_h
93,FOLt2_1: fol_e + h2o_c --> fol_c + h2o_e
94,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
95,DHQS: 2dda7p_c --> 3dhq_c + pi_c
96,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
97,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
98,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
99,trna_val: trnaval_c <=> 
100,H2Oth: h2o_c --> h2o_h
101,trna_his: trnahis_c <=> 
102,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
103,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
104,3MOBtmt: 3mob_m <=> 3mob_c
105,AKGICITtm: akg_c + icit_m --> akg_m + icit_c
106,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
107,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
108,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
109,THRA_m: acald_m + gly_m --> thr__L_m
110,ARGSL: argsuc_c --> arg__L_c + fum_c
111,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
112,SO3ti: so3_c --> so3_e
113,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
114,trna_trp: trnatrp_c <=> 
115,PHSERt_h: phom_h --> phom_c
116,HISTRS: atp_c + his__L_c + trnahis_c --> amp_c + histrna_c + ppi_c
117,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
118,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
119,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
120,trna_ser: trnaser_c <=> 
121,NADHDH: 3.0 h_c + nadh_c + q_c --> 2.0 h_e + nad_c + qh2_c
122,HMR_3951: na1_c + so3_c --> na1_e + so3_e
123,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
124,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
125,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
126,SUCD3: fadh2_c + q_c --> fad_c + qh2_c
127,FldAct: fald_c + thf_c --> h2o_c + mlthf_c
128,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
129,EX_thr__L_e: thr__L_e <=> 
130,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
131,ACONTb: acon_C_c + h2o_c <=> icit_c
132,EX_amet_e: amet_e <=> 
133,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
134,trna_leu: trnaleu_c <=> 
135,trna_tyr: trnatyr_c <=> 
136,CBMK_m: atp_m + co2_m + nh4_m --> adp_m + cbp_m + 2.0 h_m
137,GTHOXti: gthox_e --> gthox_c
138,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
139,AHCi: ahcys_c + h2o_c --> adn_c + hcys__L_c
140,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
141,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
142,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
143,FMNRy_1: fmn_c + 2.0 h_c + nadph_c --> fmnh2_c + nadp_c
144,THRD_Lm: thr__L_m --> 2obut_m + nh4_m
145,ATPS3m: adp_m + 3.0 h_c + pi_m --> atp_m + h2o_m + 2.0 h_m
146,r1454: 2obut_m + h_c --> 2obut_c + h_m
147,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
148,trna_lys: trnalys_c <=> 
149,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
150,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
151,ACOAD1z: b2coa_c + fdxo_42_c + 2.0 nadh_c --> btcoa_c + fdxr_42_c + 2.0 nad_c
152,CITt2r: cit_e + h_e <=> cit_c + h_c
153,MTHFR5: fdxo_42_c + h_c + mlthf_c + 2.0 nadh_c --> 5mthf_c + fdxr_42_c + 2.0 nad_c
154,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
155,FMETTRS_1: 10fthf_c + mettrna_c --> fmettrna_c + thf_c
