,rxns_added
0,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
1,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
2,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
3,GLUt7m: glu__L_c --> glu__L_m
4,GLNS: atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
5,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
6,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
7,MCITDm: hcit_m --> b124tc_m + h2o_m
8,AGPRim: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m
9,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
10,NTRIR2xm: 5.0 h_m + 3.0 nadh_m + no2_m --> 2.0 h2o_m + 3.0 nad_m + nh4_m
11,PRO1y: nadp_c + pro__L_c --> 1pyr5c_c + 2.0 h_c + nadph_c
12,FAO10: atp_c + 9.0 coa_c + 7.0 fad_c + 8.0 h2o_c + 8.0 nad_c + ocdcea_c --> 9.0 accoa_c + amp_c + 7.0 fadh2_c + 8.0 h_c + 8.0 nadh_c + ppi_c
13,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
14,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
15,PROTEIN_BS: 0.6 ala__L_c + 0.377 arg__L_c + 0.2881 asn__L_c + 0.359 asp__L_c + 0.145 cys__L_c + 0.322 gln__L_c + 0.386 glu__L_c + 0.538 gly_c + 0.143 his__L_c + 0.324 ile__L_c + 0.564 leu__L_c + 0.57 lys__L_c + 0.138 met__L_c + 0.219 phe__L_c + 0.313 pro__L_c + 0.43 ser__L_c + 0.386 thr__L_c + 0.044 trp__L_c + 0.182 tyr__L_c + 0.416 val__L_c --> protein_c
16,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
17,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
18,CHORS: 3psme_c --> chor_c + pi_c
19,CITRtm: citr__L_m --> citr__L_c
20,EX_his__L_e: his__L_e <=> 
21,NO2tmt: no2_m <=> no2_c
22,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
23,ACCOAtm: accoa_c + coa_m --> accoa_m + coa_c
24,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
25,H2Otm: h2o_c --> h2o_m
26,HCYSMT: amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
27,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
28,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
29,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
30,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
31,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
32,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
33,ATPS3m: adp_m + 3.0 h_c + pi_m --> atp_m + h2o_m + 2.0 h_m
34,CBMK_m: atp_m + co2_m + nh4_m --> adp_m + cbp_m + 2.0 h_m
35,PC: atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
36,PRAIi: pran_c --> 2cpr5p_c
37,ICL: icit_c --> glx_c + succ_c
38,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
39,CO2tmt: co2_m <=> co2_c
40,ACOTAim: acg5sa_m + glu__L_m --> acorn_m + akg_m
41,PAPt: pap_e <=> pap_c
42,BPNT: h2o_c + pap_c --> amp_c + pi_c
43,r2419: akg_c + pi_m --> akg_m + pi_c
44,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
45,DHQS: 2dda7p_c --> 3dhq_c + pi_c
46,PYDXO_1: h2o_c + o2_c + pydam_c --> h2o2_c + nh4_c + pydx_c
47,EX_pap_e: pap_e <=> 
48,OCTm: cbp_m + orn_m --> citr__L_m + pi_m
49,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
50,PIcm: pi_c --> pi_m
51,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
52,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
53,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
54,EX_amet_e: amet_e <=> 
55,OCDCEAt: ocdcea_e <=> ocdcea_c
56,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
57,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
