,rxns_added
0,EX_lac__D_e
1,PRDX
2,LPEAT_MYRS_ARA_sn2_c
3,PLA2PC_MYRS_DHA_c
4,MGDG161
5,DAGAH_PALM_LNA_c
6,HMR_8572
7,OANTS
8,LPEAT_DHA_HDE_sn2_c
9,RHACOAR60
10,MEVK2
11,EX_pullulan1200_e
12,ETHAPT_HDE_HDE_c
13,DGDG161
14,MEVK3
15,LPEAT_MYRS_DHA_sn2_c
16,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
17,HMR_8567
18,AGPATCOA18111Z160
19,ETHAPT_PALM_LNA_c
20,HMR_8578
21,AGPATCOA_MYRS_HDE_c
22,ASPO3_1
23,ETHAPT_DHA_HDE_c
24,AGPATCOA_HDE_DHA_c
25,HMR_8570
26,PLA2PC_MYRS_HDE_c
27,NNDPR
28,DAGK_MYRS_HDE_c
29,QULNS
30,ALCD1
31,HMR_8576
32,PULLe
33,RE0958C
34,HMR_8574
35,CHOPT_MYRS_HDE_c
36,CHOPT_MYRS_DHA_c
37,ECOAH2_1c
38,ACOAR3mc
39,MALTTRabc
40,LPEH1829Z12Z_sn1_c
41,PLDPE_HDE_DHA_c
42,NMNDA
43,RE0958E
44,HDR3
45,ETHAPT_MYRS_DHA_c
46,3HAACOAT60
47,ANNAT
48,LPEAT_LNA_ARA_sn2_c
