,rxns_added
0,ACChex
1,LPS2nhs
2,PLDPE_EPA_HDE_c
3,HMR_0625nhs
4,RE1537C
5,MCITLmc
6,FTHFLmi
7,PAN4PPe
8,FACOAE80
9,FAOXC80
10,PIPLC
11,HP5CD_1
12,GluForTx
13,PIPLC_HDE_EPA_c
14,MTHFCxc
15,LAPCOAe
16,GACMTRc
17,LPEAT_EPA_HDE_sn2_c
18,DADNt4
19,ETHAPT
20,HMR_2261
21,DADAe
22,ETHAPT_OLE_GLNA_c
23,LPEAT_HDE_EPA_sn2_c
24,ETHAPT_PALM_GLNA_c
25,CKc
26,CYSTBLc
27,ETHAPT_EPA_STC_c
28,MLTHFtmt
29,HMR_0653nhs
30,FAOXC181C161m
31,AKSCAL
32,ACACT5r_1
33,DNDPt20m
34,PLD_SC
35,10FTHF7GLUtm
36,APG3PAT140
37,FPGS9
38,PLDAGAT_OLE_EPA_DHA_PE_10_c
39,RTOTAL2FATPc
40,ASPTA
41,LPEH160_sn1_c
42,MTRK
43,ACACT4pc
44,ARTFR204nhs
45,SPMDAT1
46,GLYAMDTRc
47,DAGK_EPA_STC_c
48,HMR_2259
49,HPDCACRNt
50,AGPATCOA_EPA_HDE_c
51,RE1539C
52,FA80ACPHi
53,AMPt
54,HMR_4782
55,PI4P5K_HDE_EPA_c
56,FPGS8
57,3HPPD
58,PLA2PE_HDE_HDE_c
59,ECOAH4
60,DESAT20_2
61,PCFPTm
62,UPPN
63,HMR_0657nhs
64,FTCD
65,MI1PP
66,LPS3enhs
67,GTPtmt
68,GLYALDDy
69,HACD4i
70,CDAPPA120
71,DIPEPabc5c
72,PPIabc
73,ETHAPT_OLE_LNA_c
74,CYSAMO_cho
75,PLA2PA_EPA_DHA_c
76,PLA2PE_EPA_STC_c
77,RE2637C
78,SERt2m
79,COAt
80,PNTEHe
81,GDPtmt
82,HMR_9638
83,HPDCACRNCPT1
84,PAPA1819Z1819Z
85,SMS
86,PTRCOX1
87,GLYTA_1
88,DNDPt24m
89,TIH3CD
90,X00002
91,ETHAPT_HDE_EPA_c
92,DXHPScmc
93,r0686
94,FAEL184
95,ATPH1e
96,4IZ5PPH
97,CLHCOtex
98,PLDPE_OLE_LNA_c
99,HISD_c
100,HYPTROXe
101,HCO3Ee
102,LAAL40
103,ACOAD4_1
104,RE1050E
105,DINt
106,3HPPtm
107,CERS126
108,EX_CE1950_e
109,ARTFR42nhs
110,HYPTROX
111,ASPtmt
112,DDPGAm
113,LCASULT
114,CHOPT_EPA_DHA_c
115,r0596
116,CHOPT_EPA_STC_c
117,UPPRT
118,PNTOt2
119,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
120,HMR_0654
121,HMR_4079
122,FPGS7m_1
123,GHMT2r_m
124,LPEH1819Z_sn1_c
125,NADK
126,HMR_2262
127,FPGS9m
128,CYSAMOe
129,GAT_c
130,CHCOAL
131,HPDCACRNCPT2
132,HMR_0614nhs
133,APH140
134,DHPM1
135,MTAP
136,13DAMPPOX
137,LPEAT_PALM_GLNA_sn2_c
138,LPEAT_DHA_STC_sn2_c
139,CDAPPA140
140,NADH2_u6mc
141,KAT5
142,PIP4K_HDE_EPA_c
143,LPS
144,INOSR
145,MIP2C126PLC_SC
146,PLA2PA_EPA_STC_c
147,THFGLUH
148,PNTEH
149,r0580
150,IZPN_1
151,PTPATe
152,EX_cynt_e
153,HC02198c
154,HXAt3
155,NFLGLNH
156,DURAD
157,RTOTALFATPc
158,CEPTEnhs
159,r2514m
160,MCITLm
161,COA181_9Z_9DS_c
162,DNDPt54m
163,DIAT
164,PLDAGAT_MYRS_EPA_DHA_PC_6_c
165,INSCR
166,HPROym
167,AHSERL2_1
168,SMPD3l
169,HMR_2260
170,r0679
171,r1454
172,r0281
173,EHGLAT2m
174,FAOXC170m
175,4HPRO_LTtm
176,DHCERS18_c
177,FPGS8m
178,SLCYSS
179,DAGK_EPA_DHA_c
180,ADD
181,FAOXC1811602m_1
182,DCTPtm_cho
183,CRTNsyn_cho
184,FPGS7_1
185,HMR_9619
186,NADPtmt
187,CH3ACH
188,MAGtnhs
189,DAGCPT
190,RTOT_2nhs
191,CLHCO3tex2
192,LPEAT_OLE_GLNA_sn2_c
193,EX_5fthf_e
194,5FTHFt
195,ACChex
196,PCW3DS_STC_ALNA_sn2_c
197,PLDAGAT_HDE_PALM_EPA_PC_2_c
198,PLDAGAT_HDE_PALM_EPA_PE_12_c
199,MCITLmc
200,CHOPT_MYRS_STC_c
201,FDH7
202,PAPA181_9
203,DAGAH_DHA_DHA_c
204,LPEAT_EPA_HDE_sn2_c
205,PLA2PE_STC_STC_c
206,PLA2PE_OLE_PALM_c
207,LPCAT_PALM_LNA_sn2_c
208,ACPpds
209,AGPATCOA_OLE_DHA_c
210,ARTFR208_cho
211,PAPA_MYRS_PALM_c
212,DGTCY
213,ARTFR203_cho
214,NH4t
215,PETHMT_c
216,CYSTBLc
217,PLDAGAT_PALM_ARA_PALM_PE_13_c
218,MAGAH1819Z_c
219,GLPASE1
220,MAGAH160
221,DGDGGH_MYRS_PALM_c
222,AGLPCnhs
223,AMPtap
224,NTRIR3ppc
225,PGPP141
226,IPCS124_SC
227,CLPNH180
228,3OPHB5Hm
229,DGDGGH1819Z160c
230,EAR180x_ap
231,CRNCAL2
232,PLDPC_OLE_DHA_c
233,FAOXC226
234,PLDPC_EPA_EPA_c
235,PGMfc
236,DAGAH_OLE_ARA_c
237,ECOAH9ir
238,AGPAT180_ap
239,HXAtap
240,PCW3DS_EPA_EPA_sn2_c
241,HCO3E
242,PIP5P_PALM_PALM_c
243,G3PAT180_ap
244,CHOPT_OLE_OLE_c
245,EX_glycogen1500_e
246,DAGK141
247,MIP2CS124_SC
248,PAPA_EPA_ALNA_c
249,PLDAGAT_PALM_ARA_PALM_PE_16_c
250,METMETILEr
251,GALFT
252,HMR_1467
253,LPS3_cho
254,AGPATCOA_EPA_EPA_c
255,COA7tap
256,PIP5P_EPA_PALM_c
257,3DH5HPBMTmc
258,CHOPT_MYRS_DHA_c
259,ETHAPT_HDE_OLE_c
260,ttdcea_t
261,PLDAGAT_LNA_EPA_LNA_PC_4_c
262,LPCAT_PALM_HDE_sn2_c
263,PAPA181
264,RTOT2_cho
265,CDIPT_HDE_LNA_c
266,ETHAPT_OLE_LNA_c
267,PETHDMT_c
268,LPCAT_MYRS_STC_sn2_c
269,PAPA_OLE_PALM
270,VOR3b
271,MGDG161
272,GRDPth
273,DMSOR2
274,PCD4DS_OLE_DHA_sn2_c
275,PLDAGAT18111Z1819Z1819Z1
276,PGPP180
277,HACD5
278,ACPS1ap
279,PAPA1819Z1819Z
280,PAPA18111Z1819Z
281,DAGAH_MYRS_MYRS_c
282,DMPPS_ap
283,FCYTOB5OXR_c
284,PAPA_HDE_OLE_c
285,ETHAPT_DHA_DHA_c
286,PLA2PC_EPA_ARA_c
287,SS
288,DAGAH_MYRS_STC_c
289,PIPLC_EPA_PALM_c
290,METMETILEt
291,ECOAH5_1
292,PLDAGAT_PALM_PALM_LNA_PE_14_c
293,NADtap
294,GLGNS1
295,LPEAT_OLE_OLE_sn2_c
296,CHOPT_STC_STC_c
297,ETHAPT_STC_EPA_c
298,MECDPDH2_ap
299,LPCAT_OLE_OLE_sn2_c
300,DAGAH_STC_STC_c
301,DMSOR1
302,MAGAH2264Z7Z10Z13Z16Z19Z_c
303,LPCAT_MYRS_DPA_sn2_c
304,CHOPT_STC_EPA_c
305,PLA2PA_EPA_ALNA_c
306,G3PD1ir_ap
307,MGDGGH_MYRS_PALM_c
308,TAGAH1819Z1819Z1819Z
309,PIP5P_PALM_HDE_c
310,PIPLC_PALM_PALM_c
311,PEFLIP
312,NADPt2_c
313,ATPtap
314,PLIPA2A180
315,r0853
316,PPDK
317,LPCH180_sn1_c
318,PPAP_cho
319,PIP3P_HDE_LNA_c
320,PIPLC_PALM_HDE_c
321,GLBRAN
322,CYSSERMETr
323,CRNCDH
324,r1400
325,HACD9
326,GGNG
327,UDPGALM
328,C226CPT1
329,NADHtap
330,MGDGS1819Z160c
331,DEDOLP1_L
332,GAT_c
333,PLA2PC_EPA_OLE_c
334,HMR_1465
335,DPCOAK
336,ACOAD5_1
337,CYSSERMETt
338,GGT_L
339,ETHAPT_OLE_ARA_c
340,acp_t
341,MAGAH180
342,AGLPETnhs
343,HMR_2219
344,2M3OVCOAm
345,HMR_2218
346,PLDAGAT_PALM_PALM_LNA_PE_9_c
347,DAGAH_OLE_LNA_c
348,HMR_1532
349,PLA2nhs
350,CHOPT_PALM_HDE_c
351,LPS
352,PLDPE_MYRS_PALM_c
353,GLPASE2
