,rxns_added
0,EX_atp_e
1,r1116
2,EX_asn__L_e
3,GTHRDt2
4,PUNP7
5,PPS
6,XAND
7,FBA
8,SSALx
9,MALS
10,GTHRDH_syn
11,PGMmc
12,PYDXO
13,ASPTA
14,ALLTAMH
15,AKO
16,SULO
17,FBA3
18,NADPPPS
19,UGLYCH
20,URIC
21,ATNAHc
22,ABUTD
23,CYSLY3
24,GLYDHDA
25,PTRCTA
26,ASPTA6
27,ICL
28,FAO181p_oddc
29,UREA
30,EX_succ_e
31,4TMEABUTNt2
32,FAO141p_oddc
33,PUTA3
34,PAPA1819Z1819Z
35,C10OHc
36,FAO161p_oddc
37,CITt2r
38,HACD4i
39,HCO3E
40,PC6YM
41,PC11M
42,MALS
43,EX_4tmeabutn_e
44,ECOAH7
45,HMT
46,ASPTA
47,FAO11
48,BBHOX
49,HACD7i
50,PAPA18111Z1819Z
51,LYSLYSLYSt
52,CITt4_1
53,AKO
54,ARTPLM1
55,NADK3
56,PC6AR_1
57,FRD5
58,FRD3
59,PC17M_1
60,ARGLYSASPr
61,R05219
62,LYSLYSLYSr
63,ICL
64,FAO181p_oddc
65,UREA
66,EX_glu__L_e
67,FA160ACPH_m
68,CHOPT_EPA_EPA_c
69,FAO141p_oddc
70,FAOXC16C16OHm
71,CDAPPA120
72,FBA
73,GHMT2r_m
74,SHL_c
75,DAGK_HDE_MYRS_c
76,ECOAH7
77,GALm
78,HMR_2359
79,NADPHtmt
80,ETHAPT_EPA_LNA_c
81,FAS160ACPm
82,AGPATCOA_HDE_MYRS_c
83,ETHAPT_LNA_DHA_c
84,ETHAPT_HDE_HDE_c
85,CHOPT_LNA_LNA_c
86,APG3PAT120
87,MOHMT
88,PI4P5K_18_2_18_2nhs
89,FBA3
90,ACOAR7mc
91,ETHAPT_PALM_PALM_c
92,PRUK
93,FAS140ACPm
94,DAGCPT
95,PLDAGAT_EPA_EPA_DHA_PE_9_c
96,APH120
97,ACChex
98,ACACT3c
99,APATTc
100,MALGLUth
101,AGPATCOA_PALM_DHA_c
102,PIPLC_16_0_16_0nhs
103,PLDAGAT_MYRS_EPA_LNA_PE_15_c
104,O2tm
105,CARN1819Zt_m
106,PLDPC_PALM_STC_c
107,CDAPPA140
108,G3PAT2055Z8Z11Z14Z17Z_c
109,LPEAT_EPA_HDE_sn2_c
110,PLDPE_LNA_GLNA_c
111,ETHAPT_MYRS_MYRS_c
112,GLUth
113,LPCAT_LNA_EPA_sn2_c
114,HMR_3225
115,PGPPTnhs
116,GLNtm_1
117,PUTA3
118,PLDPC_PALM_DHA_c
119,C161CPT12
120,FAO161p_oddc
121,FBAhc
122,PPPGO3
123,AGPATCOA_MYRS_EPA_c
124,PIPLC_EPA_HDE_c
125,PLDAGAT_LNA_EPA_GLNA_PE_13_c
126,H2St_m
127,C181CPT2
128,SATm
129,CHOPT_EPA_HDE_c
130,LPCH140_sn1_c
131,RNTR3c
132,PI34P5K_18_2_18_2nhs
133,21HPRGNLONE
134,CLPNH160
135,PAPA_LNA_PALM_c
136,P5CD
137,DCMPDA_1
138,SULO
139,PLIPA2A120
140,FACOAL205
141,ETHAPT_PALM_DHA_c
142,PLD_SC
143,PI4P3K_16_0_16_0nhs
144,PLDPE_OLE_EPA_c
145,NAPT
146,THFtmt
147,PLA2PE_LNA_LNA_c
148,PLDPE_STC_ALNA_c
149,PLDPC_EPA_EPA_c
150,UDPGtnic
151,3HAD40_2
152,DAGK141
153,LPEAT_LNA_PALM_sn2_c
154,HACD3
155,r1384
156,FA120ACPtm
157,ACPS
158,PUNP3
159,CLPNH161
160,PLDAGAT_LNA_EPA_LNA_PC_5_c
161,FLNDPR2r
162,HMR_2634
163,NMNN
164,GTHRDt2
165,CLS_hsnhs
166,r1109
167,RBPC
168,LPCAT_MYRS_EPA_sn2_c
169,DAGAH_EPA_LNA_c
170,PIK4_16_0_16_0nhs
171,ORNt_m
172,C161CPT22
173,LPS2_16_0_16_0nhs
174,ETHAPT_MYRS_DHA_c
175,HC00900t4
176,PYDXO
177,ETHAPT
178,ATPUP
179,FAO11
180,PRGNLONESULT
181,HACD7i
182,PLDPC_HDE_MYRS_c
183,LPCAT_MYRS_DHA_sn2_c
184,r0716
185,C181CPT2rbc
186,PRGNLONESte
187,CO2tmt
188,DUTUP
189,DCTUP
190,PIP3P_LNA_PALM_c
191,DAGK181
192,MLTHFtmt
193,PYR5CDm
194,PPPGO4
195,PIPLC_LNA_PALM_c
196,LPEAT_STC_ALNA_sn2_c
197,FAOXC150m
198,SER_AL
199,PLDPC_STC_ALNA_c
200,CLPNH140
201,PLDPC_EPA_HDE_c
202,MCITLm
203,FAO181p_oddc
204,PAPA1801819Z
205,PLDAGAT_LNA_EPA_GLNA_PC_5_c
206,RNTR1c2
207,CHOPT_HDE_MYRS_c
208,AGPATCOA_EPA_HDE_c
209,PLDPE_LNA_PALM_c
