,rxns_added
0,EX_asp__L_e
1,KAT2
2,GTHRDH_syn
3,PLA2PC_EPA_DHA_c
4,PCD12DS_LNA_PALM_sn1_c
5,CHOPT_HDE_HDE_c
6,ARTCOAL3_cho
7,ARTCOAL1
8,LPCH1819Z_sn1_c
9,APH120
10,ETHAPT_MYRS_EPA_c
11,LPEAT_EPA_EPA_sn2_c
12,DAGAH_STC_DHA_c
13,ACPpds
14,UREA
15,LINKDEG2ly
16,CLPNH140
17,ASPTA
18,PIPLC_HDE_EPA_c
19,PHPYROX
20,ECOAH2_1c
21,3HAACOAT100
22,ARTFR12nhs
23,PLDAGAT_OLE_HDE_OLE_PE_13_c
24,ALATA_Lm
25,DAGAH_OLE_MYRS_c
26,ALAtmi
27,ARTFR205nhs
28,DAGAH_OLE_ALNA_c
29,GAT1_LLA
30,PCD5DS_OLE_EPA_sn2_c
31,PLDPC_OLE_ARA_c
32,MCITLm
33,LPEAT_EPA_LNA_sn2_c
34,MTHFC_1
35,DHPACCOAHIT
36,FACOAE100
37,URIC
38,ACPS2
39,CHOPT_EPA_STC_c
40,PI34P5K_16_0_20_4nhs
41,CEPTE_18_1_20_4nhs
42,ETHAPT_HDE_PALM_c
43,HMR_6785
44,GTHRDt2
45,PLDAGAT_LNA_EPA_LNA_PE_16_c
46,ARTPLM1
47,GLYC2P3Pc
48,RTOT_3nhs
49,PPS
50,CHOPT_OLE_MYRS_c
51,HDCACBP
52,MACPMT
53,EX_fadh2_c
54,FPGS9m
55,PLA2PA_EPA_STC_c
56,LPEAT_HDE_EPA_sn2_c
57,PAPA_EPA_ARA_c
58,APH181
59,PYDXO
60,ETHAPT_EPA_EPA_c
61,SUCOAACTr
62,DAGAH_MYRS_EPA_c
63,SUCBZT1
64,PLDAGAT_LNA_EPA_LNA_PE_9_c
65,FBA
66,ALLTAMH
67,LPS_cho
68,PLDPC_MYRS_LNA_c
69,DHFtl
70,HACD4i
71,VNDH_2
72,CITt2r
73,PLDAGAT_LNA_EPA_LNA_PE_12_c
74,CHOPT_HDE_EPA_c
75,LPEAT_OLE_EPA_sn2_c
76,NADK2
77,MEVK2
78,GPAM_cho
79,DAGK_OLE_ARA_c
80,HMR_3966
81,GGH_5DHFl
82,ETHAPT_HDE_EPA_c
83,ETHAPT_STC_LNA_c
84,FADH2ETC
85,CEPTC_18_1_20_4nhs
86,AGPAT1_cho
87,ETHAPT_OLE_EPA_c
88,PAN4PP
89,LINOFATPtc
90,LPEAT_DHA_ARA_sn2_c
91,XAND
92,DAGAH_STC_ALNA_c
93,PUNP7
94,FPGS8
95,CDS_16_0_20_4nhs
96,MEVK4
97,SO4tl
98,r1454
99,PCD12DS_LNA_MYRS_sn1_c
100,DAGAH_MYRS_LNA_c
