,rxns_added
0,ASPSEc
1,NTD7
2,23CN2P1
3,3NUCLE1
4,GHMT2r
5,HCO3E
6,23CAPPD
7,NADPHXD
8,NADPHXE
9,TSULR3e
10,ASPTA6
11,EX_lac__L_e
12,PDCmc
13,CLPNH120
14,pe_prod1
15,IPDPtm
16,PLDAGAT_LNA_EPA_GLNA_PE_11_c
17,HOXG_c
18,FACOAE60
19,NADHXE
20,PROPROPROr
21,pe_prod14
22,ARGDI_1
23,HMR_6876
24,FPGS8
25,LPCAT_MYRS_EPA_sn2_c
26,AMPMS3
27,ADSELK
28,OCTm
29,PLDPC_STC_ARA_c
30,PHETHPTOX
31,pe_prod12
32,PLA2PC_STC_HDE_c
33,DBRC
34,PLA2PE_PALM_HDE_c
35,ACLSm
36,LIPO2S24_BS
37,HCO3Em
38,LPEAT_DHA_ARA_sn2_c
39,PENDPtm
40,NIT_n1p4
41,PLDAGAT_PALM_PALM_LNA_PC_2_c
42,SELCYSTS
43,PEFLIP
44,FCLT_1c
45,MOGATnhs
46,AGPAT1819Z1819Zhc
47,LPEAT_OLE_GLNA_sn2_c
48,r0732
49,RE2124C
50,r2411
51,NMNDA
52,FAOXC8C6m
53,F4MTSPD
54,DAGAH_OLE_HDE_c
55,DAGAH_STC_HDE_c
56,PEOLE_HSPLA2nhs
57,PC6AR_1
58,AIRCr
59,pe_prod3
60,MLTHFte3
61,SELR
62,3SALACBOXL_cho
63,DGDGGH1839Z12Z15Z1637Z10Z13Zc
64,lipid10
65,UGT_BS
66,DAGK180
67,RTOTAL2t
68,PCD12DS_LNA_HDE_sn1_c
69,PLA2PC_STC_OLE_c
70,FLNDPR2r
71,DAGK_DHA_ARA_c
72,DAGK_OLE_LNA_c
73,3SALAASPm
74,DAGK_MYRS_ARA_c
75,ARTCOAL1_cho
76,PPTT
77,ATP2t_m
78,MAGtnhs
79,araphe3
80,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
81,FAOXC16080m
82,PLDPE_LNA_GLNA_c
83,3HAACOAT120
84,PMTCOAtm
85,PHEPHEr
86,HMR_0657nhs
87,PC11M
88,ARGt2m
89,NMNt2m
90,DAGK_LNA_GLNA_c
91,RE3534C
92,RHACOAR120
93,DAGAH_PALM_LNA_c
94,5HTRPVESSEC
95,MAGAH2264Z7Z10Z13Z16Z19Z_c
96,GLCS1
97,acoa_prod15
98,F6PA
99,LPEAT_HDE_EPA_sn2_c
100,ORNCD
101,FUTH
102,TECA3S45
103,RBFSa
104,PLDPC_LNA_OLE_c
105,SELCYSLY3
106,PC17M_1
107,PLDAGAT_PALM_PALM_LNA_PE_14_c
108,DAGK_LNA_OLE_c
109,NADPHtmt
110,CHOPT_OLE_HDE_c
111,pe_prod4
112,G3PAT1819Z_1
113,LPCAT_LNA_HDE_sn2_c
114,ETHAPT_PALM_LNA_c
115,PLA2PE_LNA_DHA_c
116,CODHr
117,RIBFSc
118,UAG2E
119,CEPTCnhs
120,ETHAPT_OLE_MYRS_c
121,SELTOR_c
122,DAGAH_STC_ALNA_c
123,HMR_0653nhs
124,NADHXD
125,DHXFUTC
126,HMR_0410
127,ETHAPT_MYRS_MYRS_c
128,PTRCOX1
129,CDAPPA120
130,ETHAPT_OLE_GLNA_c
131,lipid5
132,PLD_SC
133,LPLIPAL2G120
134,DOPAc
135,AGPATCOA_PALM_HDE_c
136,PDHam2hic
137,CHOPT_STC_HDE_c
138,ACHMSSELCYSL
139,ETHAPT_MYRS_GLNA_c
140,r2101
141,pe_prod7
142,ETHAPT_STC_ALNA_c
143,3HLYTCL
144,CHOPT_MYRS_EPA_c
