,rxns_added
0,PYDXO
1,CITt2r
2,TSULR3e
3,CBMKr
4,ACOAR7mc
5,ARTPLM1
6,RNTR2c
7,OCT
8,FE3DCITexs
9,lipid2
10,NADPPPS
11,ARGSS
12,ARGSL
13,RNTR1c
14,TSR
15,EX_gal__L_e
16,EX_lipoate_e
17,LIPOti
18,EX_fum_e
19,PYDXO
20,TSULR3e
21,ACOAR7mc
22,ARTPLM1
23,lipid2
24,HCO3E
25,ASPTA6
26,EX_ser__L_e
27,r2526
28,HSD3A2r
29,ETHAPT_OLE_ARA_c
30,UAG2E
31,DAGAH_MYRS_HDE_c
32,GPDDA1
33,PLDAGAT_OLE_HDE_OLE_PE_16_c
34,PLDPE_STC_STC_c
35,HMR_0825nhs
36,PAPA_PALM_ALNA_c
37,DOLICHOL_Uter
38,ETHAPT_LNA_EPA_c
39,CHOPT_STC_DHA_c
40,PCD4DS_STC_DHA_sn2_c
41,GLCNACPT_U
42,PLDAGAT_OLE_HDE_OLE_PC_8_c
43,LPCAT_EPA_STC_sn2_c
44,LPCAT_MYRS_ALNA_sn2_c
45,PLDPC_OLE_ARA_c
46,LPCAT_OLE_DPA_sn2_c
47,PLDAGAT_MYRS_HDE_HDE_PC_2_c
48,HMR_0907nhs
49,PLDAGAT_MYRS_HDE_HDE_PE_9_c
50,PLDPC_EPA_ARA_c
51,PLD_SC
52,HMR_0828nhs
53,PEFLIP
54,GPDDA2
55,LPCAT_DHA_EPA_sn2_c
56,PAPA140
57,CHOPT_STC_EPA_c
58,lipid5
59,CHOPT_PALM_HDE_c
60,LPCAT_LNA_STC_sn2_c
61,ETHAPT_MYRS_MYRS_c
62,CEPTCnhs
63,ETHAPT_MYRS_HDE_c
64,lipid2
65,DGDGS_OLE_HDE
66,DOLPH_Uer
67,PLDAGAT_HDE_EPA_ARA_PC_6_c
68,GLCMter
69,ARTPLM1
70,ACOADAGAT_DHA_EPA_DHA_c
71,HMR_3721
72,EX_fadh2_c
73,PETOHMr_hsnhs
74,DOLGPP_Uer
75,HMR_0986
76,HMR_0875nhs
77,GLCNACT_U
78,DAGAH_EPA_OLE_c
79,PLDPC_PALM_ALNA_c
80,PLDAGAT_HDE_EPA_ARA_PC_7_c
81,DAGAH_MYRS_DHA_c
82,PAPA_OLE_ARA_c
83,PI4P5K_EPA_PALM_c
84,PCD6DS_PALM_STA_sn2_c
85,CHOPT_EPA_EPA_c
86,r2510
87,pe_prod15
88,ETHAPT_EPA_PALM_c
89,EX_ribflv_e
90,HMR_0378
91,HMR_0889nhs
92,PLDPE_EPA_STC_c
93,A4GALTcnhs
94,LPEAT_EPA_STC_sn2_c
95,r0400
96,2_7_8_3
97,LPEAT_PALM_ALNA_sn2_c
98,pe_prod3
99,r1106
100,LPCAT_OLE_EPA_sn2_c
101,DOLGLCP_Uter
102,ETHAPT_EPA_STC_c
103,FORAMD
104,SO4CLtex
105,MGDGS_OLE_HDE_c
106,HMR_0859nhs
107,DOLK_U
108,ETHAPT_DHA_EPA_c
109,HMR_0906nhs
110,ACOADAGAT_EPA_EPA_EPA_c
111,PLDAGAT_HDE_HDE_HDE_PE_10_c
112,HMR_0890nhs
113,CHOPT_OLE_DHA_c
114,PCHOL_HSternhs
115,PCD4DS_OLE_DHA_sn2_c
116,LPCAT_EPA_EPA_sn2_c
117,LPCAT_LNA_EPA_sn2_c
118,PYDXO
119,PLDAGAT_OLE_EPA_DHA_PE_13_c
120,CLFORtex
121,NDERSVhc
122,RE3033R
123,PLDAGAT_DHA_EPA_DHA_PE_11_c
124,LPCAT_MYRS_DPA_sn2_c
125,ETHAPT_OLE_DHA_c
126,PLDPE_STC_EPA_c
127,PLDPE_EPA_ARA_c
128,CHOPT_OLE_HDE_c
129,PLDPC_MYRS_ALNA_c
130,CHOPT_DHA_EPA_c
131,ETHAPT_EPA_ARA_c
132,TECA3S45
133,DAGCPT
134,FAOXC16OHC16r
135,NADHtm
136,AGPATCOA_EPA_STC_c
137,LPEAT_EPA_PALM_sn2_c
138,G3PCt
139,PEHSFABPenhs
140,r2507
141,PLDAGAT_MYRS_HDE_HDE_PE_11_c
142,ETHAPT_OLE_STC_c
143,pe_prod1
144,HMR_0811nhs
145,PLDPE_LNA_OLE_c
146,HMR_0807nhs
147,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
148,PIP4K_EPA_PALM_c
149,CHOPT_OLE_STC_c
150,ETHAPT_STC_EPA_c
151,ETHAPT_STC_DHA_c
152,PLDAGAT_EPA_EPA_DHA_PE_11_c
153,PLA2PC_OLE_ARA_c
154,PYR5CDmc
155,AGPATCOA_EPA_PALM_c
156,PLA2PC_PALM_STA_c
157,CMPDAi
158,PLDAGAT_OLE_EPA_DHA_PE_12_c
159,ETHAPT_HDE_DHA_c
160,lipid10
161,PAPA160
162,TAGAH_DHA_EPA_HDTTE_c
163,PLDAGAT_HDE_HDE_HDE_PC_2_c
164,ETHAPT_PALM_PALM_c
165,TAGAH_HDE_DHA_HDTTE_c
166,PLDAGAT_EPA_EPA_EPA_PE_16_c
167,r2508
168,HCO3E
169,PLDPC_LNA_OLE_c
170,LPCAT_STC_EPA_sn2_c
171,ETHAPT_PALM_ALNA_c
172,HISD_c
173,ETHAPT_PALM_HDE_c
174,PLDAGAT_EPA_EPA_DHA_PE_16_c
175,SR5AR2r
176,ACOADAGAT_OLE_EPA_DHA_c
177,CHOPT_EPA_STC_c
178,PINOS_SC
179,P45046A1r
180,CHOPT_MYRS_DHA_c
181,CEPTEnhs
182,UDPGtnic
183,SMS
184,PLA2PA_EPA_HDE_c
185,EX_citr__L_e
186,PKETF
187,PLDAGAT_HDE_MYRS_LNA_PC_4_c
188,DHFRim
189,PLDAGAT_HDE_MYRS_LNA_PE_13_c
190,PEAMNO
191,BUTt2m
192,PLDAGAT_PALM_EPA_LNA_PC_6_c
193,ACOAR7mc
194,AGPATCOA_EPA_OLE_c
195,CDAPPA141
196,DAGAH_DHA_LNA_c
197,ETHAPT_STC_GLNA_c
198,FPGS4m_1
199,6DHFtm
200,PLDPE_EPA_DHA_c
201,GluForTx
202,PASYN_SA
203,DTPH
204,MPTS
205,UAG2EMA
206,PLDAGAT_HDE_PALM_EPA_PE_11_c
207,LRAT2_cho
208,OGMG
209,HMR_0156
