,rxns_added
0,EX_ala__L_e
1,CYSLY3
2,GLYCK2
3,NTRIR2x
4,ASP4DC
5,NTRIR2y
6,EX_gal__L_e
7,EX_val__L_e
8,VALtec
9,ASAPTc
10,EX_sprm_e
11,SPMS
12,SPRMt2i
13,EX_mal__L_e
14,GMPR
15,ACOAR7mc
16,OXGDC
17,HCO3E
18,CYSGLUexR
19,PYDXO
20,ARTPLM1
21,lipid2
22,ACOAR4mc
23,NADPPPS
24,ASNGLNNaEx
25,ACOAR3mc
26,EX_lac__L_e
27,ACOAR4mc
28,SO3R
29,LALDO3
30,ACOAR5mc
31,PYDXO
32,FGFThc
33,ARTPLM1
34,lipid2
35,MALLAC
36,ACOAR3mc
37,MGSA
38,PFK_ppi
39,MTHFD_1
40,EX_trp__L_e
41,TRPt
42,ACOADAGAT_EPA_EPA_LNA_c
43,LPCAT_EPA_EPA_sn2_c
44,PLA2PA_EPA_LNA_c
45,PLDAGAT_MYRS_EPA_LNA_PE_15_c
46,PAPA_STC_ALNA_c
47,DOLDPP
48,PLDAGAT_DHA_EPA_DHA_PE_15_c
49,TECA3S45
50,CHOPT_HDE_DHA_c
51,DOLPMT2
52,PLA2PC_EPA_OLE_c
53,ETHAPT_EPA_DHA_c
54,LPCAT_STC_OLE_sn2_c
55,ETHAPT_LNA_EPA_c
56,EX_adrnl_e
57,PIP3P_LNA_EPA_c
58,PAPA_HDE_ALNA_c
59,UACMAMO
60,DAGAH_DHA_OLE_c
61,SALMCOM2
62,G16MT_cho
63,PYDXO
64,ACGKm
65,DAGAH_DHA_EPA_c
66,ASPO5
67,PLDPC_LNA_OLE_c
68,LPEAT_DHA_LNA_sn2_c
69,CHOPT_EPA_STC_c
70,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
71,RE3628M
72,lipid1
73,DAGAH_DHA_LNA_c
74,PLDAGAT_DHA_EPA_DHA_PE_11_c
75,RTOT2_cho
76,ETHAPT_STC_ALNA_c
77,ARTCOAL1_cho
78,FDH7
79,NMNDA
80,DOLPGT2
81,HTDCACBP
82,QULNS
83,PLDPE_HDE_ALNA_c
84,PLA2PC_EPA_STC_c
85,PAPA_LNA_EPA_c
86,ACOAR7mc
87,FACOAE60
88,FEROc
89,AGPRim
90,ORNt3m
91,PLDPE_PALM_PALM_c
92,ACOAR5mc
93,PLDAGAT_MYRS_EPA_LNA_PC_3_c
94,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
95,UGMDDS
96,PLDAGAT_PALM_PALM_LNA_PC_2_c
97,LPEH1829Z12Z_sn1_c
98,PCW3DS_EPA_EPA_sn2_c
99,PLA2PC_STC_ALNA_c
100,PLDAGAT_EPA_EPA_LNA_PC_3_c
101,PLDAGAT_HDE_EPA_OLE_PC_8_c
102,PLDAGAT_EPA_EPA_DHA_PE_15_c
103,PLD_SC
104,ETHAPT_DHA_LNA_c
105,RBPC
106,PUNP7
107,ETHAPT_HDE_DHA_c
108,CHOPT_STC_OLE_c
109,PAPA_EPA_LNA_c
110,CHOPT_DHA_EPA_c
111,FAOXTC102C101m
112,UDPGtnic
113,XAO2
114,ARTFR206_cho
115,ALAALAr
116,APH141
117,LPCAT_DHA_EPA_sn2_c
118,PI4P5K_EPA_HDE_c
119,DAGAH_EPA_ALNA_c
120,NNDPR
121,lipid2
122,pe_prod14
123,ETHAPT_EPA_ALNA_c
124,PLDPE_LNA_OLE_c
125,ORNTACim
126,ACGAMT
127,PLDAGAT_OLE_EPA_DHA_PE_14_c
128,EX_mepi_e
129,PLIPA2A141
130,PS_asn__L_c
131,PLDPE_EPA_HDE_c
132,PLDAGAT_MYRS_EPA_LNA_PC_2_c
133,CHOPT_LNA_LNA_c
134,DOLPMT1
135,NADN
136,DOLPGT1
137,LPEAT_LNA_OLE_sn2_c
138,HACD5i
139,NADPPPS
140,GPDDA2
141,CHOPT_EPA_DHA_c
142,FADH2tm
143,PAPPT3
144,PRUK
145,ARGN
146,MALCOAMT
147,ACOAR4m
148,DOLPGT3
149,PLA2PE_LNA_EPA_c
150,DHAPtm
151,GDPMNP
152,PLDPE_EPA_ARA_c
153,ASPTA6
154,ETHAPT_EPA_HDE_c
155,PINOS_SC
156,CDIPT_LNA_EPA_c
157,MEPIVESSte
158,ACMAMUT
159,PLDAGAT_DHA_EPA_DHA_PE_13_c
160,PLDAGAT_PALM_PALM_LNA_PC_5_c
161,FESD1s
162,G12MT1_cho
163,ARTFR208_cho
164,SQD2_182_9_12
165,PLDAGAT_OLE_EPA_DHA_PE_13_c
166,ETHAPT_EPA_LNA_c
167,LPEAT_EPA_ARA_sn2_c
168,UM4PCP
169,PLDPC_EPA_ARA_c
170,PLA2PE_HDE_ALNA_c
171,BDMT_cho
172,UAGPT3
173,LPEAT_STC_ALNA_sn2_c
174,CDPDAGS_LNA_EPA_c
175,DAGAH_DHA_DHA_c
176,AGPATCOA_EPA_HDE_c
177,UREA
178,G13MT_cho
179,PLDAGAT_EPA_EPA_DHA_PC_6_c
180,PLDPC_STC_ALNA_c
181,DAGAH_EPA_STC_c
182,APG3PAT141
183,G3PCt
184,ETHAPT_DHA_OLE_c
185,HMR_4957
186,pe_prod13
187,NMNN
188,HCO3E
189,PIPLC_EPA_HDE_c
190,ARTPLM1
191,PLDAGAT_HDE_EPA_OLE_PC_6_c
192,ADRNLPVESSEC
193,EX_sprm_e
194,SPRMti
195,HMR_0653nhs
196,HMR_0657nhs
197,PIPLCnhs
198,lipid10
199,pe_prod1
200,NTRIR2y
201,FORAMD
202,CEPTEnhs
203,ETHAPT
204,CLFORtex
205,FE3DCITexs
206,pe_prod5
207,POR_syn
208,NTRIR2x
209,PYDXO
210,HISD_c
211,HMR_0654
212,CEPTCnhs
213,PEFLIP
214,pe_prod15
215,pc_prod
216,HMT
217,pe_prod7
218,CDIPTrnhs
219,CITt2r
220,r2044
221,SO4CLtex
222,ARTPLM1
223,lipid2
224,DAGCPT
225,EX_etha_e
226,ETHAt
227,EX_cit_e
228,R05219
229,GLCNACPT_L
230,PSD160
231,CYRDAAT
232,RTOT_2_cho
233,CDAPPA180
234,PC6YM
235,PIPLC
236,PYDXO
237,PC11M
238,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
239,MIP2C126PLC_SC
240,PETOHMm_cho
241,KARA2
242,PEFLIP
243,PDCmc
244,CLPNH181
245,PLDAGAT1801819Z1819Z1
246,PLIPA2A180
247,RTOT2_cho
248,CYSGLNNaEx
249,ILEDHr
250,CDAPPA160
251,ARTCOAL1_cho
252,TECA1S45
253,DHNAPHT
254,ACOADAGAT_HDE_HDE_LNA_c
255,ARTFR41_cho
256,PSD161
257,DHAD3
258,PSD120
259,r1899
260,CDAPPA181
261,ACOAR7mc
262,ETHAPT
263,ETHAPT_STC_DHA_c
264,ACOAR5mc
265,IPC126PLC_SC
266,PE_CHOtm
267,CYRDAR
268,ETHAPT_HDE_HDE_c
269,LPCH2055Z8Z11Z14Z17Z_sn1_c
270,STPT2
271,UDPGtnic
272,LPCAT_HDE_HDE_sn2_c
273,lipid2
274,LPS3_cho
275,CITt4_1
276,ADCPS2
277,DOLPMT_L
278,PLA2PC_EPA_EPA_c
279,PSD141
280,CHOPT_OLE_MYRS_c
281,PC17M_1
282,FADH2tm
283,LPCAT_OLE_MYRS_sn2_c
284,PSSA181
285,PLA2PE_STC_DHA_c
286,PSD140
287,THRD_L
288,ADCYRS
289,UAG2E
290,PSSA180
291,DHNANT
292,PC8XM
293,COCHL
294,PLDAGAT_OLE_HDE_OLE_PC_4_c
295,PC6AR
296,lipid10
297,CEPTE_cho
298,PAPA1801819Z
299,PLA2_2_cho
300,ETHAPT_PALM_OLE_c
301,CEPTC_cho
302,THRPDC
303,PLDAGAT_HDE_HDE_LNA_PC_3_c
304,R05224_1
305,ACOAR4mc
306,ARTCOAL2_cho
307,PAPA1601819Z
308,PLA2PC_STC_DHA_c
309,PLDAGAT_HDE_PALM_PALM_PE_12_c
310,ACHBSb
311,PLDAGAT_OLE_HDE_OLE_PE_12_c
312,PLA2PC_DHA_DHA_c
313,CITt13
314,HCO3E
315,LPS2_cho
316,THRA
317,ARTPLM1
318,PLDPC_STC_OLE_c
319,ASNGLNNaEx
320,ACOAR3mc
321,HMR_2604
322,ACOAR4mc
323,ACOAR7mc
324,NADHXD
325,ACOAR5mc
326,HMR_2603
327,NADHXE
328,HCO3E
329,PYDXO
330,ARTPLM1
331,lipid2
332,HMR_2602
333,HDDACBP
334,ACOAR5m
335,PFK_ppi
336,ACOAR3mc
337,EX_ser__L_e
338,r2526
339,EX_chsterol_e
340,CHOLESTTDe
341,EX_crm_e
342,EX_fum_e
343,CYSGLNNaEx
344,ACP1e
345,GLYVESSEC
346,DHNANT
347,EX_fadh2_c
348,r1106
349,ACOAR7mc
350,EX_fmn_e
351,OXGDC
352,DHNAPHT
353,TSR
354,FADDP
355,PYDXO
356,ACP1_FMN
357,ASNGLNNaEx
358,EX_4abut_e
359,R05219
360,CHOLtu
361,LPCAT_OLE_ALNA_sn2_c
362,APH120
363,MIP2CS124_SC
364,PAPA181
365,PACCOAL3
366,TECA3S45
367,PIPLC_HDE_EPA_c
368,HMR_0847nhs
369,LPS2_18_2_18_2nhs
370,ETHAPT_EPA_DHA_c
371,CLFORtex
372,PLA2PC_EPA_DHA_c
373,FE2t3pp
374,MIP2C124PLC_SC
375,PC6YM
376,UACMAMO
377,lipid3
378,PYDXO
379,AGPAT190
380,PCW3DS_STC_EPA_sn2_c
381,lipid1
382,LPLIPA2
383,NMNt7
384,r1585
385,PEFLIP
386,pe_prod15
387,AGPAT181_ap
388,pc_prod
389,DBRC
390,GLUDC
391,NADPtmt
392,RTOT2_cho
393,IPCS124_SC
394,ARTCOAL1_cho
395,TECA1S45
396,FDH7
397,PLDPC_LNA_EPA_c
398,SO4CLtex
399,PIPLC_18_2_18_2nhs
400,CHOPT_STC_STC_c
401,PIPLC_EPA_EPA_c
402,PLDAGAT_OLE_EPA_EPA_PE_13_c
403,NADPHtap
404,MGDGS1819Z160c
405,CHOPT_STC_EPA_c
406,ACOAR7mc
407,FACOAE60
408,AGPATCOA_HDE_EPA_c
409,PHEGLNPHEr
410,PLDPC_STC_ARA_c
411,PLDPC_PALM_EPA_c
412,ETHAPT
413,r1641
414,ETHAPT_HDE_EPA_c
415,AGPATCOA_PALM_EPA_c
416,BCR6ppc
417,CHOPT_EPA_HDE_c
418,3OAR180_ap
419,PA181tap
420,PEPT_EC
421,ANNAT
422,NEU23nhs
423,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
424,LPCAT_PALM_EPA_sn2_c
425,TYRPHETYRr
426,PCW3DS_EPA_EPA_sn2_c
427,CDAPPA141
428,AGPAT120_ap
429,PLDAGAT_EPA_EPA_ARA_PC_7_c
430,PLDPE_PALM_ALNA_c
431,PLDPC_EPA_HDE_c
432,ETHAPT_HDE_HDE_c
433,CHOPT_MYRS_MYRS_c
434,DMBZIDS
435,LEUTAi
436,r1661
437,r2046
438,PA180tap
439,ECOAR
440,VALPHELAT2tc
441,PLA2_2_18_2_18_2nhs
442,APH141
443,IORb
444,CHOPT_EPA_EPA_c
445,PLDAGAT_HDE_EPA_LNA_PC_5_c
446,lipid2
447,aratry1
448,r1974
449,DAGCPT
450,APG3PAT140
451,pe_prod14
452,CHOPT_OLE_PALM_c
453,ETHAPT_PALM_PALM_c
454,PIP5P_HDE_EPA_c
455,AGPAT180_ap
456,r1877
457,PLDPC_STC_STC_c
458,ADHEr
459,ETHAPT_STC_EPA_c
460,PLIPA2A141
461,PLDPE_STC_ARA_c
462,PLDPE_EPA_HDE_c
463,PLA2PC_MYRS_LNA_c
464,ETHAPT_PALM_ALNA_c
465,LPCAT_OLE_EPA_sn2_c
466,PIPLC_18_1_20_4nhs
467,CHOPT_EPA_DHA_c
468,UAG2EMA
469,PTRCOX1
470,FADH2tm
471,CEPTC_18_2_18_2nhs
472,PLDPC_PALM_ALNA_c
473,LPCAT_PALM_ALNA_sn2_c
474,MALCOAMT
475,G3PAT181_ap
476,PLDPC_OLE_ALNA_c
477,AGPAT160190
478,r1591
479,PLDAGAT_EPA_EPA_ARA_PE_12_c
480,ETHAPT_EPA_HDE_c
481,MIP2C326PLC_SC
482,NMNP
483,PLIPA2
484,PLDAGAT_HDE_EPA_LNA_PC_1_c
485,APH140
486,ACNPLYS
487,G3PAT190
488,ARTFR208_cho
489,lipid10
490,PLDPE_OLE_EPA_c
491,DAGK120
492,DHCHOLESTANATEt
493,r1953
494,LPLPS1AGPE180
495,PAPA_OLE_EPA_c
496,r1637
497,PA120tap
498,RNTR1c
499,PTAr
500,RNTR2c
501,r1636
502,r2051
503,CHOPT_OLE_EPA_c
504,DAGK141
505,PC6AR_1
506,LPASE_18_2nhs
507,PLIPA2A120
508,PLDAGAT_EPA_EPA_EPA_PE_13_c
509,APG3PAT120
510,IPC326PLC_SC
511,igg_hc
512,APG3PAT141
513,FE2tex
514,G3PCt
515,APG3PAT181
516,HMR_4957
517,LPS3_18_2nhs
518,THRA
519,ARTPLM1
520,PLDPE_OLE_ALNA_c
521,FE3Ri
522,BCR6pp
523,EX_citr__L_e
524,CPC8MM
525,1MNCAMt
526,SULR
527,PFK_ppi
528,CYRDAAT
529,ADOCBIK
530,CPC6R
531,ANNAT
532,PYDXO
533,SULR_2
534,ARGDI
535,ACOAR4mc
536,APPLDHr
537,NODOx
538,CYRDAR
539,CPC6MT
540,NAPT
541,CYRDAS
542,CPC5MT
543,ADCYRS
544,NNMT
545,AOBUTDs
546,PGLc
547,PPK2
548,ADCPS1
549,ARTPLM1
550,lipid2
551,CPC4MT
552,DPCOAK
553,ACOAR3mc
554,r0817
555,EX_lipoate_e
556,LIPOti_1
557,EX_asp__L_e
558,EX_pyr_e
559,ACOAR3mc
560,QULNS
561,ACOAR7mc
562,PYDXO
563,NADN
564,ARTPLM1
565,ACOAR4mc
566,NNDPR
567,NADPPPS
568,lipid2
569,ASPOb
570,EX_succ_e
571,PLBPC_SC
572,LPCAT_MYRS_GLNA_sn2_c
573,FRD5
574,APH120
575,F430S3
576,PLDAGAT_EPA_EPA_LNA_PE_9_c
577,PCW3DS_MYRS_EPA_sn2_c
578,PLDPC_PALM_LNA_c
579,GLCNACPT_L
580,PLDAGAT_HDE_EPA_EPA_PC_5_c
581,PLDAGAT_HDE_EPA_EPA_PC_4_c
582,SERDC
583,PI5P3Knhs
584,PLDAGAT_MYRS_EPA_ARA_PC_2_c
585,PYDXO
586,lipid3
587,PIPLC_LNA_LNA_c
588,LPEAT_PALM_OLE_sn2_c
589,FA182ACPH
590,PI3P5Knhs
591,PLDAGAT1601819Z1819Z1
592,CPC2MT
593,ETHAPT_MYRS_EPA_c
594,pe_prod15
595,ACOADAGAT_HDE_EPA_ARA_c
596,pc_prod
597,DAGK_MYRS_ARA_c
598,OCCOAtm
599,RTOT2_cho
600,PIPLC_cho
601,ECOAH3_1c
602,PGPP_cho
603,AGPATCOA_STC_DHA_c
604,AGPAT181_9
605,ACPS2
606,DAGK_PALM_LNA_c
607,TECA1S45
608,ACPSm
609,PLDPC_MYRS_ARA_c
610,ETHAPT_OLE_EPA_c
611,ETHAPT_OLE_OLE_c
612,PCD6DS_OLE_GLNA_sn2_c
613,CHOPT_STC_STC_c
614,PIPLC_EPA_EPA_c
615,PLA2PE_OLE_DHA_c
616,DAGAH_OLE_ARA_c
617,PI345P3P_cho
618,HODHL8
619,CDAPPA181
620,CHOPT_PALM_PALM_c
621,ACOAR7mc
622,PIPLCnhs
623,PIPLC_PALM_LNA_c
624,PLDPC_MYRS_LNA_c
625,PLDPE_MYRS_MYRS_c
626,LPCAT_OLE_GLNA_sn2_c
627,PCW3DS_MYRS_ALNA_sn2_c
628,CHOPT_OLE_DHA_c
629,PLDPE_PALM_PALM_c
630,RHACOAR60
631,AGAT_LLA
632,PLA2PE_PALM_PALM_c
633,COBALT2abcpp
634,LPEH2264Z7Z10Z13Z16Z19Z_sn1_c
635,CPC3MT
636,LPS2_20_4_20_4nhs
637,ETHAPT_DHA_STC_c
638,PLDPC_OLE_OLE_c
639,CDAPPA141
640,PIP5P_PALM_LNA_c
641,CHOPT_HDE_HDE_c
642,PIP4K_LNA_LNA_c
643,PI4P5K_LNA_LNA_c
644,GLXCL
645,HMR_0625nhs
646,GLYCt
647,CHOPT_MYRS_MYRS_c
648,3HAACOAT60
649,DAGAH_MYRS_ARA_c
650,ICL
651,PCW3DS_MYRS_STA_sn2_c
652,CPC4MT
653,ACPpds
654,DPCOAK
655,PLDAGAT_LNA_EPA_LNA_PE_9_c
656,PGPPT_cho
657,DAGCPT
658,pe_prod16
659,PCW3DS_PALM_ALNA_sn2_c
660,PLDPC_STC_STC_c
661,CHOPT_MYRS_DHA_c
662,ETHAPT_PALM_LNA_c
663,LPCAT_MYRS_ALNA_sn2_c
664,FABM2
665,CHOPT_LNA_LNA_c
666,DAGAH_MYRS_DHA_c
667,ETHAPT_PALM_ALNA_c
