,rxns_added
0,EX_ser__L_e
1,ARTFR213_cho
2,DAGAH_PALM_OLE_c
3,HMR_2484
4,C161CPT12
5,PLDPC_EPA_HDE_c
6,MALSm
7,LPASE_16_0nhs
8,LPASE_18_2nhs
9,PLDAGAT_OLE_EPA_DHA_PC_3_c
10,EICOSTETCPT2
11,PAPA18111Z1819Z
12,PGPPT_cho
13,2_7_8_3
14,PLDAGAT_PALM_EPA_ARA_PC_6_c
15,ETHAPT_EPA_PALM_c
16,PLDAGAT_PALM_PALM_LNA_PE_14_c
17,GLS2e
18,PLA2PC_STC_STC_c
19,LPCAT_DHA_ALNA_sn2_c
20,PHYTES2
21,PLDAGAT_OLE_EPA_DHA_PE_14_c
22,lipid2
23,3OPHB5Hm
24,OCOAT1
25,CDAPPA120
26,NPDPS_m
27,AKGR_m
28,AGPATCOA_PALM_STC_c
29,PLDAGAT_PALM_PALM_LNA_PC_6_c
30,PHEPS
31,PAPA1819Z1819Z
32,ETHAPT_PALM_EPA_c
33,DOLPMT_L
34,ETHAPT_HDE_OLE_c
35,PCW3DS_OLE_EPA_sn2_c
36,NADPtmt
37,PLDAGAT_EPA_EPA_ARA_PE_12_c
38,PGPP_cho
39,PLA2PE_STC_MYRS_c
40,CDS_18_2_18_2nhs
41,PLA2_2_18_1_20_4nhs
42,HMR_3427
43,PI45PLC_18_1_18_1nhs
44,ATNAHc
45,FAOXC226
46,DAPAT
47,CEPTC_18_2_18_2nhs
48,MACACI
49,DAGCPT
50,r1481
51,PI4P4Pn_cho
52,34HPPt2m
53,PLDPE_LNA_ALNA_c
54,PENDPtm
55,LPS2_18_2_18_2nhs
56,CBMKr
57,EX_glnlyslys_e
58,ARTFR43_cho
59,4HBZCOAFm
60,2_PERIOD_4_PERIOD_1_PERIOD_141
61,pe_prod12
62,NTRIR3ppc
63,DEDOLDPSAT
64,DAGAH_HDE_OLE_c
65,SS
66,PCW3DS_LNA_ALNA_sn2_c
67,ASPtmt
68,SELTOR_c
69,KAT1
70,UGLYCH
71,CEPTEnhs
72,PINOS
73,PLDAGAT_PALM_HDE_HDE_PC_1_c
74,PETOHM_SC
75,HMR_0654
76,LPCAT_OLE_ALNA_sn2_c
77,GLS2
78,CHRPL
79,HGNTOR
80,FACOAE60
81,PAPA1801819Z
82,4HBZFm
83,MALS
84,PI4P5K_18_1_20_4nhs
85,ASPCTm
86,CDAPPA141
87,ALDD31
88,HMR_0657nhs
89,DCTPD2
90,FUMAC
91,LDL_HSSYNnhs
92,LPCH1619Z_sn1_c
93,LPASE_cho
94,FOLt2_1
95,PLDAGAT_LNA_EPA_ARA_PC_6_c
96,DMBZIDS
97,GALR1TRA1
98,PI4P5K_18_1_18_3nhs
99,PLDPC_EPA_OLE_c
100,PIACGT
101,DAGAH_OLE_HDE_c
102,GHMT2r_m
103,CHOPT_OLE_EPA_c
104,pe_prod2
105,PSP_L
106,ACOAD1z
107,CHOPT_STC_MYRS_c
108,PLDPC_LNA_ALNA_c
109,HMR_1465
110,CDAPPA180
111,PLDAGAT_PALM_PALM_LNA_PE_13_c
112,HCO3Em
113,PLDAGAT_HDE_MYRS_HDE_PC_1_c
114,PLDAGAT_PALM_EPA_DHA_PC_6_c
115,ACOADAGAT_EPA_EPA_ARA_c
116,PHYTEDH1
117,PLDAGAT_OLE_EPA_DHA_PE_13_c
118,DAGAH_EPA_HDE_c
119,HMGCOASm
120,COUCOAFm
121,SELGTHR3
122,PLDPC_PALM_STC_c
123,PLDAGAT_MYRS_MYRS_HDE_PC_1_c
124,GCLDHc
125,T4HCINNMFM
126,PMETM_SC
127,OANTS
128,HMR_1467
129,ALCD19y
130,HMR_0653nhs
131,AKO
132,HACD2
133,ASNt2m
134,ETHAPT_STC_ARA_c
135,ALASmc
136,PI34P3Pn_cho
137,CEPTC_18_1_20_4nhs
138,PTRCTA
139,PLDPE_STC_MYRS_c
140,FAO141p_oddc
141,PLDAGAT_PALM_EPA_DHA_PE_11_c
142,ENTERGLCT1
143,CHOPT_EPA_DHA_c
144,G3PAT180_1
145,ARTFR41nhs
146,DAGAH_STC_HDE_c
147,HMR_2635
148,NAPT
149,DAGAH_STC_ARA_c
150,GGT
151,PLDAGAT_HDE_EPA_HDE_PE_11_c
152,ETHAPT_LNA_LNA_c
153,PLA2PC_PALM_OLE_c
154,C226CRNt
155,PLA2_2_16_0_16_0nhs
156,UTUP
157,PLDAGAT_HDE_PALM_PALM_PE_13_c
158,CDAPPA181
159,ARTFR53_cho
160,ACOADAGAT_PALM_EPA_ARA_c
161,EX_xolest2_cho_e
162,PI4PP_18_1_18_1nhs
163,CEPTCnhs
164,NADDP
165,PCD12DS_LNA_PALM_sn1_c
166,CDAPPA140
167,PLDAGAT_OLE_HDE_OLE_PE_14_c
168,FBAfc
169,ACChex
170,CHOPT_EPA_PALM_c
171,PLA2_2e_cho
172,THFtm_1
173,DBRC
174,PLDAGAT_PALM_PALM_LNA_PC_5_c
175,DAGAH_HDE_DHA_c
176,DHRc
177,SSALx
178,LPCH160_sn1_c
179,DAGK_18_2_18_2nhs
180,PLDPC_DHA_ALNA_c
181,GTHOXti
182,SMS
183,PGCD
184,ETHAPT_STC_STC_c
185,PCW3DS_OLE_ALNA_sn2_c
186,ETHAPT_OLE_LNA_c
187,GLUCAN2abc
188,APTNAT
189,LPS3_18_2nhs
190,MTHFD2m
191,RHACOAR120
192,EICOSTETCRNt
193,PLIPA2E120
194,PHYTES2_1
195,TAURt
196,GLYCLTtm
197,PCW3DS_PALM_EPA_sn2_c
198,PLDAGAT_HDE_ARA_HDE_PC_1_c
199,GLCNACPT_L
200,UDPGtnic
201,ACOADAGAT_OLE_EPA_DHA_c
202,C226CPT1
203,EX_ldl_enhs
204,PPRDNDH
205,UREA
206,DAGK_18_1_18_2nhs
207,ECOAH2_1c
208,EICOSTETCPT1
209,ETHAPT_OLE_PALM_c
210,CEPTC_cho
211,DAGAH_PALM_STC_c
212,pi_prod4
213,ETHAPT_OLE_DHA_c
214,DAGAH_OLE_DHA_c
215,PLA2_2_18_2_18_2nhs
216,PLDAGAT_MYRS_MYRS_HDE_PC_6_c
217,PLA2_2_cho
218,DHORtmt
219,PLIPA2A181
220,CBMK_m
221,DAGAH_OLE_STC_c
222,FAO161p_oddc
223,LPASE_18_1nhs
224,FAO181p_oddc
225,PLA2_2nhs
226,FDH7
227,CITt2r
228,ETHAPT_OLE_STC_c
229,PLIPA2A120
230,HMR_1532
231,PLIPA2A160
232,PLDPC_STC_STC_c
233,HMGLm
234,AGPAT1_18_1_20_4nhs
235,ATPUP
236,HMR_3229
237,TAUDO
238,MTHFD2i
239,SALCHS4FER1
240,ETHAPT_OLE_HDE_c
241,MBCOAi
242,PLA2PA_EPA_OLE_c
243,FBA
244,DAGAH_EPA_DHA_c
245,CHOPT_STC_STC_c
246,PLD_SC
247,C161CRN2t
248,OXPTNDH
249,HMGL
250,3DH5HPBMTmc
251,GGDPR
252,PLDAGAT_OLE_EPA_DHA_PE_11_c
253,r2514m
254,pi_prod3
255,CHOPT_PALM_STC_c
256,PIPLC_cho
257,MGCH
258,ACACT2c
259,CO2t
260,PAIL_CHOtn
261,EX_glucan1500_e
262,3HAACOAT120
263,METHFtxc
264,ATP2t_m
265,GLNLYSLYSr
266,34HPPOR
267,NH4t
268,CHOPT_EPA_OLE_c
269,FBA3
270,SLDK
271,SLCS
272,PUNP7
273,SULO
274,PLDAGAT_HDE_EPA_HDE_PE_14_c
275,ABUTD
276,LPEAT_LNA_DHA_sn2_c
277,LCAT1e_cho
278,LPASEnhs
279,GLNLYSLYSt
280,ENTERGLCT2
281,DAGK_18_1_20_4nhs
282,ACACT3c
283,PLDAGAT_LNA_EPA_ARA_PC_2_c
284,PCm
285,SELGTHR2
286,H2O2t
287,PSERT
288,CEPTC_16_0_16_0nhs
289,PFLACTm
290,XAND
291,PLDAGAT_HDE_ARA_HDE_PC_3_c
292,ASNNm
293,34HPLFM
294,ETHAPT_EPA_HDE_c
295,CDAPPA161
296,PIPLC_18_1_18_1nhs
297,SALCHS4FEabcppc
298,ETHAPT_HDE_HDE_c
299,URIC
300,PLDAGAT_HDE_PALM_PALM_PE_14_c
301,CDAPPA160
302,ETHAPT_LNA_DHA_c
303,GGTT
304,NADPPPS
305,PSYc
306,MFAPS_SC
307,PLDAGAT_HDE_MYRS_HDE_PC_4_c
308,lipid4
309,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
310,CHOPT_PALM_OLE_c
311,3OPHB_5tm
312,LPEAT_PALM_EPA_sn2_c
313,PCHOLHSTDe_1nhs
314,ETHAPT_HDE_DHA_c
315,BDMT
316,SALCHS4FEexs
317,GLUTCOADHc
318,PLDAGAT_OLE_HDE_OLE_PE_11_c
319,OMMBLHX3
320,CLS_cho
321,DOLDPP
322,FAO3
323,SELTtm
324,LPCAT_STC_MYRS_sn2_c
325,EX_tag_enhs
326,CHOPT_PALM_EPA_c
327,C226CPT2
328,PAPA_STC_MYRS_c
329,CHOPT_OLE_PALM_c
330,RTOT5_cho
331,ALLTAMH
332,PLDPE_DHA_ALNA_c
333,LPCH1819Z_sn1_c
334,ASPSEc
335,PI34P5K_18_1_20_4nhs
336,RTOTAL2FATPc
337,pe_prod5
338,LPLIPAL1A140
339,ETHAPT_EPA_OLE_c
340,GALR1TRA2
341,PI45PLC_18_1_20_4nhs
342,ARTFR43nhs
343,GTHPe
344,CDIPTr_18_2_18_2nhs
345,PHYTFDH1
346,CHOPT_LNA_LNA_c
347,HPPK_1
348,PLA2PE_OLE_HDE_c
349,CHOPT_STC_HDE_c
350,PHEPC
351,CDIPTr_cho
352,PLA2PA_EPA_HDE_c
353,SAL_m
354,HACD3
355,LPLIPAL1E120
356,FA80ACPHi
357,MCTCc
358,ARTCOAL1_cho
359,H2SO
360,ECOAH3
361,ETHAPT_EPA_DHA_c
362,5AOPtmt
363,RTOT_2_cho
364,EX_HC00005_e
365,LPLIPAL1A120
366,EX_asp__L_e
367,KAT3
368,DAGAH_DHA_OLE_c
369,MAGAH1819Z_c
370,DAGAH_OLE_HDE_c
371,PEFLIP
372,HMR_0909
373,GTHRDt2
374,ETHAPT_MYRS_MYRS_c
375,DAGAH_EPA_LNA_c
376,PLDAGAT_LNA_EPA_LNA_PC_7_c
377,PLA2PE_STC_OLE_c
378,PCW3DS_DHA_ALNA_sn2_c
379,GLYCOe
380,PLA2PE_PALM_DHA_c
381,DAGAH_STC_STC_c
382,PLDAGAT_HDE_MYRS_LNA_PE_16_c
383,PLDPE_MYRS_DHA_c
384,GTHRDH_syn
385,PIP3K_PALM_LNA_c
386,ETHAPT_PALM_ALNA_c
387,PIP4K_EPA_EPA_c
388,HMR_0889nhs
389,PLDAGAT_HDE_MYRS_LNA_PC_7_c
390,GLCNACPT_L
391,PLDAGAT_PALM_PALM_LNA_PE_11_c
392,lipid5
393,LPCAT_DHA_DHA_sn2_c
394,FACOAL260
395,CYSLY3
396,PI4P5K_EPA_EPA_c
397,CHOPT_HDE_DHA_c
398,NADHXD
399,PIPLC_PALM_PALM_c
400,XAO
401,URIC
402,LPCAT_DHA_ALNA_sn2_c
403,ILEARGILEr
404,PAPA120
405,lipid2
406,ETHAPT_STC_LNA_c
407,SUCOAACTr
408,PLDPC_MYRS_LNA_c
409,PPDK
410,ETHAPT_HDE_EPA_c
411,NADK
412,PAPA1819Z1819Z
413,RHACOAR100
414,HMR_0907nhs
415,CHOPT_DHA_DHA_c
416,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
417,CLPNH120
418,PI4P5K_PALM_PALM_c
419,lipid3
420,FAO161p_oddc
421,ETHAPT_EPA_LNA_c
422,PIP4K_PALM_PALM_c
423,ETHAPT_HDE_DHA_c
424,FAO181p_oddc
425,PLDAGAT_HDE_EPA_LNA_PC_7_c
426,ETHAPT_DHA_HDE_c
427,LPEAT_HDE_EPA_sn2_c
428,NCNt
429,PIPLC_EPA_EPA_c
430,CITt4_1
431,HCO3E
432,AGPATCOA_MYRS_DHA_c
433,DAGK141
434,ILEARGILEt
435,HMR_0906nhs
436,HMR_0890nhs
437,DAGCPT
438,PLA2PE_DHA_OLE_c
439,LPEH1819Z_sn1_c
440,FAO141p_oddc
441,LPCAT_MYRS_HDE_sn2_c
442,CHOPT_EPA_DHA_c
