,rxns_added
0,EX_val__L_e
1,LFORKYNHYD
2,VALVALr
3,KYN3OX
4,PLIPA2E181pp
5,PFK26
6,PFK26_1
7,ASNN
8,2AMADPTm
9,PKETX
10,ALDD2x
11,METt2r
12,SAMHISTAe
13,HBtr
14,r0525
15,PROt2r
16,O16AT
17,THFGLUH
18,VALVALt
19,EX_mhista_e
20,GLYtm
21,PHDCATA
22,HMR_9807
23,CYTDK1
24,HISTAVESSEC
25,ACChex
26,HMR_3424
27,PLIPA1E181pp
28,AASAD3m
29,THRD_L
30,3HAACOAT60
31,TYRVALMETt
32,FACOAE141
33,pe_prod8
34,2AGPE181tipp
35,HACD2i
36,AGTim
37,NADK
38,ECOAH2_1c
39,HMGLB
40,3MOBtmt
41,COA181_9Z_9DS_c
42,GLXCBL
43,ATP2t_m
44,FAO3
45,NADKm
46,GALFT
47,MCITLmc
48,RE2349C
49,SSALy
50,ETHAPT_MYRS_MYRS_c
51,r0239
52,SSALxm
53,R05219
54,FASm2601
55,NADPHtmt
56,pe_prod4
57,AASDH1_c
58,DIPEPabc6c
59,ARGPHEARGr
60,DHAD1m
61,THRA
62,PC6YM_1
63,ACALD
64,HSDA
65,lipid2
66,TYRVALMETr
67,LYSLYSLYSr
68,CBMKr
69,ACOAD2
70,AMETt2
71,HMR_2332
72,EX_valval_e
73,ACLSm
74,SACCD2
75,PC11M
76,CO2t
77,RE2594C
78,H2OGLYAQPt
79,CYSTBLc
80,r2389
81,PREPTHS2
82,ARTFR45nhs
83,SACCRP_Lte
84,AM4PCP
85,TRPO2
86,CYSTS_1c
87,FBAhc
88,KYN
89,TMDK1
90,HSERTA
91,ALAtmi
92,SUCCtmt
93,HCYSMT
94,PC17M
95,RTOT4nhs
96,FBA3
97,EX_ahcys_e
98,FASm2801
99,NADHtm
100,lipid5
101,PHEPHEr
102,LAAL15
103,EX_fadh2_c
104,CYSTS
105,EX_hb_e
106,LPLIPAL1E181pp
107,GLXtm
108,r2372
109,ALAR
110,GLYTA_1
111,PC6AR_1
112,LPLIPAL2E141
113,VPAMTr
114,RHACOAR60
115,FASm3001
116,HISDC
117,Hfv
118,EX_5mthf_e
119,5MTHFt
120,EX_lipoate_e
121,LIPOti_1
122,EX_his__L_e
123,HOPNTAL2
124,HMR_2433
125,PLA2PE_OLE_ALNA_c
126,ACACT5pc
127,GLUDC
128,VALVALr
129,GHMT3
130,H2CO3D2m
131,FAOXC18480m
132,CYRDAR
133,ECOAH12
134,PLA2PC_OLE_HDE_c
135,PCm
136,LPEAT_OLE_EPA_sn2_c
137,HPPK2
138,TMLYSOX
139,ABOR
140,CEPTC_18_1_18_1nhs
141,FAO181p_oddc
142,ARTFR205_cho
143,CHOPT_OLE_PALM_c
144,NNMT
145,LPS3_18_1nhs
146,EX_glnhishis_e
147,PTOR
148,LPEAT_HDE_PALM_sn2_c
149,2MBALDH
150,PAPA120
151,PLA2PC_PALM_STC_c
152,AMALT2
153,HC00900t4
154,HBtr
155,PLDAGAT_HDE_ARA_PALM_PE_13_c
156,PCD12DS_LNA_LNA_sn1_c
157,LPASE_18_1nhs
158,PPPGO2_1
159,SELR
160,HISTRPHISr
161,DAGAH_STC_OLE_c
162,PAPA_PALM_STC_c
163,ACOADH2
164,CHOPT_OLE_EPA_c
165,CEPTC_cho
166,THFGLUH
167,VALVALt
168,HMR_2768
169,TMAMT
170,HMR_3423
171,PGCD
172,r1401
173,PLA2PC_OLE_STC_c
174,FAOXC182806m
175,ASPTA
176,GLUDC_m
177,pe_prod3
178,CHOPT_PALM_PALM_c
179,GHMT2r_m
180,CRNDCAL2
181,PSP_L
182,r0907
183,ACKILE
184,HMR_4079
185,TMABADH
186,OIVD1m
187,4H2OGLTtm
188,epo_degradation
189,VECOAH
190,LPEAT_HDE_STC_sn2_c
191,PNP
192,pc_prod
193,SGDS
194,ETHAPT_OLE_STC_c
195,H2CO3Dm
196,ACChex
197,BUTt2m
198,DMARG
199,r1254
200,PLDPE_HDE_HDE_c
201,THRD_L
202,RNMK
203,SPMDtex2
204,ARTFR204_cho
205,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
206,HMR_0354
207,TYRCBOX
208,PLA2PC_DHA_ALNA_c
209,ECOAH2
210,FACOAL50t2ppc
211,LPEAT_OLE_ARA_sn2_c
212,HISTRPHISt
213,HMT
214,SUCRe
215,PLDAGAT_LNA_EPA_LNA_PE_11_c
