,rxns_added
0,EX_ile__L_e
1,SUCACETATc
2,PLDPE_DHA_LNA_c
3,pe_prod7
4,FASm220
5,PLDAGAT_HDE_MYRS_HDE_PC_8_c
6,DAGCPT
7,PLIPA2G141
8,PLDPC_MYRS_LNA_c
9,HMR_2380
10,FAOXC163_7Z_10Z_13Zm
11,L_LACt2r
12,PLDPC_STC_LNA_c
13,MEVK4
14,PLDPE_MYRS_LNA_c
15,O2tm
16,LPEAT_LNA_EPA_sn2_c
17,LEUTYRTYRt
18,LPEAT_STC_STC_sn2_c
19,H2OGLYAQPt
20,PLDAGAT_EPA_EPA_LNA_PE_13_c
21,PLDPC_LNA_DHA_c
22,PGMfc
23,HDCACBP
24,ETHAPT_MYRS_HDE_c
25,PLDPC_EPA_ARA_c
26,FADt_h
27,ALAR
28,HMGCOAS
29,DAGK_LNA_EPA_c
30,GALMAN600b_e
31,NEU22nhs
32,LRAT_cho
33,pe_prod1
34,PRAGSr
35,GLCS2
36,AMALT1
37,CO2t
38,PLDPE_EPA_DHA_c
39,MG1B
40,RTOT_2nhs
41,AATHB
42,HMR_8582
43,PLDPC_LNA_EPA_c
44,DOLPMT2
45,DAGAH_EPA_PALM_c
46,DAGAH_DHA_HDE_c
47,SUCCt3pp
48,FADtm
49,PIACGT
50,acoa_prod2
51,LPLIPA1
52,PLDAGAT_LNA_EPA_GLNA_PE_12_c
53,PCW3DS_EPA_EPA_sn2_c
54,PULLe
55,PI5P4K_cho
56,LPEAT_LNA_DHA_sn2_c
57,ECOAH4
58,ETHAPT_PALM_PALM_c
59,pe_prod3
60,ETHAPT_MYRS_STC_c
61,GSNt3pp
62,ETHAPT_LNA_DHA_c
63,PLDPC_STC_GLNA_c
64,AMALT3
65,ACOAD4_1
66,DOLPGT3_c
67,UDPGtnic
68,PIP4K_LNA_EPA_c
69,MG3B
70,THRS
71,HXCT
72,HACD3i
73,LPLIPAL1G120
74,MOAT_HP
75,SMS
76,POAThc
77,DNDPt13m
78,PI4P5K_LNA_EPA_c
79,HMR_0843nhs
80,HMGL
81,ETHAPT_STC_LNA_c
82,PSERT
83,MG2B
84,PCD12DS_LNA_MYRS_sn1_c
85,ETHAPT_OLE_MYRS_c
86,PLDPC_MYRS_GLNA_c
87,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
88,LEUTYRTYRr
89,STPT1
90,CYSTBLc
91,AICART2
92,CYTDH
93,BDMT_L
94,GLCDBRAN3
95,GPIAT
96,PAPA18111Z1819Z
97,PLDPE_EPA_ARA_c
98,DOLPGT1_c
99,MCITLm
