,rxns_added
0,EX_tyr__L_e
1,PMDPHT
2,PHETHPTOX
3,r0398
4,DROPPRy
5,H2OGLYAQPt
6,PYDXO
7,TYRPHETYRt
8,TYRPHETYRr
9,RBFSa
10,GTPCII
11,ACChex
12,O2t
13,EX_tyrphetyr_e
14,RIBFSc
15,GMPR
16,EX_fadh2_c
17,R5PFLc
18,TYRt
19,EX_coa_e
20,PRO1y
21,PIP4K_PALM_PALM_c
22,COA181_9Z_9DS_c
23,FldAct
24,LPLIPAL1A180pp
25,LPCAT_EPA_GLNA_sn2_c
26,APPLP
27,PLDAGAT_HDE_PALM_LNA_PC_2_c
28,PHEGLNPHEr
29,NADHXD
30,PA180abcpp
31,PGCD
32,SARCStm
33,SUCD2_u6mc
34,FPGS9m
35,r2374
36,PLA2PA_EPA_DHA_c
37,H2St_m
38,CYSLtmt
39,4IZ5PPH
40,PGTPt_m
41,APPLDHr
42,AGPATCOA_EPA_STC_c
43,GCLDHc
44,EX_hb_e
45,G3PAT180_ap
46,FAOXC205_5Z_8Z_11Z_14Z_17Zm
47,PHYTES2
48,Hfv
49,GCALDtm
50,FPGS7m
51,ETHAPT_MYRS_HDE_c
52,DAGK_LNA_HDE_c
53,AGPATCOA_PALM_EPA_c
54,FA80ACPHi
55,PGPPT_cho
56,DPCOAKm
57,FAS120ACPm
58,PI45PLC_cho
59,DKMPPD3
60,PCD6DS_EPA_GLNA_sn2_c
61,PIP5P_EPA_LNA_c
62,HMGLB
63,PAPA_EPA_LNA_c
64,PLDPC_LNA_HDE_c
65,NADK
66,CHOPT_EPA_EPA_c
67,CHOPT_STC_DHA_c
68,epo_degradation
69,ASP1DC
70,FTAL
71,EX_hishislys_e
72,LPCH1829Z12Z_sn1_c
73,MAGAH2264Z7Z10Z13Z16Z19Z_c
74,PLA2PA_EPA_LNA_c
75,PI4P5K_LNA_EPA_c
76,MI1PP
77,DHPM2
78,DKMPPD2_cho
79,MLTHFtmt
80,LPEAT_EPA_ALNA_sn2_c
81,PLDPC_EPA_ALNA_c
82,AGPAT180_ap
83,PLDPE_STC_LNA_c
84,DAGAH_DHA_HDE_c
85,ALATA_Lm
86,MTHFD2m
87,CHOPT_MYRS_DHA_c
88,ECOAH12
89,HMR_0378
90,pe_prod13
91,HSTPTr
92,ETHAPT_PALM_DHA_c
93,PLDAGAT_HDE_MYRS_LNA_PE_14_c
94,HC00900t4
95,PDS2c
96,PLIPA2A180pp
97,PLDAGAT_HDE_EPA_DHA_PC_1_c
98,EX_fadh2_c
99,ETHAPT_OLE_DHA_c
100,GHMT2r_m
101,PTRCtex2
102,LPCAT_STC_DHA_sn2_c
103,ACChex
104,PLDAGAT_OLE_EPA_DHA_PE_9_c
105,PLDAGAT_MYRS_EPA_HDE_PC_5_c
106,CO2t
107,SPTc
108,ACSERLm
109,PLD_SC
110,FBA
111,EX_thym_e
112,IGPDH
113,PIP5P_LNA_HDE_c
114,PCW3DS_DHA_EPA_sn2_c
115,LPCAT_STC_ALNA_sn2_c
116,MTMOHT
117,ACOADAGAT18111Z18111Z1819Z
118,PLDAGAT_OLE_HDE_HDE_PC_1_c
119,METtm
120,SELR
121,RTOT_2nhs
122,PLDAGAT_MYRS_EPA_HDE_PE_9_c
123,PCNO
124,ADSELK
125,PLDAGAT18111Z18111Z1819Z2
126,FBA3
127,CHOPT_OLE_DHA_c
128,LYSLYSLYSr
129,PCD12DS_STC_LNA_sn2_c
130,ETHAPT_MYRS_MYRS_c
131,FA120ACPtm
132,AMETtmt
133,GCALDDy
134,lipid2
135,MTHFCm_1
136,PLDAGAT_MYRS_EPA_HDE_PE_15_c
137,PCW3DS_EPA_ALNA_sn2_c
138,PCD12DS_LNA_HDE_sn1_c
139,PI4P5K_PALM_PALM_c
140,TYR3MO2
141,PCW3DS_DHA_ALNA_sn2_c
142,MCITLmc
143,10FTHF7GLUtm
144,r0483
145,PA160abcpp
146,DAGAH_STC_STC_c
147,MTHFC
148,PLA2PC_EPA_STC_c
149,PHYTEDH2
150,ETHAPT_DHA_EPA_c
151,HISTP
152,PTPATim
153,lipid1
154,PLDAGAT_HDE_MYRS_LNA_PE_12_c
155,lipid3
156,FAS100ACPm
157,LALDD
158,DAGK181
159,PIP3K_LNA_EPA_c
160,PTPATi
161,3MOBt2im
162,ETHAPT_EPA_DHA_c
163,LIPOS2
164,GluForTx
165,PAN4Ptm
166,THRPDC
167,HMR_3428
168,r0330
169,OCACPSST_m
170,TRPHYDRO2
171,PA180tap
172,CYSS_m
173,CO2tmt
