,rxns_added
0,SK_trnalys_c: trnalys_c <=> 
1,GLPASE1: glygn2_c + 3.0 pi_c --> dxtrn_c + 3.0 g1p_c
2,CO2tmt: co2_m <=> co2_c
3,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
4,SK_trnaser_c: trnaser_c <=> 
5,SK_trnatrp_c: trnatrp_c <=> 
6,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
7,SK_trnacys_c: trnacys_c <=> 
8,LPLIPAL1G140: 1agpg140_c + h2o_c --> g3pg_c + h_c + ttdca_c
9,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
10,FASm2601: 3.0 h_c + mmcoa__S_c + 2.0 nadph_c + pmhexc_c --> co2_c + coa_c + h2o_c + hmocta_c + 2.0 nadp_c
11,SK_trnatyr_c: trnatyr_c <=> 
12,ACACT6r_1: accoa_c + ddcoa_c --> 3otdcoa_c + coa_c
13,LPCAT_MYRS_MYRS_sn2_c: 1agpc140_c + tdcoa_c --> coa_c + pc140_c
14,ASPOcm_1: asp__L_c + fad_m --> fadh2_m + iasp_c
15,UDPGtnic: atp_c + h2o_c --> adp_c + h_c + pi_c + udpg_c
16,SK_trnaile_c: trnaile_c <=> 
17,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
18,SK_trnaasp_c: trnaasp_c <=> 
19,SK_trnaval_c: trnaval_c <=> 
20,LPCAT_MYRS_STC_sn2_c: 1agpc140_c + ocdccoa_c --> coa_c + pc140180_c
21,AGPATCOA_MYRS_STC_c: 1tdecg3p_c + ocdccoa_c --> coa_c + pa140180_c
22,GLBRAN: glygn1_c --> glygn2_c
23,PLIPA2G120: h2o_c + pg120_c --> 1agpg120_c + ddca_c + h_c
24,SK_trnaasn_c: trnaasn_c <=> 
25,GLDBRAN: dxtrn_c + h2o_c --> glc__D_c + glygn3_c
26,PLIPA2G140: h2o_c + pg140_c --> 1agpg140_c + h_c + ttdca_c
27,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
28,GLPASE2a: glygn3_c + 7.0 pi_c --> Tyr_ggn_c + 7.0 g1p_c
29,PGPP140: h2o_c + pgp140_c --> pg140_c + pi_c
30,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
31,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
32,3HAACOAT100: 3hdecACP_c + coa_c --> ACP_c + R_3hdcoa_c
33,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
34,CLPNH120: clpn120_c + h2o_c --> h_c + pa120_c + pg120_c
35,FASm3001: 3.0 h_c + hpmtria_c + mmcoa__S_c + 2.0 nadph_c --> co2_c + coa_c + h2o_c + 2.0 nadp_c + omdtria_c
36,DROPPRx: 25dhpp_c + h_c + nadh_c --> 25dthpp_c + nad_c
37,CHOPT_MYRS_STC_c: 12dgr140180_c + cdpchol_c --> cmp_c + h_c + pc140180_c
38,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
39,GGNG: Tyr_ggn_c + 8.0 udpg_c --> ggn_c + 8.0 h_c + 8.0 udp_c
40,SK_trnahis_c: trnahis_c <=> 
41,SK_trnaglu_c: trnaglu_c <=> 
42,LPLIPAL1G141: 1agpg141_c + h2o_c --> g3pg_c + h_c + ttdcea_c
43,GLGNS1: ggn_c + 3.0 udpg_c --> glygn1_c + 3.0 h_c + 3.0 udp_c
44,PLIPA2G141: h2o_c + pg141_c --> 1agpg141_c + h_c + ttdcea_c
45,CHOPT_MYRS_MYRS_c: 12dgr140_c + cdpchol_c --> cmp_c + h_c + pc140_c
46,RHACOAR100: 3odcoa_c + h_c + nadph_c --> R_3hdcoa_c + nadp_c
47,34HPPt2m: 34hpp_c + h_c --> 34hpp_m + h_m
48,SK_trnaala_c: trnaala_c <=> 
49,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
50,SK_trnathr_c: trnathr_c <=> 
51,34HPLFM: 34hpp_m + h_m + nadh_m --> 34hpl_m + nad_m
52,SK_trnapro_c: trnapro_c <=> 
53,3HAACOAT140: 3hmrsACP_c + coa_c --> ACP_c + R_3hmrscoa_c
54,RIBFSc: 2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c
55,PHEMEtm: pheme_m <=> pheme_c
56,3HAACOAT80: 3hoctACP_c + coa_c --> ACP_c + R_3hocoa_c
57,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
58,PREPTHS: arachACP_c + 14.0 h_c + 2.0 malcoa_c + 2.0 mmcoa__S_c + 10.0 nadph_c --> 2.0 co2_c + 4.0 coa_c + 5.0 h2o_c + 10.0 nadp_c + prephthACP_c
59,LPLIPAL1G120: 1agpg120_c + h2o_c --> ddca_c + g3pg_c + h_c
60,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
61,NADK: atp_c + nad_c --> adp_c + h_c + nadp_c
62,PREPHACPH: h2o_c + prephthACP_c --> ACP_c + h_c + prephth_c
