,rxns_added
0,FTHFI_1: 5fthf_c + atp_c + h2o_c --> 10fthf_c + adp_c + pi_c
1,NADK: atp_c + nad_c --> adp_c + h_c + nadp_c
2,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
3,SK_trnaval_c: trnaval_c <=> 
4,SK_trnaphe_c: trnaphe_c <=> 
5,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
6,SK_trnaglu_c: trnaglu_c <=> 
7,HACD2: 3ohcoa_c + h_c + nadh_c --> 3hhcoa_c + nad_c
8,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
9,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
10,SK_trnapro_c: trnapro_c <=> 
11,NHFRBO: h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c
12,SK_trnaleu_c: trnaleu_c <=> 
13,SK_trnatrp_c: trnatrp_c <=> 
14,SK_trnaasp_c: trnaasp_c <=> 
15,acoa_prod2: aacoa_c --> acoa_c
16,GLBRAN: glygn1_c --> glygn2_c
17,OCTDPtmt: octdp_m <=> octdp_c
18,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
19,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
20,GLGNS1: ggn_c + 3.0 udpg_c --> glygn1_c + 3.0 h_c + 3.0 udp_c
21,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
22,UDPGtnic: atp_c + h2o_c --> adp_c + h_c + pi_c + udpg_c
23,PHEMEtm: pheme_m <=> pheme_c
24,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
25,34HPPt2m: 34hpp_c + h_c --> 34hpp_m + h_m
26,SK_trnathr_c: trnathr_c <=> 
27,GLDBRAN: dxtrn_c + h2o_c --> glc__D_c + glygn3_c
28,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
29,RIBFSc: 2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c
30,ECOAH1_1: 3hbycoa_c --> b2coa_c + h2o_c
31,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
32,SK_trnaasn_c: trnaasn_c <=> 
33,34HPLFM: 34hpp_m + h_m + nadh_m --> 34hpl_m + nad_m
34,SK_trnalys_c: trnalys_c <=> 
35,FESD2s: 2.0 4fe4s_c + 2.0 h_c + 2.0 no_c --> 2.0 3fe4s_c + 2.0 fe3_c + h2o_c + n2o_c
36,SK_trnamet_c: trnamet_c <=> 
37,SK_trnagln_c: trnagln_c <=> 
38,GGNG: Tyr_ggn_c + 8.0 udpg_c --> ggn_c + 8.0 h_c + 8.0 udp_c
39,ECOAH2_1c: h2o_c + hx2coa_c --> 3hhcoa_c
40,CO2tmt: co2_m <=> co2_c
41,HACD1_1: aacoa_c + h_c + nadh_c --> 3hbycoa_c + nad_c
42,SK_trnaarg_c: trnaarg_c <=> 
43,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
44,SK_trnaala_c: trnaala_c <=> 
45,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
46,R5PFLc: r5p_c --> db4p_c + for_c + h_c
47,SK_trnatyr_c: trnatyr_c <=> 
48,SK_trnaser_c: trnaser_c <=> 
49,SK_trnaile_c: trnaile_c <=> 
50,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
51,GLPASE2a: glygn3_c + 7.0 pi_c --> Tyr_ggn_c + 7.0 g1p_c
52,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
53,SK_trnagly_c: trnagly_c <=> 
54,ASPO3_1: asp__L_c + q8_c --> iasp_c + q8h2_c
55,SK_trnahis_c: trnahis_c <=> 
56,KAT2: 3ohcoa_c + coa_c --> accoa_c + btcoa_c
57,SK_trnacys_c: trnacys_c <=> 
58,GLPASE1: glygn2_c + 3.0 pi_c --> dxtrn_c + 3.0 g1p_c
