,rxns_added
0,CHOPT_STC_DHA_c: 12dgr180226n3_c + cdpchol_c --> cmp_c + h_c + pc180226n3_c
1,GLPASE2a: glygn3_c + 7.0 pi_c --> Tyr_ggn_c + 7.0 g1p_c
2,SK_trnaala_c: trnaala_c <=> 
3,DAGAH_STC_DHA_c: 12dgr180226n3_c + h2o_c --> crvnc_c + h_c + mag180_c
4,PLA2PC_STC_DHA_c: h2o_c + pc180226n3_c --> 1agpc180_c + crvnc_c + h_c
5,AGPATCOA_STC_MYRS_c: 1odecg3p_c + tdcoa_c --> coa_c + pa180140_c
6,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
7,RIBFSc: 2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c
8,GLDBRAN: dxtrn_c + h2o_c --> glc__D_c + glygn3_c
9,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
10,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
11,NADK: atp_c + nad_c --> adp_c + h_c + nadp_c
12,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
13,SK_trnacys_c: trnacys_c <=> 
14,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
15,GLBRAN: glygn1_c --> glygn2_c
16,SK_trnahis_c: trnahis_c <=> 
17,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
18,SK_trnaasn_c: trnaasn_c <=> 
19,DROPPRx: 25dhpp_c + h_c + nadh_c --> 25dthpp_c + nad_c
20,SK_trnaleu_c: trnaleu_c <=> 
21,SK_trnagln_c: trnagln_c <=> 
22,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
23,SK_trnalys_c: trnalys_c <=> 
24,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
25,SK_trnaphe_c: trnaphe_c <=> 
26,CHOPT_STC_MYRS_c: 12dgr180140_c + cdpchol_c --> cmp_c + h_c + pc180140_c
27,SK_trnathr_c: trnathr_c <=> 
28,ASPOcm_1: asp__L_c + fad_m --> fadh2_m + iasp_c
29,34HPLFM: 34hpp_m + h_m + nadh_m --> 34hpl_m + nad_m
30,DAGK_STC_MYRS_c: 12dgr180140_c + atp_c --> adp_c + h_c + pa180140_c
31,MTHFC_1: h2o_c + methf_c --> 10fthf_c
32,SK_trnagly_c: trnagly_c <=> 
33,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
34,PLA2PC_STC_MYRS_c: h2o_c + pc180140_c --> 1agpc180_c + h_c + ttdca_c
35,GGNG: Tyr_ggn_c + 8.0 udpg_c --> ggn_c + 8.0 h_c + 8.0 udp_c
36,PHEMEtm: pheme_m <=> pheme_c
37,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
38,GLGNS1: ggn_c + 3.0 udpg_c --> glygn1_c + 3.0 h_c + 3.0 udp_c
39,AGPATCOA_STC_PALM_c: 1odecg3p_c + pmtcoa_c --> coa_c + pa180160_c
40,R5PFLc: r5p_c --> db4p_c + for_c + h_c
41,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
42,SK_trnapro_c: trnapro_c <=> 
43,SK_trnaglu_c: trnaglu_c <=> 
44,OCTDPtmt: octdp_m <=> octdp_c
45,SK_trnaasp_c: trnaasp_c <=> 
46,GLPASE1: glygn2_c + 3.0 pi_c --> dxtrn_c + 3.0 g1p_c
47,DAGAH_STC_PALM_c: 12dgr180160_c + h2o_c --> h_c + hdca_c + mag180_c
48,SK_trnaval_c: trnaval_c <=> 
49,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
50,METHFtxc:  --> h_c + methf_c
51,34HPPt2m: 34hpp_c + h_c --> 34hpp_m + h_m
52,SK_trnaile_c: trnaile_c <=> 
53,SK_trnatrp_c: trnatrp_c <=> 
54,SK_trnatyr_c: trnatyr_c <=> 
55,UDPGtnic: atp_c + h2o_c --> adp_c + h_c + pi_c + udpg_c
56,CO2tmt: co2_m <=> co2_c
57,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
58,SK_trnaarg_c: trnaarg_c <=> 
59,SK_trnaser_c: trnaser_c <=> 
60,DAGK_STC_PALM_c: 12dgr180160_c + atp_c --> adp_c + h_c + pa180160_c
61,SK_trnamet_c: trnamet_c <=> 
