,rxns_added
0,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
1,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
2,SK_trnaala_c: trnaala_c <=> 
3,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
4,GGNG: Tyr_ggn_c + 8.0 udpg_c --> ggn_c + 8.0 h_c + 8.0 udp_c
5,SK_trnatyr_c: trnatyr_c <=> 
6,FTHFI_1: 5fthf_c + atp_c + h2o_c --> 10fthf_c + adp_c + pi_c
7,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
8,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
9,SK_trnaasp_c: trnaasp_c <=> 
10,GLDBRAN: dxtrn_c + h2o_c --> glc__D_c + glygn3_c
11,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
12,SK_trnatrp_c: trnatrp_c <=> 
13,OCTDPtmt: octdp_m <=> octdp_c
14,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
15,GLPASE2a: glygn3_c + 7.0 pi_c --> Tyr_ggn_c + 7.0 g1p_c
16,PHEMEtm: pheme_m <=> pheme_c
17,SK_trnaleu_c: trnaleu_c <=> 
18,RIBFSc: 2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c
19,SK_trnaval_c: trnaval_c <=> 
20,R5PFLc: r5p_c --> db4p_c + for_c + h_c
21,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
22,DROPPRx: 25dhpp_c + h_c + nadh_c --> 25dthpp_c + nad_c
23,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
24,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
25,GLBRAN: glygn1_c --> glygn2_c
26,SK_trnaarg_c: trnaarg_c <=> 
27,SK_trnaasn_c: trnaasn_c <=> 
28,SK_trnagln_c: trnagln_c <=> 
29,SK_trnathr_c: trnathr_c <=> 
30,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
31,GLPASE1: glygn2_c + 3.0 pi_c --> dxtrn_c + 3.0 g1p_c
32,GLGNS1: ggn_c + 3.0 udpg_c --> glygn1_c + 3.0 h_c + 3.0 udp_c
33,NADK: atp_c + nad_c --> adp_c + h_c + nadp_c
34,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
35,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
36,UDPGtnic: atp_c + h2o_c --> adp_c + h_c + pi_c + udpg_c
37,SK_trnamet_c: trnamet_c <=> 
38,SK_trnagly_c: trnagly_c <=> 
39,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
40,SK_trnalys_c: trnalys_c <=> 
41,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
42,SK_trnaile_c: trnaile_c <=> 
43,ASPO2y: asp__L_c + nadp_c --> 2.0 h_c + iasp_c + nadph_c
44,SK_trnapro_c: trnapro_c <=> 
45,SK_trnaglu_c: trnaglu_c <=> 
46,SK_trnaphe_c: trnaphe_c <=> 
47,SK_trnaser_c: trnaser_c <=> 
48,CO2tmt: co2_m <=> co2_c
49,SK_trnahis_c: trnahis_c <=> 
50,SK_trnacys_c: trnacys_c <=> 
