,rxns_added
0,PCLAD: cmusa_c + h_c --> am6sa_c + co2_c
1,NAt5: na1_c + nh4_e --> na1_e + nh4_c
2,3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c
3,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
4,LYSLYSLYSr: 2.0 h2o_c + lyslyslys_c --> 3.0 lys__L_c
5,LYSTYRILEr: 2.0 h2o_c + lystyrile_c --> ile__L_c + lys__L_c + tyr__L_c
6,GMPt6: gmp_e + h_e --> gmp_c + h_c
7,ACOADH2: 2.0 ibcoa_c + o2_c --> 2.0 2mp2coa_c + 2.0 h2o_c
8,GLS2: glucan6_c + 5.0 h2o_c --> 6.0 glc__D_c
9,GLS2e: glucan1500_e + 249.0 h2o_e --> 250.0 glucan6_e
10,THRASNTYRr: 2.0 h2o_c + thrasntyr_c --> asn__L_c + thr__L_c + tyr__L_c
11,HBtr: hb_e --> hb_c
12,MCITLmc: 2mcit_c --> pyr_c + succ_c
13,HIBHc: 3hibutcoa_c + h2o_c --> 3hib_c + coa_c + h_c
14,FBA: fdp_c <=> dhap_c + g3p_c
15,HMNOc: 3hib_c + nad_c --> h_c + mmtsa_c + nadh_c
16,AM6SAD: am6sa_c + h2o_c + nad_c --> amuco_c + 2.0 h_c + nadh_c
17,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
18,LAAL15: ala__L_c + atp_c + leu__L_c --> adp_c + ala_L_leu__L_c + h_c + pi_c
19,ILEARGILEt: h_e + ileargile_e --> h_c + ileargile_c
20,EX_lyslyslys_e: lyslyslys_e <=> 
21,LYSPHEILEt: h_e + lyspheile_e --> h_c + lyspheile_c
22,THRASNTYRt: h_e + thrasntyr_e --> h_c + thrasntyr_c
23,ILEARGILEr: 2.0 h2o_c + ileargile_c --> arg__L_c + 2.0 ile__L_c
24,ILEASNHISt: h_e + ileasnhis_e --> h_c + ileasnhis_c
25,AMCOXO: amuco_c + h2o_c + h_c + nadph_c --> 2oxoadp_c + nadp_c + nh4_c
26,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
27,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
28,ACOAR7mc: h_c + hdd2coa_c + nadph_c --> nadp_c + pmtcoa_c
29,EX_hb_e: hb_e <=> 
30,LYSPHEILEr: 2.0 h2o_c + lyspheile_c --> ile__L_c + lys__L_c + phe__L_c
31,TRPO2: o2_c + trp__L_c --> Lfmkynr_c
32,GTHOXti: gthox_e --> gthox_c
33,HISD_c: 3.0 h2o_c + his__L_c --> frmd_c + glu__L_c + nh4_c
