,rxns_added
0,EX_lyslyslys_e: lyslyslys_e <=> 
1,ILEARGILEt: h_e + ileargile_e --> h_c + ileargile_c
2,SK_trnaser_c: trnaser_c <=> 
3,lipid5: pe_c <=> pe120_c + pe140_c + pe141_c + pe160_c + pe161_c + pe180_c + pe181_c
4,KYN3OX: Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c
5,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
6,G3PAT140_c: glyc3p_c + tdcoa_c --> 1tdecg3p_c + coa_c
7,LPLIPAL1E141: 1agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c
8,SK_trnagln_c: trnagln_c <=> 
9,acoa_prod7: hxcoa_c --> acoa_c
10,SK_trnalys_c: trnalys_c <=> 
11,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
12,EX_lystyrile_e: lystyrile_e <=> 
13,GTHOXti: gthox_e --> gthox_c
14,FKYNH: Lfmkynr_c + h2o_c --> Lkynr_c + for_c + h_c
15,DAGAH_DHA_DHA_c: 12dgr226n3_c + h2o_c --> crvnc_c + h_c + mag226n3_c
16,PLDPE_MYRS_MYRS_c: h2o_c + pe140_c --> etha_c + h_c + pa140_c
17,ACOAR7mc: h_c + hdd2coa_c + nadph_c --> nadp_c + pmtcoa_c
18,HISD_c: 3.0 h2o_c + his__L_c --> frmd_c + glu__L_c + nh4_c
19,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
20,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
21,G3PT: glyc3p_c + h2o_c --> glyc_c + pi_c
22,EX_lyspheile_e: lyspheile_e <=> 
23,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
24,ETHAPT_DHA_DHA_c: 12dgr226n3_c + cdpea_c --> cmp_c + h_c + pe226n3_c
25,ps_prod6: ps180_c --> all_ps_c
26,EX_thmmp_e: thmmp_e <=> 
27,QUILSYN: cmusa_c --> h2o_c + h_c + quln_c
28,EX_thrthrarg_e: thrthrarg_e <=> 
29,SK_trnaile_c: trnaile_c <=> 
30,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
31,EX_ileargile_e: ileargile_e <=> 
32,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
33,ETHAPT: cdpea_c + 0.01 dag_c <=> cmp_c + h_c + 0.01 pe_c
34,SK_trnacys_c: trnacys_c <=> 
35,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
36,CBPAH: Ncbmpts_c + 2.0 h2o_c + 2.0 h_c --> hco3_c + nh4_c + ptrc_c
37,P5CDm: 1pyr5c_m + 2.0 h2o_m + nad_m --> glu__L_m + h_m + nadh_m
38,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
39,RTOT2_cho: R2coa_cho_c --> Rtotalcoa_c
40,HIBHr: h2o_c + hibcoa_c --> 3hmp_c + coa_c + 2.0 h_c
41,FACOAE120: ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c
42,SK_trnaphe_c: trnaphe_c <=> 
43,CITACt: ac_c + cit_e --> ac_e + cit_c
44,ARTFR213_cho: c226coa_c + 0.375 coa_m + 3.0 fadh2_m + 3.0 h_m + 3.0 nadph_m --> 1.375 R2coa_cho_c + 3.0 fad_m + 3.0 nadp_m
45,SK_trnaala_c: trnaala_c <=> 
46,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
47,THRTHRARGr: 2.0 h2o_c + thrthrarg_c --> arg__L_c + 2.0 thr__L_c
48,SK_trnathr_c: trnathr_c <=> 
49,HMGLB: 2.0 h_c + hb_c --> 36.0 ala__L_c + 6.0 arg__L_c + 10.0 asn__L_c + 15.0 asp__L_c + 3.0 cys__L_c + 4.0 gln__L_c + 12.0 glu__L_c + 20.0 gly_c + h2o2_c + 19.0 his__L_c + 36.0 leu__L_c + 22.0 lys__L_c + 5.0 met__L_c + 15.0 phe__L_c + pheme_fv + 14.0 pro__L_c + 16.0 ser__L_c + 16.0 thr__L_c + 3.0 trp__L_c + 6.0 tyr__L_c + 31.0 val__L_c
50,NTRIR3ppc: 2.0 h_e + no2_e + 3.0 q8h2_c --> 2.0 h2o_e + nh4_e + 3.0 q8_c
51,FADDP: fad_c + h2o_c --> amp_c + fmn_c + 2.0 h_c
52,GLBRAN: glygn1_c --> glygn2_c
53,VALTA: akg_c + val__L_c <=> 3mob_c + glu__L_c
54,MMSAD1: 2mop_c + coa_c + nad_c --> co2_c + nadh_c + ppcoa_c
55,PRO1xm: nad_m + pro__L_m --> 1pyr5c_m + 2.0 h_m + nadh_m
56,DAGK141: 12dgr141_c + atp_c --> adp_c + h_c + pa141_c
57,SK_trnaasp_c: trnaasp_c <=> 
58,ACITL: atp_c + cit_c + coa_c --> accoa_c + adp_c + oaa_c + pi_c
59,SK_trnaarg_c: trnaarg_c <=> 
60,METHFtxc:  --> h_c + methf_c
61,LYSLYSLYSr: 2.0 h2o_c + lyslyslys_c --> 3.0 lys__L_c
62,PSD180: h_c + ps180_c --> co2_c + pe180_c
63,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
64,HCO3E: co2_c + h2o_c --> h_c + hco3_c
65,MCITLmc: 2mcit_c --> pyr_c + succ_c
66,LYSPHEILEr: 2.0 h2o_c + lyspheile_c --> ile__L_c + lys__L_c + phe__L_c
67,OCTDPtmt: octdp_m <=> octdp_c
68,PSD140: h_c + ps140_c --> co2_c + pe140_c
69,HIBD: 3hmp_c + nad_c --> 2mop_c + h_c + nadh_c
70,PLDPE_STC_STC_c: h2o_c + pe180_c --> etha_c + h_c + pa180_c
71,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
72,ILEARGILEr: 2.0 h2o_c + ileargile_c --> arg__L_c + 2.0 ile__L_c
