,rxns_added
0,PUNP1: adn_c + pi_c <=> ade_c + r1p_c
1,MI1PP: h2o_c + mi1p__D_c --> inost_c + pi_c
2,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
3,PRO1xm: nad_m + pro__L_m --> 1pyr5c_m + 2.0 h_m + nadh_m
4,KYN3OX: Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c
5,SK_trnaphe_c: trnaphe_c <=> 
6,SK_trnathr_c: trnathr_c <=> 
7,GLPASE1: glygn2_c + 3.0 pi_c --> dxtrn_c + 3.0 g1p_c
8,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
9,EX_ileargile_e: ileargile_e <=> 
10,LPLIPAL1E141: 1agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c
11,Hfv: pheme_fv --> pheme_c
12,EX_ptd1ino_e: ptd1ino_e <=> 
13,AMCOXO: amuco_c + h2o_c + h_c + nadph_c --> 2oxoadp_c + nadp_c + nh4_c
14,SK_trnamet_c: trnamet_c <=> 
15,EX_pail_e: pail_e <=> 
16,HIBHr: h2o_c + hibcoa_c --> 3hmp_c + coa_c + 2.0 h_c
17,PPCOAtm: ppcoa_c --> ppcoa_m
18,SK_trnaile_c: trnaile_c <=> 
19,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
20,TRPO2: o2_c + trp__L_c --> Lfmkynr_c
21,FADDP: fad_c + h2o_c --> amp_c + fmn_c + 2.0 h_c
22,LYSTYRILEt: h_e + lystyrile_e --> h_c + lystyrile_c
23,GLGNS1: ggn_c + 3.0 udpg_c --> glygn1_c + 3.0 h_c + 3.0 udp_c
24,SK_trnacys_c: trnacys_c <=> 
25,PHEMEtm: pheme_m <=> pheme_c
26,MCITLmc: 2mcit_c --> pyr_c + succ_c
27,PAPA161: h2o_c + pa161_c --> 12dgr161_c + pi_c
28,3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c
29,FBA: fdp_c <=> dhap_c + g3p_c
30,VALTA: akg_c + val__L_c <=> 3mob_c + glu__L_c
31,PTRCtex2: ptrc_c --> ptrc_e
32,34HPLFM: 34hpp_m + h_m + nadh_m --> 34hpl_m + nad_m
33,PSD140: h_c + ps140_c --> co2_c + pe140_c
34,EX_lystyrile_e: lystyrile_e <=> 
35,PCLAD: cmusa_c + h_c --> am6sa_c + co2_c
36,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
37,r1923: arg__L_c + gln__L_e + na1_e --> arg__L_e + gln__L_c + na1_c
38,EX_thrthrarg_e: thrthrarg_e <=> 
39,CITL: cit_c --> ac_c + oaa_c
40,SK_trnagln_c: trnagln_c <=> 
41,DADNK: atp_c + dad_2_c --> adp_c + damp_c + h_c
42,PGMfc: 3pg_c --> 2pg_c
43,HMGLB: 2.0 h_c + hb_c --> 36.0 ala__L_c + 6.0 arg__L_c + 10.0 asn__L_c + 15.0 asp__L_c + 3.0 cys__L_c + 4.0 gln__L_c + 12.0 glu__L_c + 20.0 gly_c + h2o2_c + 19.0 his__L_c + 36.0 leu__L_c + 22.0 lys__L_c + 5.0 met__L_c + 15.0 phe__L_c + pheme_fv + 14.0 pro__L_c + 16.0 ser__L_c + 16.0 thr__L_c + 3.0 trp__L_c + 6.0 tyr__L_c + 31.0 val__L_c
44,ILEARGILEr: 2.0 h2o_c + ileargile_c --> arg__L_c + 2.0 ile__L_c
45,LYSLYSLYSr: 2.0 h2o_c + lyslyslys_c --> 3.0 lys__L_c
46,SK_trnaarg_c: trnaarg_c <=> 
47,UDPGtnic: atp_c + h2o_c --> adp_c + h_c + pi_c + udpg_c
48,ALCD3ir: h_c + nadh_c + ppal_c --> nad_c + ppoh_c
49,12PPDRDH: 12ppd__R_c --> h2o_c + ppal_c
50,NTRIR3ppc: 2.0 h_e + no2_e + 3.0 q8h2_c --> 2.0 h2o_e + nh4_e + 3.0 q8_c
