,rxns_added
0,PIP4K_EPA_EPA_c: atp_c + pail205n3_c --> adp_c + h_c + pail4p205n3_c
1,FACOAE60: h2o_c + hxcoa_c --> coa_c + h_c + hxa_c
2,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
3,HMGLB: 2.0 h_c + hb_c --> 36.0 ala__L_c + 6.0 arg__L_c + 10.0 asn__L_c + 15.0 asp__L_c + 3.0 cys__L_c + 4.0 gln__L_c + 12.0 glu__L_c + 20.0 gly_c + h2o2_c + 19.0 his__L_c + 36.0 leu__L_c + 22.0 lys__L_c + 5.0 met__L_c + 15.0 phe__L_c + pheme_fv + 14.0 pro__L_c + 16.0 ser__L_c + 16.0 thr__L_c + 3.0 trp__L_c + 6.0 tyr__L_c + 31.0 val__L_c
4,GMPt6: gmp_e + h_e --> gmp_c + h_c
5,METMETILEr: 2.0 h2o_c + metmetile_c --> ile__L_c + 2.0 met__L_c
6,PYR5CDmc: glu5sa_c + h2o_c + nadp_c --> glu__L_c + 2.0 h_c + nadph_c
7,ILEARGILEr: 2.0 h2o_c + ileargile_c --> arg__L_c + 2.0 ile__L_c
8,DIPEPabc6c: ala_L_leu__L_c + atp_c + h2o_c --> adp_c + h_c + pi_c
9,LPLIPAL1E141: 1agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c
10,PLDPE_EPA_LNA_c: h2o_c + pe205n3182n6_c --> etha_c + h_c + pa205n3182n6_c
11,CHOPT_OLE_HDE_c: 12dgr1819Z1619Z_c + cdpchol_c --> cmp_c + h_c + pc1819Z1619Z_c
12,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
13,PCD5DS_LNA_EPA_sn2_c: 2.0 ficytb5_c + 2.0 nadh_c + o2_c + pc182n6203n3_c --> 2.0 focytb5_c + 2.0 h2o_c + 2.0 nad_c + pc182n6205n3_c
14,EX_hb_e: hb_e <=> 
15,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
16,HCO3E: co2_c + h2o_c --> h_c + hco3_c
17,PIP3P_LNA_LNA_c: h2o_c + pail3p182_9_12_c --> pail182_9_12_c + pi_c
18,PI4P5K_HDE_LNA_c: atp_c + pail4p1619Z182n6_c --> adp_c + h_c + pail45p1619Z182n6_c
19,CHOLtu: chol_e <=> chol_c
20,ACP1_FMN: fmn_c + h2o_c --> pi_c + ribflv_c
21,PIP4K_EPA_LNA_c: atp_c + pail205n3182n6_c --> adp_c + h_c + pail4p205n3182n6_c
22,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
23,ALALYSTHRt: alalysthr_e + h_e --> alalysthr_c + h_c
24,pail_uptake: pail_e <=> pail_c
25,EX_sprm_e: sprm_e <=> 
26,EX_metmetile_e: metmetile_e <=> 
27,PIP3K_HDE_LNA_c: atp_c + pail1619Z182n6_c --> adp_c + h_c + pail3p1619Z182n6_c
28,ASAPTc: 5mta_c + h_c + sprm_c --> ametam_c + spmd_c
29,TRPO2: o2_c + trp__L_c --> Lfmkynr_c
30,AKO: akg_c + fad_c + h2o_c --> co2_c + fadh2_c + succ_c
31,PGPPT_cho: cdpdag_cho_c + glyc3p_c --> cmp_c + h_c + pgp_cho_c
32,ARTCOAL2: Rtotal2_c + coa_c --> Rtotal2coa_c
33,CEPTC_cho: cdpchol_c + dag_cho_c --> cmp_c + h_c + pchol_cho_c
34,SK_trnatyr_c: trnatyr_c <=> 
35,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
36,LPCAT_EPA_ALNA_sn2_c: 1agpc205_c + lnlncacoa_c --> coa_c + pc205n3183n3_c
37,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
38,LYSTYRILEr: 2.0 h2o_c + lystyrile_c --> ile__L_c + lys__L_c + tyr__L_c
39,CHOPT_EPA_EPA_c: 12dgr205n3_c + cdpchol_c --> cmp_c + h_c + pc205n3_c
40,3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c
41,SK_trnagln_c: trnagln_c <=> 
42,METMETILEt: h_e + metmetile_e --> h_c + metmetile_c
43,lipid10: pe_e <=> pe120_e + pe140_e + pe141_e + pe160_e + pe161_e + pe180_e + pe181_e
44,RTOT2_cho: R2coa_cho_c --> Rtotalcoa_c
45,EX_ileargile_e: ileargile_e <=> 
46,PGLc: 3.0 6pgl_c + 3.0 h2o_c --> 3.0 6pgc_c + 3.0 h_c
47,PCD6DS_HDE_GLNA_sn2_c: 2.0 ficytb5_c + 2.0 nadh_c + o2_c + pc1619Z182n6_c --> 2.0 focytb5_c + 2.0 h2o_c + 2.0 nad_c + pc1619Z183n6_c
48,r0398: dhbpt_c + h_c + nadph_c --> nadp_c + thbpt_c
49,PLDPC_EPA_LNA_c: h2o_c + pc205n3182n6_c --> chol_c + h_c + pa205n3182n6_c
50,SK_trnaile_c: trnaile_c <=> 
51,PLIPA2E120: h2o_c + pe120_c --> 1agpe120_c + ddca_c + h_c
52,LPEAT_STC_EPA_sn2_c: 1agpe180_c + tmndnccoa_c --> coa_c + pe180205n3_c
53,ARTFR42_cho: 0.125 coa_m + fadh2_m + odecoa_c --> 1.125 R4coa_cho_c + fad_m
54,LPCAT_OLE_ALNA_sn2_c: 1agpc181_c + lnlncacoa_c --> coa_c + pc1819Z183n3_c
55,GLDBRAN: dxtrn_c + h2o_c --> glc__D_c + glygn3_c
56,KYN3OX: Lkynr_c + h_c + nadph_c + o2_c --> h2o_c + hLkynr_c + nadp_c
57,LPCAT_EPA_EPA_sn2_c: 1agpc205_c + tmndnccoa_c --> coa_c + pc205n3_c
58,PLA2PC_STC_OLE_c: h2o_c + pc1801819Z_c --> 1agpc180_c + h_c + ocdcea_c
59,LPCAT_HDE_GLNA_sn2_c: 1agpc161_c + lnlncgcoa_c --> coa_c + pc1619Z183n6_c
60,PLDPC_OLE_ALNA_c: h2o_c + pc1819Z183n3_c --> chol_c + h_c + pa1819Z183n3_c
61,PAPA_STC_ARA_c: h2o_c + pa180204n6_c --> 12dgr180204n6_c + pi_c
62,PLDPE_EPA_EPA_c: h2o_c + pe205n3_c --> etha_c + h_c + pa205n3_c
63,TMPK: atp_c + thmmp_c --> adp_c + thmpp_c
64,lipid5: pe_c <=> pe120_c + pe140_c + pe141_c + pe160_c + pe161_c + pe180_c + pe181_c
65,SK_trnagly_c: trnagly_c <=> 
66,PLDPC_LNA_LNA_c: h2o_c + pc182_9_12_c --> chol_c + h_c + pa182_9_12_c
67,PIPLC: h2o_c + pail_c --> dag_c + h_c + mi1p__D_c
68,SK_trnaser_c: trnaser_c <=> 
69,PCW3DS_LNA_EPA_sn2_c: 2.0 ficytb5_c + 2.0 nadh_c + o2_c + pc182n6204n6_c --> 2.0 focytb5_c + 2.0 h2o_c + 2.0 nad_c + pc182n6205n3_c
70,PLDAGAT_HDE_PALM_LNA_PE_15_c: 12dgr1619Z160_c + pe205n3182n6_c --> 1agpe205_c + tag1619Z160182n6_c
71,GLPASE1: glygn2_c + 3.0 pi_c --> dxtrn_c + 3.0 g1p_c
72,MMTSAO: coa_c + mmtsa_c + nad_c --> co2_c + nadh_c + ppcoa_c
73,CDIPTr_cho: cdpdag_cho_c + inost_c --> cmp_c + h_c + pail_cho_c
74,PI4P5K_EPA_PALM_c: atp_c + pail4p205n3160_c --> adp_c + h_c + pail45p205n3160_c
75,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
76,DMBZIDS: ribflv_c --> dmbzid_c
77,PLDPC_HDE_LNA_c: h2o_c + pc1619Z182n6_c --> chol_c + h_c + pa1619Z182n6_c
78,PAPA_EPA_PALM_c: h2o_c + pa205n3160_c --> 12dgr205n3160_c + pi_c
79,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
