,rxns_added
0,SHKK
1,6PGTt_h
2,GPDDA3
3,XMPtr
4,APH140
5,DHQS
6,SK_trnagln_c
7,ASADH
8,UM4PL
9,IPDPth
10,ADPHt_h
11,SK_trnaphe_c
12,ALAR
13,SK_trnaval_c
14,UAMAGS
15,NH4th
16,ACP1_FMN
17,SK_trnacys_c
18,GLUS
19,DHDPRy
20,FTHFLi
21,SK_trnaleu_c
22,UAMAS
23,NADHth
24,GALh
25,IMPtr
26,4HBZtm
27,SK_trnatrp_c
28,SK_trnaser_c
29,3PEPTabcppc
30,NDH2_syn
31,EX_imp_e
32,SK_trnaarg_c
33,PHEMEtm
34,SK_trnaglu_c
35,ACth
36,ACALDh
37,SK_trnathr_c
38,4PEPTabcppc
39,HBZOPTm
40,FADDP
41,SK_trnaala_c
42,THRNA1th
43,SK_trnalys_c
44,NADPtu
45,GLUR
46,OPHHXm
47,CYO1b2_syn
48,THRA_1
49,ATPSh
50,GRDPth
51,SK_trnamet_c
52,FTHFI_1
53,GGDPtu
54,DDPA
55,CBFC_u
56,GGPS_h
57,SK_trnagly_c
58,ASPSAth
59,ASPK_1
60,SK_trnapro_c
61,UM3PL
62,SK_trnaile_c
63,NDH1_2u
64,FPPS_h
65,EX_LalaDgluMdap_e
66,DAPDH
67,ACS_h
68,TMDPK
69,SK_trnaasn_c
70,CYSDO
71,PGLh
72,AATG
73,OCTDPtmt
74,OPHBDCm
75,ACCOAC_h
76,SK_trnatyr_c
77,SK_trnahis_c
78,APG3PAT140
79,ASPth
80,SK_trnaasp_c
81,DHDPS
82,ATAMh
83,HCO3_h_thi
84,G6PB_pi_th
85,UAAGDS
86,UM4PCP
87,GLYNA1th
88,G6PBDHh
89,EX_xmp_e
90,AMPt6
