,rxns_added
0,PLA2PA_EPA_EPA_c
1,LPLIPAL2G180
2,AATA
3,DCATDc
4,CHOPT_HDE_EPA_c
5,PGCD
6,EX_ileasnhis_e
7,DAGAH_OLE_HDE_c
8,CHOPT_DHA_STC_c
9,PCD6DS_DHA_STA_sn2_c
10,PLDAGAT_PALM_EPA_EPA_PC_5_c
11,PAPA_PALM_STC_c
12,DAGK181
13,AHCYSte
14,HXAt
15,3HAO
16,ETHAPT_PALM_OLE_c
17,CHOPT_PALM_PALM_c
18,ARTCOAL1
19,LYSLYSLYSr
20,PAPA161
21,PLDAGAT_OLE_PALM_PALM_PC_5_c
22,HMR_3426
23,PLDAGAT_LNA_EPA_LNA_PC_6_c
24,PLDAGAT_MYRS_EPA_EPA_PE_16_c
25,TRPO2
26,ETHAPT_MYRS_MYRS_c
27,AASAD2
28,HKYNH
29,FACOAE80
30,LPEAT_HDE_LNA_sn2_c
31,PLA2PC_STC_LNA_c
32,AM6SAD
33,HMR_3427
34,KYN3OX
35,GLYO1
36,NADPt2_c
37,ACOADAGAT_LNA_EPA_GLNA_c
38,ILEASNHISr
39,PCD6DS_EPA_GLNA_sn2_c
40,HACOADr
41,PAPA120
42,PLDAGAT_HDE_PALM_LNA_PC_8_c
43,PETHTMT_c
44,DAGAH_LNA_LNA_c
45,PETHDMT_c
46,PLDAGAT_HDE_MYRS_LNA_PE_16_c
47,EHGLAT
48,HMR_0410
49,PLDPC_DHA_LNA_c
50,PLDAGAT_HDE_ARA_ARA_PC_3_c
51,PCD12DS_LNA_PALM_sn1_c
52,EX_lystyrile_e
53,CHLP
54,ETHAPT_HDE_DHA_c
55,ACChex
56,ACOADH2
57,LPCAT_DHA_ALNA_sn2_c
58,VALDHr
59,PLDAGAT_MYRS_EPA_HDE_PC_2_c
60,EX_hislysile_e
61,CTBTt2rpp
62,RE0576C
63,PSERT
64,ARTPLM1
65,r1602
66,LPEAT_PALM_STC_sn2_c
67,ARGSERSERr
68,HISLYSILEt
