,rxns_added
0,LYSLYSLYSr
1,CITACt
2,SDOOR_c
3,SMSnhs
4,EX_ileargile_e
5,LYSPHEILEt
6,FACOAL240pc
7,SULR_1
8,PTRCtex2
9,H2Ot
10,PYDXO
11,CHOLtu
12,NADDP
13,SMPD4nhs
14,IPCS124_SC
15,AASAD2
16,AGPATCOA_HDE_HDE_c
17,FKYNH
18,LPLIPAL2G180
19,ASNTYRTHRt
20,ACOADH2
21,DAGPYP_SC
22,ARTCOAL1
23,CBPAH
24,VALDHr
25,PRPPP
26,CEPTCnhs
27,EX_asntyrthr_e
28,FACOAE160
29,GPDDA4
30,HCO3E
31,NMNP
32,PLIPA2A141
33,HMR_4079
34,ARTPLM1
35,AMCOXO
36,3HAO
37,HDCEAt
38,PGCD
39,EX_gluside_hs_e
40,NTRIR3ppc
41,FACOAE140
42,PSP_L
43,AATA
44,CERS124
45,HIBHc
46,MCITLmc
47,DKMPPD2
48,SPHPL
49,ILEARGILEr
50,HISD_c
51,NAt5
52,FA80ACPHi
53,HKYNH
54,KYN3OX
55,SACCD1
56,AKO
57,GMPR
58,PLD_SC
59,ILEARGILEt
60,LYSPHEILEr
61,NH4t
62,r0786
63,NADPPPS
64,SPHK21c
65,CHSTEROLt3
66,ASPTA6
67,R1PK
68,CHLP
69,LPLIPAL1A141
70,EX_lyspheile_e
71,NMNt7
72,ECOAH12
73,LYSTYRILEt
74,CHSTEROLt2
75,GBA2enhs
76,SACCD2
77,GMPt6
78,r1711
79,HMNOc
80,LYSTYRILEr
81,ALDD22x
82,HMGLB
83,PCLAD
84,CRMtenhs
85,LYSLYSLYSt
86,CYSLY3
87,SPHMDAcnhs
88,G3PT
89,r1457
90,MDRPD
91,NNDPR
92,TRPO2
93,MTAP
94,FACOAE60
95,EX_lyslyslys_e
96,LPLIPAL2G160
97,PDYXPT_c
98,FA100ACPHi
99,AGDI_1
100,AM6SAD
101,ASNTYRTHRr
102,EX_lystyrile_e
103,POLYAO3
104,CITL
105,MIP2CS324_SC
106,PSERT
107,QUILSYN
108,FACOAE180
109,HXAt
110,SLCBK1
111,MMTSAO
112,PETHMT_c
