,rxns_added
0,SK_trdrd_c
1,EX_ileargile_e
2,LYSPHEILEt
3,SULR_1
4,PLDAGAT_PALM_EPA_LNA_PE_14_c
5,ACP1819ZD9DS_h
6,CHOPT_MYRS_OLE_c
7,34HPLFM
8,MAGAH140_c
9,HACOADr
10,DAGAH_OLE_DHA_c
11,ELO5DPA_c
12,FACOAE120
13,DAGAH_STC_DHA_c
14,GPDDA4
15,CHOPT_HDE_OLE_c
16,HMR_2495
17,LPLIPAL2ATE161
18,G3PAT181_1
19,GPPSh
20,T4HCINNMFM
21,SO4tl
22,CLPNS160
23,AACPDAGAT_HDE_HDE_PALM_h
24,HBZOPTm
25,AGPATCOA_HDE_MYRS_c
26,NTRIR3ppc
27,DAGAH_OLE_LNA_c
28,SK_trnagly_c
29,DAGK_STC_GLNA_c
30,SK_trnamet_c
31,CHOPT_STC_STC_c
32,3HAD220_c
33,LPEAT_OLE_STC_sn2_c
34,MALSm
35,FACOAE80
36,LPEAT_PALM_EPA_sn2_c
37,SACCD1
38,GMPR
39,EX_ptd1ino_e
40,LYSPHEILEr
41,DAGAH18111Z18111Z
42,HMR_2368
43,DAGAH_PALM_STC_c
44,ETHAPT_STC_LNA_c
45,SAT
46,34HPPt2m
47,PAPA_DHA_ALNA_c
48,PLIPA2E120
49,DAGAH_MYRS_HDE_c
50,LPCAT_HDE_OLE_sn2_c
51,MI1PP
52,PCD12DS_HDE_LNA_sn2_c
53,FACOAE141
54,EX_lyspheile_e
55,PLDAGAT_HDE_MYRS_LNA_PC_2_c
56,CLPNH160
57,ATP2t_m
58,DGDGS_EPA_HDTE_h
59,3OAS240_c
60,DAGAH18111Z1819Z
61,DAGK_LNA_HDE_c
62,ETHAPT_PALM_EPA_c
63,LPEAT_DHA_ALNA_sn2_c
64,SK_trnatyr_c
65,ETHAPT_DHA_EPA_c
66,PETHDMT_c
67,H2O2t
68,GTHRDH_syn
69,G3PT
70,RE0579C_1
71,FCI
72,EX_fadh2_c
73,MAGAH1829Z12Z_c
74,AHHST
75,EX_lyslyslys_e
76,SK_trnaala_c
77,NO2R
78,SK_trnaser_c
79,LPLIPAL1E141
80,GGGT_EPA_HDTE_5_h
81,CITL
82,OMMBLHX6mc
83,CHOPT_DHA_HDE_c
84,GLPASE2a
85,SK_trnatrp_c
86,QUILSYN
87,DAGAH_OLE_PALM_c
88,ETHAPT_LNA_LNA_c
89,ACP1_FMN
90,LPEAT_MYRS_ALNA_sn2_c
91,PEDS1801829Z12Z
92,FACOAL240pc
93,FADDP
94,DGDGS1819Z160
95,LPEAT_STC_ALNA_sn2_c
96,PLDAGAT_LNA_EPA_LNA_PC_1_c
97,PFLACTm
98,PLDAGAT_MYRS_EPA_LNA_PC_6_c
99,SUCOAACTr
100,PAPA_OLE_GLNA_c
101,ACOADH2
102,SK_trnaasp_c
103,LPCAT_EPA_EPA_sn2_c
104,4HBZCOAFm
105,DGDGS_HDE_HDE_h
106,PAPA1819Z1819Z
107,HCO3E
108,PLA2PE_PALM_PALM_c
109,DAGAH_STC_HDE_c
110,PGLc
111,PIPLC
112,AMCOXO
113,FE3Ri
114,2HPMMBQMOmc
115,LPEAT_LNA_STC_sn2_c
116,CHOPT_DHA_EPA_c
117,AATA
118,SK_trnagln_c
119,DHAP_pi_thr
120,ETHAPT_OLE_STC_c
121,CHOPT_MYRS_HDE_c
122,GTHPe
123,ILEARGILEr
124,HISD_c
125,ASPtmt
126,CBL
127,CHOPT_STC_EPA_c
128,PCW3DS_HDE_EPA_sn2_c
129,PLA2PC_OLE_ALNA_c
130,PLDPC_STC_ALNA_c
131,PAPA_LNA_ALNA_c
132,THMMPt4_1
133,IDIh
134,PLA2PC_MYRS_HDE_c
135,KYN3OX
136,MMSDHir
137,MALTt1r
138,ACOAR3mc
139,KAT5
140,NH4t
141,O2tm
142,PLDAGAT_LNA_EPA_ARA_PC_8_c
143,FCLK
144,GLBRAN
145,DDPGAm
146,SERth
147,GGGT_OLE_HDDE_4_h
148,ETHAPT_LNA_DHA_c
149,FA180ACPHi
150,DAGAH_STC_GLNA_c
151,ACHMSSELCYSLh
152,RTOT_2nhs
153,PLIPA2E141
154,MALS
155,LYSTYRILEt
156,HACD3i
157,MAGAH1619Z_c
158,ETHAPT_OLE_HDE_c
159,LPCAT_OLE_STC_sn2_c
160,LPCH180_sn1_c
161,PCD6DS_STC_GLNA_sn2_c
162,SACCD2
163,PLDAGAT_LNA_EPA_ARA_PC_3_c
164,PCW3DS_OLE_ALNA_sn2_c
165,PAPA181_1
166,PCLAD
167,SK_trnalys_c
168,PLDAGAT_HDE_MYRS_LNA_PC_6_c
