,rxns_added
0,SO4tl
1,SK_trnathr_c
2,R15BPK
3,RE3218C
4,MCOATA_1
5,CYO1b2_syn
6,CBFC_u
7,G3PAT1619Z_h
8,ACP1_FMN
9,r0579
10,SK_trnaasp_c
11,ATNS
12,SK_trnaasn_c
13,AGPAT18111Z160h
14,STARCH300DEGRA
15,PAPtm
16,gdp_t
17,4HBZFm
18,T4HCINNMFM
19,SK_trnaphe_c
20,COA5tap
21,ACCOAC_h
22,PYK_ap2
23,ACCOAth
24,SK_trnaglu_c
25,NADPHtu
26,PYK_ap
27,HMBS_ap
28,G3PAT181h
29,SK_trnagly_c
30,HBZOPTm
31,SK_trnaala_c
32,OPHBDCm
33,GLUS_ferr
34,SK_trnahis_c
35,ATPS_h
36,ATNS_nh4
37,SK_trnacys_c
38,OCTDPtmt
39,PEPPItap
40,SK_trnagln_c
41,3OAS180_h
42,4HBZCOAFm
43,SK_trnalys_c
44,FACOAL180t2pp_ap
45,GLYC3Pth
46,ANXANOR
47,r0973
48,H2Otu_syn
49,COA3tap
50,GALh
51,SK_trnaleu_c
52,ACP1619ZD9DS
53,GLUS_nadph
54,SK_trnaval_c
55,SK_trnaarg_c
56,CPPPG3tap
57,ARGDh
58,AGPATACP_HDE_HDE_h
59,SK_trnaile_c
60,OPHHXm
61,PHEMEtm
62,COUCOAFm
63,NH4tap
64,GLU4ABUTthi
65,NDH1_2u
66,SK_trnatrp_c
67,SK_trnaser_c
68,gtp_t
69,SK_trnapro_c
70,HCO3_h_thi
71,SK_trnamet_c
72,ACCOAC_ap
73,EX_dxtrn_e
74,SK_trnatyr_c
