,rxns_added
0,PNTOt2
1,SK_trnaile_c
2,SK_trnapro_c
3,OPHHXm
4,PHEMEtm
5,3SALACBOXL
6,NADPtap
7,H2Otap
8,PREN
9,GTPtmt
10,3HAD100_ap
11,PULLe
12,SK_trnaval_c
13,EX_pullulan1200_e
14,SK_trnamet_c
15,SK_trnatrp_c
16,PIP3P_LNA_EPA_c
17,PLDAGAT_MYRS_EPA_DHA_PC_4_c
18,3OAR120_ap
19,CDS_cho
20,CYSO
21,3HAD80_ap
22,SK_trnacys_c
23,DM_ficytb5_c
24,PIP5P_LNA_EPA_c
25,SK_trnahis_c
26,SK_trnaleu_c
27,AMMQT7
28,PIK3nnhs
29,EAR80x_ap
30,CYSAMO
31,SK_trnaphe_c
32,SK_trnaglu_c
33,PI34P5Kn_cho
34,PLDPC_STC_DHA_c
35,RE2514N
36,LPEAT_LNA_GLNA_sn2_c
37,T2DECAI_ap
38,SK_trnaser_c
39,4HBZFm
40,3OAS141_ap
41,PI34P3Pn_cho
42,SK_trnagly_c
43,NADHtap
44,NADPHtap
45,SK_trnathr_c
46,AGPATCOA_PALM_DHA_c
47,4HBZCOAFm
48,T4HCINNMtm
49,ADATT
50,3HAD121_ap
51,4CMCOAS
52,3OAS100_ap
53,SK_trnalys_c
54,ASPCTn
55,EAR120x_ap
56,T4HCINNMFM
57,SK_trnaasp_c
58,PI4P4Pn_cho
59,SK_trnaasn_c
60,COUCOAFm
61,ETHAPT_LNA_GLNA_c
62,SK_trnaala_c
63,SK_trnatyr_c
64,3OAS161_ap
65,OPHBDCm
66,PAIL_CHOtn
67,PI3P3Pnnhs
68,SK_trnaarg_c
69,3HAD120_ap
70,SK_trnagln_c
71,PNTEH
72,EAR121x_ap
73,G3PAT141_ap
74,DHNAOT7
75,3OAR121_ap
76,3OAR100_ap
77,3OAS121_ap
78,CO2tap
