,rxns_added
0,SK_trnagln_c
1,THMMPtm_cho
2,NPDPS
3,THMMPtrbc
4,OCTDPtmt
5,HBZNPT
6,ACth
7,SK_trnaval_c
8,THYOXt
9,SK_trnatyr_c
10,THMPe
11,TRIODTHYSULT
12,SK_trnaser_c
13,OPHHXm
14,NPHBDC
15,PHEMEtm
16,SK_trnacys_c
17,SK_trnapro_c
18,HMR_6834
19,TDPm
20,SK_trnathr_c
21,OPHBDCm
22,SK_trnaglu_c
23,HBZOPTm
24,SK_trnahis_c
25,SK_trnamet_c
26,SK_trnaphe_c
27,SK_trnatrp_c
28,SK_trnaleu_c
29,SK_trnalys_c
30,SK_trnagly_c
31,SO4tl
32,HMR_6854
33,SK_trnaile_c
34,SK_trnaasn_c
35,SK_trnaala_c
36,HMR_6839
37,SK_trnaasp_c
38,SK_trnaarg_c
