,rxns_added
0,CHOLtu
1,ETHAPT_OLE_EPA_c
2,LPLIPAL2G160
3,RTOT2_cho
4,EX_pnto_R_e
5,SULO
6,r1464
7,r2507
8,NADK1
9,PLDAGAT_OLE_EPA_EPA_PE_13_c
10,MCTC
11,CEPTC_18_0_18_0nhs
12,GTHRDH_syn
13,MGCHrm
14,GTHOXti
15,PLDAGAT_DHA_EPA_DHA_PC_5_c
16,LPEAT_EPA_STC_sn2_c
17,CEPTC_18_0_20_4nhs
18,GDPtmt
19,HMR_2852
20,FDH7
21,PLDAGAT_PALM_EPA_EPA_PE_10_c
22,CHOPT_OLE_STC_c
23,DHRT_ivcoa
24,RTOT_2_cho
25,PLA2PE_MYRS_LNA_c
26,MACPMT
27,MMTSAO
28,PI4P5K_LNA_PALM_c
29,PCHOL_HSternhs
30,PCADYOX
31,LPEAT_PALM_STC_sn2_c
32,PLDAGAT_HDE_MYRS_PALM_PE_10_c
33,r1007
34,AATA
35,AHCYStr
36,C204CPT1
37,CHOPT_PALM_EPA_c
38,GLCtex
39,FACOAL240pc
40,ETHAPT_HDE_PALM_c
41,LPCH160_sn1_c
42,FAOXC18C18OHm
43,5FTHFt2_1
44,PLDPC_HDE_PALM_c
45,PIP3K_PALM_EPA_c
46,PLA2PE_DHA_LNA_c
47,PCD5DS_HDE_EPA_sn2_c
48,PLDAGAT_HDE_HDE_LNA_PC_3_c
49,PLDAGAT_LNA_EPA_LNA_PC_6_c
50,4CMLCL_kt
51,ETHAPT_EPA_LNA_c
52,CHOPT_DHA_DHA_c
53,AASAD2
54,FAOXC1611402m
55,TMNDNCCPT2
56,ECOAH1
57,HIBHc
58,3OAS220_c
59,PAPA_OLE_GLNA_c
60,GALt2pp
61,HYPTROX_cho
62,AMCOXO
63,LPEAT_OLE_GLNA_sn2_c
64,PSP_L
65,HDCEAt
66,PLDAGAT_HDE_MYRS_PALM_PE_14_c
67,SPHMYLN_HsSECtnhs
68,PNTOt2
69,FAOXC5C5DCc
70,CRMtenhs
71,LPCAT_OLE_STC_sn2_c
72,NADDP
73,r2420
74,LYSLYSLYSt
75,ACAFDOR
76,PREPTHS2
77,LPEAT_DHA_ARA_sn2_c
78,CEPTCnhs
79,PLDAGAT_MYRS_EPA_ARA_PC_8_c
80,DAGAH_MYRS_DHA_c
81,PEFLIP
82,PLDAGAT_MYRS_EPA_ARA_PC_7_c
83,ECOAH2
84,NDERSVhc
85,ETHAAL
86,4CMCOAS
87,PIP3P_LNA_PALM_c
88,MUCCY_kt
89,r0441
90,EX_lyslyslys_e
91,ARACHCPT2
92,CHSTEROLt3
93,HMR_0654
94,CHOPT_STC_EPA_c
95,FASm220
96,PLDAGAT_HDE_ARA_ARA_PE_11_c
97,FRRPPDIMAS
98,HACD2
99,RE3033R
100,HMR_2190
101,PLD_SC
102,FACOAL240
103,RE0575C
104,r0432_1
105,HMR_2702
106,PLDAGAT_DHA_EPA_DHA_PE_15_c
107,HMR_3681
108,HMR_0378
109,TTDCRNt
110,MAN6Pt6_2pp
111,ECOAH5
112,MAGAH140_c
113,DAGAH_OLE_OLE_c
114,PHA
115,G3PT
116,LYSTYRILEr
117,CHOPT_EPA_STC_c
118,ETHAPT_STC_STC_c
119,PAPA_PALM_ARA_c
120,PCW3DS_DHA_ALNA_sn2_c
121,PLDAGAT_HDE_PALM_EPA_PE_10_c
122,EX_fadh2_c
123,GLCGSD
124,AMETr
125,PLA2PC_PALM_ARA_c
126,LYSLYSLYSr
127,PAPA1819Z1819Z
128,ARTPLM1
129,ELO5DPA_c
130,HOCDACBP
131,CDAPPA160
132,FA80ACPHi
133,HMR_0986
134,PIPLC_PALM_EPA_c
135,HMR_0657nhs
136,HISLYSILEt
137,PINOS
138,FASPHDCA
139,CYSDS
140,MAGAH2264Z7Z10Z13Z16Z19Z_c
