,rxns_added
0,LPLIPAL2G181
1,AGPATCOA_MYRS_EPA_c
2,SK_trnathr_c
3,FRTT2
4,CLPNS180
5,EX_ptd1ino_e
6,G3PAT180_1
7,NMNP
8,FACOAE100
9,ETHAPT_HDE_ALNA_c
10,EX_crn_e
11,FBA3
12,PLDAGAT_HDE_EPA_ARA_PC_3_c
13,FACOAE120
14,r1400
15,EX_hislysile_e
16,ILEARGILEt
17,PAPA_PALM_ARA_c
18,ACITL
19,PHEMEtm
20,PCW3DS_HDE_ALNA_sn2_c
21,EX_ileargile_e
22,SK_trnamet_c
23,FRTT
24,H2Ot
25,ILEARGILEr
26,AGPATCOA_HDE_MYRS_c
27,GLU4ABUTtmi
28,3HBCOAHL
29,LPCAT_OLE_DPA_sn2_c
30,DCTPtm_cho
31,PLDPC_HDE_ALNA_c
32,PLDPC_PALM_ARA_c
33,P5CDm
34,PLDPC_HDE_MYRS_c
35,UDPGtnic
36,EX_glycogen1500_e
37,PLDPE_MYRS_GLNA_c
38,DXTRNt
39,SACCD2
40,CHOPT_MYRS_MYRS_c
41,GTHPe
42,34HPPt2m
43,3HAO
44,LPEAT_PALM_ARA_sn2_c
45,PLDPE_MYRS_MYRS_c
46,GGGPS
47,HISD_c
48,DAGAH_DHA_DHA_c
49,PLDPC_MYRS_MYRS_c
50,FAOXC16180m
51,ARTFR202_cho
52,LPEAT_HDE_ALNA_sn2_c
53,ACChex
54,FAOXC10C10OHm
55,r2514e
56,PLDAGAT_PALM_PALM_LNA_PC_1_c
57,AATA
58,PLDAGAT_MYRS_EPA_ARA_PC_1_c
59,PLDAGAT_HDE_EPA_OLE_PC_4_c
60,SSALxm
61,4HBZFm
62,GGNG
63,ABPTA_m
64,GLBRAN
65,PCW3DS_STC_ALNA_sn2_c
66,HIBH
67,NADPHtmt
68,PLDAGAT_HDE_MYRS_LNA_PC_3_c
69,SK_trnaleu_c
70,OXGDC
71,COUCOAFm
72,PLA2PE_MYRS_MYRS_c
73,7THFtm
74,PTD1INOt
75,CLPNH160
76,r0911
77,CBPAH
78,CLPNS140
79,CITL
80,PCD4DS_OLE_DHA_sn2_c
81,LAAL15
82,ECOAH12m
83,LPCAT_STC_DPA_sn2_c
84,PCD12DS_DHA_LNA_sn2_c
85,PLA2PE_HDE_DHA_c
86,PLDAGAT_EPA_EPA_GLNA_PE_9_c
87,ETHAPT_STC_ALNA_c
88,LYSPHEILEr
89,PLDAGAT_PALM_PALM_LNA_PC_2_c
90,PLA2PE_PALM_PALM_c
91,ARTPLM3
92,NADDPe
93,PLDAGAT_PALM_PALM_GLNA_PC_5_c
94,GTHRDH_syn
95,THRTHRARGr
96,EX_adprib_e
97,SK_trnagly_c
98,HISLYSILEr
99,HMGLB
100,THRTHRARGt
101,SK_trnalys_c
102,CLPNH181
103,ECOAH12
