,rxns_added
0,NADPHtmt
1,NADKm
2,CLPNH120
3,SULO
4,3OAS181_1
5,FA80ACPHi
6,CLPNH181
7,r2034
8,ETHAPT_EPA_HDE_c
9,LPS2_18_2_18_2nhs
10,RETFAt2
11,PTD1INOt
12,RE3268R_1nhs
13,BPNT
14,LPEAT_STC_ALNA_sn2_c
15,SK_trnagly_c
16,ACOADAGAT_HDE_EPA_ARA_c
17,DPMVD2
18,ILEARGILEr
19,GMPt6
20,DAGAH1819Z1819Z
21,ACP1_FMN
22,CHRPL
23,ACP1619ZD9DS
24,PAPA_HDE_STC_c
25,PLDPC_HDE_GLNA_c
26,PPIth
27,34HPLtm
28,R07456
29,LPEAT_HDE_GLNA_sn2_c
30,UREA
31,AATA
32,ACOADAGAT_HDE_EPA_LNA_c
33,PLDPC_HDE_ALNA_c
34,MGDGS_HDE_HDE_h
35,EX_ileasnhis_e
36,PLDAGAT_HDE_EPA_ARA_PE_15_c
37,GPDDA4
38,PLDPC_OLE_ALNA_c
39,DAGAH_PALM_ARA_c
40,ARTCOAL1
41,r1146
42,GTHPe
43,DDSMSTOLD
44,HIBD
45,FTHFLi
46,4HBZFm
47,EX_avite1_e
48,POR_syn
49,PCW3DS_STC_ALNA_sn2_c
50,ETHAPT_HDE_ALNA_c
51,ETHAPT_LNA_LNA_c
52,HMGLB
53,MAGAH1619Z_c
54,PCD12DS_LNA_LNA_sn1_c
55,LYSLYSLYSr
56,HSD3A2r
57,PLDAGAT_DHA_EPA_ARA_PE_11_c
58,r1180
59,ASPTA6
60,FACOAL205
61,PGCD
62,SK_trnacys_c
63,ACOADH2
64,SACCD1
65,SK_trnaarg_c
66,SPRMt2i
67,r0987
68,PCHOLP_hsnhs
69,NNDPR
70,SUCCtmt
71,PSP_L
72,ETHAPT_EPA_ARA_c
73,NADtm
74,DHCR242r
75,PLDAGAT_PALM_EPA_LNA_PC_1_c
76,EX_ptd1ino_e
77,SK_trnapro_c
78,DHNAPHT
79,DXTRNt
80,GLDBRAN
81,LNLCt
82,GLPASE2a
83,PLDAGAT_OLE_PALM_HDE_PE_11_c
84,HMR_6647
85,PYDXO
86,GGNG
87,MAGAH160
88,r2508
89,LPEAT_HDE_ALNA_sn2_c
90,GTHRDH_syn
91,ETHAPT_HDE_ARA_c
92,HMR_6782
93,RE1441R_1nhs
94,SK_trnalys_c
95,4HBZtmt
96,PAPA_STC_ALNA_c
97,PCW3DS_OLE_ALNA_sn2_c
98,SK_trnaleu_c
99,FUMAC
100,DSMSTOLD
101,r0936
102,KYN3OX
103,GNDer
104,EAR181y_1
105,PLA2PE_PALM_PALM_c
106,PLDPC_MYRS_ALNA_c
107,DGGGPS2
108,CHOPT_LNA_LNA_c
109,EX_sprm_e
110,DMATT2
111,APSt_h
112,CHOPT_PALM_STC_c
113,PLDPC_PALM_LNA_c
114,GLU4ABUTthi
115,ADPT
116,3OAS100_1
117,DAGAH_OLE_PALM_c
118,ECOAH2_1c
119,ANDRSTNDNte
120,PLDAGAT_LNA_EPA_GLNA_PC_3_c
121,PCW3DS_MYRS_ALNA_sn2_c
122,EBP1r
123,TAGAH_HDE_HDE_PALM_c
124,RE2651R
125,ETHAPT_LNA_PALM_c
126,SK_trnaala_c
127,EX_HC00008_e
128,LPEAT_PALM_STC_sn2_c
129,G3PAT182_9_12
130,3HAO
131,TOCOPHOM1
132,NDH1_2u
133,PAPA_HDE_GLNA_c
134,CHOLtu
135,LPLIPAL2G141
136,LPEAT_MYRS_ALNA_sn2_c
137,MI4PP
138,PCD12DS_LNA_HDE_sn1_c
139,GLUDC
140,DHAP_pi_thr
141,ECOAH2c
142,RE1905R
143,UDPGtnic
144,EX_lystyrile_e
145,EX_idl_enhs
146,SK_trnaasp_c
147,PGPP_hsnhs
148,NADPtu
149,NO2th
150,TMPK
151,MMSAD1
152,RE3486C
153,ETHAPT_HDE_STC_c
154,CHOPT_OLE_HDE_c
155,FAS80ACPxym_L
156,ADPHt_h
157,MALGLUth
158,PGLc
159,RETH2
160,SK_trnaval_c
161,ANDRSTRNtr
162,GMPR
163,GLUth
164,RETH2e
165,PI4P5K_LNA_PALM_c
166,PGMfc
167,ARTFR210_cho
168,CYO1b2_syn
169,LPEAT_PALM_ARA_sn2_c
170,DAGAH_EPA_ARA_c
171,CE7083t
172,H2Ot
173,FBA
174,PLDAGAT_LNA_EPA_GLNA_PE_14_c
175,EX_ileargile_e
176,PAPA_HDE_HDE_h
177,LINOFATPtc
178,MDRPD
179,MDH_nadp_hi
180,FFSD1r
181,PCW3DS_HDE_ALNA_sn2_c
182,ETHAPT_STC_ALNA_c
183,MPBQ
184,PCLAD
185,GLGNS1
186,G3PAT1619Z_h
187,RBK
188,LYSPHEILEr
189,HKYNH
190,NADK
191,GLBRAN
192,LPS3_18_2nhs
193,FAS120ACPm
194,PPDK
195,MTAP
196,H2O2t
197,ACOAR7mc
198,ACOAR6mc
199,LPEAT_HDE_STC_sn2_c
200,MI1PP
201,BILGLCURtr
202,TRPO2
203,ETHAPT_HDE_GLNA_c
204,ACOADAGAT_DHA_EPA_ARA_c
205,LPEAT_LNA_PALM_sn2_c
206,CLPNH140
207,IDL_HSSYNnhs
208,GGGT_HDE_HDE_5_h
209,HMR_3915
210,SK_trnaphe_c
211,VITEtl
212,NH4th
213,TAG_OLE_PALM_HDEt_h
214,CDGGGPP4
215,PAPA_OLE_ALNA_c
216,ASAPTc
217,MALS
218,PLA2PE_MYRS_MYRS_c
219,FAO161p_oddc
220,AGPATACP_HDE_HDE_h
221,HXAt1
222,CLPNH161
223,RE3485C
224,GRTT2
225,CLS_hsnhs
226,CHLSTR
227,ATPS_h
228,G3PD2_1
229,PPItmt
230,DM_ficytb5_c
231,CEPTCnhs
232,T4HCINNMFM
233,SK_trnaile_c
234,LPCAT_STC_STC_sn2_c
235,RE3289R
236,LYSTYRILEr
237,CLPNH160
238,AMCOXO
239,RHACOAR80
240,ACOADAGAT_PALM_EPA_LNA_c
241,SULR_ferr
242,SACCD2
243,GTHAMPORh
244,RE3491C
245,DAGAH_EPA_HDE_c
246,ACth
247,FA180h
248,HDL_HSSYNnhs
249,DKMPPD2
250,PI5P3Kernhs
251,EX_dxtrn_e
252,HGPHT
253,GDR_nadp_h
254,SK_trnathr_c
255,r0841
256,AASAD2
257,FAS160ACPm
258,PIPLC
259,PYC_h
260,LYSLYSLYSt
261,3HAACOAT80
262,DGDGS1819Z160
263,PLDAGAT_HDE_EPA_LNA_PE_13_c
264,LYSTYRILEt
265,HBZOPTm
266,LPS2nhs
267,DAGAH_HDE_ARA_c
268,CBFC_u
269,GGGPS
270,HACD2i
271,DAGAH_OLE_ARA_c
272,DAGK_PALM_LNA_c
273,MTHFC
274,ILEASNHISt
275,O2tm
276,PCD6DS_OLE_GLNA_sn2_c
277,NTRIR3ppc
278,ACITL
279,PEFLIP
280,PLDPC_HDE_STC_c
281,ETHAPT_OLE_ALNA_c
282,ETHAPT_MYRS_ALNA_c
283,r1290
284,r1173
285,r2507
286,PLDPC_OLE_GLNA_c
287,LTHSTRLtr
288,DPMVD
289,MTRI
290,PAPA_OLE_PALM
291,AGPAT182_9_12
292,FA180ACPHi
293,ETHAPT_PALM_ARA_c
294,SK_trnaasn_c
295,PLDPE_LNA_HDE_c
296,SUCBZS
297,CO2tmt
298,FACOAE60
299,ICHORS
300,MTHFR5
301,PLDPC_MYRS_EPA_c
302,HCO3_h_thi
303,PLDAGAT_PALM_HDE_HDE_PE_16_c
304,BPNT2
305,MACACI
306,QMO2
307,TAG_HDE_HDE_PALMt_h
308,THRASNTYRt
309,BILGLCURte
310,PCW3DS_MYRS_EPA_sn2_c
311,EX_CE7083_e
312,ILEASNHISr
313,FACOAE80
314,EX_thrasntyr_e
315,PLDPC_LNA_HDE_c
316,HMR_2014
317,EX_ldl_enhs
318,GTHOXti
319,ARTCOAL2_cho
320,PLDAGAT_PALM_EPA_LNA_PC_4_c
321,FA160ACPH_m
322,HGNTOR
323,PAPA_MYRS_ALNA_c
324,HMR_2368
325,METHFtxc
326,PLA2PE_STC_OLE_c
327,PLDPE_OLE_GLNA_c
328,ARTFR41_cho
329,LPCAT_MYRS_ARA_sn2_c
330,HSD17B2r
331,ETHAPT_OLE_ARA_c
332,H2Othu
333,TOCOPHS1
334,SK_trnagln_c
335,ACChex
336,FRUt1r
337,DAGAH_PALM_LNA_c
338,ATAMh
339,DAGAH_OLE_HDE_c
340,FUMtm
341,LPLIPAL1A140
342,HIBHr
343,COUCOAFm
344,ARGDh
345,P45019A1r
346,LPLIPAL2G181
347,SR5AR2r
348,PLIPA2E181
349,EX_HC00006_e
350,AHHST
351,4HBZCOAFm
352,SK_trnamet_c
353,QUILSYN
354,PGPPTnhs
355,OPHHXm
356,PAPA1801819Z
357,SO4tl
358,ACP1819ZD9DS_h
359,PSERT
360,CBL
361,G6Pt6er
362,ACOAR2mc
363,EX_lyspheile_e
364,MI14PP
365,PLDAGAT_HDE_MYRS_HDE_PE_11_c
366,PHEMEtm
367,RE3273C_1nhs
368,EX_hdl_enhs
369,GLYO1
370,AACPDAGAT_HDE_HDE_PALM_h
371,SK_trnatyr_c
372,RDH3a
373,ILEARGILEt
374,LPEAT_OLE_ARA_sn2_c
375,AM6SAD
376,EX_fadh2_c
377,GLPASE1
378,ANXANOR
379,FACOAE100
380,CDGGGS2
381,HISD_c
382,MI145PP
383,SK_trnatrp_c
384,NH4t
385,LPLIPAL2G120
386,PLDPC_STC_ALNA_c
387,HCO3E
388,LAAL15
389,PIPLC_LNA_PALM_c
390,HACD1
391,AACPDAGAT_OLE_PALM_HDE_h
392,ETHAPT_PALM_STC_c
393,HXCOAm
394,PLDPC_LNA_LNA_c
395,LPEAT_OLE_ALNA_sn2_c
396,PLDAGAT_HDE_MYRS_HDE_PE_16_c
397,HMR_2016
398,ACCOAC_h
399,PINOS
400,EX_HC00004_e
401,RTOT_2_cho
402,HEXCOAACBP
403,ACOAD1z
404,MCITLmc
405,LPLIPAL2G160
406,LPS3nhs
407,ACS_h
408,EX_lyslyslys_e
409,OPHBDCm
410,FRTT2
411,MCOATA_1
412,PAPA_HDE_ALNA_c
413,SHCHCS
414,EX_thmmp_e
415,DSMSTOLR
416,PMTCOAtm
417,SK_trnaser_c
418,HMR_1897
419,THMMPt4_1
420,NPHS
421,FAS100ACPm
