,rxns_added
0,FPGS7
1,ACOAD4_1
2,HMGLB
3,LYSTYRILEt
4,PSP_L
5,HTDCACBP
6,HPROym
7,CITACt
8,CITRt2m
9,r2378
10,TRPO2
11,4HPRO_LTtm
12,CHSTEROLt3
13,HIBD
14,FPGS5m
15,RE0575C
16,GPDDA4
17,ARTPLM1
18,VALDHr
19,RE0579C_1
20,ACth
21,NTRIR3ppc
22,FAOXC18C18OHm
23,MMSAD1
24,3HAO
25,MAGAH1819Z_c
26,EX_cbl1_e
27,HMR_2211
28,CBPAH
29,EX_lystyrile_e
30,HMR_2190
31,AMCOXO
32,r1636
33,3HAACOAT120
34,ECOAH3_1c
35,PTRCtex2
36,EX_lyslyslys_e
37,SACCD1
38,CBL1abc
39,DBRC
40,FACOAE180
41,UREA
42,EX_asntyrthr_e
43,PYDXO
44,PUNP3
45,H2Ot
46,HDCEAt
47,PUNP1
48,O2tp
49,NADH_h_tx
50,LYSLYSLYSr
51,HOCDACBP
52,r2412
53,ADOCBLS
54,LPLIPAL2G160
55,ECOAH6m
56,FKYNH
57,PAPA_OLE_PALM
58,RIBFLVt3o
59,ACACT5r_1
60,GLYtx
61,NNDMBRT
62,HISD_c
63,MCITLmc
64,FACOAL240pc
65,FAOXC1611402m
66,FA80ACPHi
67,THRTHRARGt
68,G3PT
69,FPGS9
70,MLTHFtm_1
71,PGCD
72,DAGAH_OLE_PALM_c
73,C226CPT1
74,NADPPPS
75,EX_lyspheile_e
76,SACCD2
77,ACOADH2
78,AATA
79,EX_5fthf_e
80,r0686
81,NADDP
82,CHSTEROLt2
83,3HAACOAT100
84,5FTHFt2_1
85,7DHFtm
86,KYN3OX
87,ILEARGILEr
88,DDPGAm
89,10FTHF7GLUtm
90,FACOAE141
91,ATAMh
92,LYSPHEILEr
93,ACBIPGT
94,CARN160t_m
95,FPGS8m
96,NTRIR4ppc
97,KAT4
98,ARACHCRNt
99,CARN1839Z12Z15Zt_m
100,PPItm
101,ARACHCPT2
102,ACCOAth
103,LPLIPAL2E141
104,RE0574C
105,HMR_2210
106,NADPHtmt
107,ARTFR207_cho
108,HMR_2611
109,FAOXC226
110,HMR_0201
111,AMPt_m
112,EX_ileargile_e
113,FA100ACPHi
114,P5CDm
115,NH4t
116,NMNS
117,HACD4
118,RE0571C
119,PDYXPT_c
120,GLYOp
121,ACACT6pc
122,ARTCOAL1
123,AGDI_1
124,CITL
125,ARACHCPT1
126,LYSTYRILEr
127,RE0576C
128,r0911
129,ASNTYRTHRt
130,HACD8
131,FPGS7m
132,ASPTA6
133,HKYNH
134,r2377
135,FPGS6
136,HCO3E
137,HXAt
138,RHACOAR80
139,EX_thrthrarg_e
140,PSERT
141,3HAACOAT80
142,FPGS6m
143,ARTFR213_cho
144,GMPt6
145,CBLAT
146,r1923
147,NADtpu
148,LYSLYSLYSt
149,HIBHr
150,NCNt
151,EHGLAT2m
152,HACD3
153,RZ5PP
154,ILEARGILEt
155,FPGS5
156,FACOAL240
157,FPGS9m
158,LYSPHEILEt
159,AM6SAD
160,PYR5CDm
161,r2514m
162,ACOAR7mc
163,ADPT
164,RHACOAR100
165,EX_ribflv_e
166,PRO1xm
167,MALSm
168,H2Otp
169,GLXO2p
170,PCLAD
171,ACITL
172,AASAD2
173,ACS_h
174,ACOAR3mc
175,FAOXC200180m
176,RE0570C
177,LPLIPAL2E160
178,THRTHRARGr
179,MDHm
180,TTDCPT1
181,RTOT2_cho
182,RHACOAR120
183,C226CRNt
184,FPGS4_1
185,HACD6
186,C226CPT2
187,FPGS8
