,rxns_added
0,PI34P5K_cho
1,FAOXC1611402m
2,FBA3
3,PIP5P_PALM_LNA_c
4,AATA
5,HMR_0906nhs
6,r1109
7,GBBOX_m
8,FACOAE60
9,HMR_0907nhs
10,HISLYSILEt
11,OANTS
12,EHGLAT2m
13,FKYNH
14,MAGAH160
15,SACCD1
16,TMABDH1_m
17,HMGCOAS
18,ACOADAGAT_HDE_EPA_DHA_c
19,UDPGtnic
20,LYSPHEILEr
21,ACOADAGAT_DHA_EPA_DHA_c
22,LPS2_cho
23,MM3
24,PLA2PE_PALM_PALM_c
25,PLDAGAT_MYRS_EPA_LNA_PE_16_c
26,EX_amet_e
27,FPGS7_1
28,MMMm
29,ACNPLYS
30,DLNLCGCRNt
31,EX_ahcys_e
32,PLDAGAT_LNA_EPA_LNA_PC_3_c
33,HMR_0878nhs
34,ETHAPT_OLE_EPA_c
35,HKYNH
36,CO2tmt
37,PCLAD
38,PCHOLHSTDe_1nhs
39,PAIL_CHOtn
40,LYSLYSLYSt
41,HMR_0889nhs
42,ADPRDP
43,PLIPA2A141
44,LYSTYRILEr
45,ETHAPT_OLE_DHA_c
46,HACD1m
47,r1464
48,CHSTEROLt3
49,GTHRDH_syn
50,PAPA_HDE_GLNA_c
51,PYDXO
52,ARTFR213_cho
53,CHOPT_MYRS_HDE_c
54,NH4t
55,CEPTCnhs
56,G3PT
57,HMR_0909
58,ACOADAGAT_HDE_PALM_EPA_c
59,BFFS
60,EX_glcman600_e
61,LYSLYSLYSr
62,CTECOAI8
63,PCm
64,EX_gq1b_hs_e
65,PAPA180
66,DAGAH_OLE_EPA_c
67,PLDAGAT_HDE_PALM_EPA_PE_13_c
68,CHOPT_DHA_DHA_c
69,GHMT3m
70,CFAS180
71,EX_11_cis_retfa_e
72,ACOADH2
73,MG1A
74,DAGAH_PALM_LNA_c
75,LPCH140_sn1_c
76,ECOAH4
77,AGPAT1_1nhs
78,PLA2PE_STC_HDE_c
79,HISLYSILEr
80,ARTPLM3
81,DAGAH_MYRS_DHA_c
82,EX_idl_enhs
83,ETHAPT_DHA_DHA_c
84,TAGtnhs
85,MTHFD_1
86,HMR_0837nhs
87,DAGAH_OLE_OLE_c
88,DAGAH_MYRS_GLNA_c
89,MG3B
90,HCO3E
91,LPS3e_cho
92,EX_HC00009_e
93,DAGPYP_SC
94,EX_ileargile_e
95,FA182ACPH
96,LPLIPAL2G160
97,HACOADr
98,PGPPT_cho
99,CMPDAi
100,ILEARGILEt
101,ECOAH4m
102,FADDP
103,LPEAT_HDE_ALNA_sn2_c
104,HMR_0854nhs
105,PHCD
106,GQ1Btenhs
107,MCITLm
108,GMPR
109,H2Ot
110,ETHAPT_HDE_GLNA_c
111,EX_retinol_cis_11_e
112,PI34P3P
113,FAOXC6C4m
114,LNLNCGCPT1
115,PLIPA2A181
116,GAT1_LLA
117,TMLOX_m
118,FAOXC181C161m
119,PAPA_HDE_ALNA_c
120,ACOAD5_1
121,ARTFR205_cho
122,LPCAT_DHA_EPA_sn2_c
123,GTHPe
124,CHOPT_DHA_EPA_c
125,EX_HC00005_e
126,PI45BPP
127,OCOAT1m
128,SPS
129,r0911
130,DOLDPP
131,IDL_HSSYNnhs
132,PI345P3P_cho
133,GPAM_1nhs
134,LPCAT_HDE_MYRS_sn2_c
135,METS
136,ARTPLM1
137,DAGAH_HDE_HDE_c
138,PLD_SC
139,CHOPT_STC_HDE_c
140,LPLIPAL1A141
141,DOLMANP_ter
142,PIPLC_PALM_LNA_c
143,KAT6
144,ETHAPT_MYRS_GLNA_c
145,DOLPGT3
146,NADPHtmt
147,H2O2t
148,HMGLB
149,ETHAPT_HDE_DHA_c
150,DCTPD2
151,PLIPA2A120
152,GLCMAN6abc
153,A3GALT4
154,HPROymc
155,HCO3Em
156,PPAPnhs
157,CHOPT_OLE_OLE_c
158,G1PPDM
159,MAGt_cho
160,r0686
161,EX_hislysthr_e
162,EX_lyspheile_e
163,GBPS
164,5FTHFt2_1
165,ACACT5r_1
166,DAGAH_PALM_PALM_c
167,LYSTYRILEt
168,MTHFCm_1
169,NEU22nhs
170,DOLPGT1
171,CITL
172,DMBZIDS
173,HMR_0908
174,HCYSMT
175,PRO1xm
176,PLBPC_SC
177,ETHAPT_DHA_LNA_c
178,GPDDA4
179,ACP1_FMN
180,AATHA
181,MAGAH2264Z7Z10Z13Z16Z19Z_c
182,MMSDHir
183,CITACt
184,GLS2e
185,HDCACBP
186,PIP4K_LNA_LNA_c
187,DAGK181
188,PLDAGAT_EPA_EPA_DHA_PC_1_c
189,PLDAGAT_PALM_EPA_LNA_PE_11_c
190,ECOAH1m
191,GHMT3
192,GLCMAN600b_e
193,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
194,G3PCt
195,ACPS
196,GLUCAN2abc
197,AGAKIc
198,4HPRO_LTtm
199,ATPt_m
200,DOLPMT1
201,DLNLCGCPT1
202,RIBFLVt3o
203,TREH
204,HMR_3426
205,AASAD1
206,FAOXC1811602m_1
207,10FTHF5GLUtm
208,PIPLC_LNA_LNA_c
209,PCD12DS_LNA_OLE_sn1_c
210,FBA
211,LYSPHEILEt
212,ACOAR4mc
213,ACPS2
214,ASPTA
215,LPSnhs
216,PLDAGAT_EPA_EPA_DHA_PE_15_c
217,FADtm
218,DAGAH_OLE_HDE_c
219,HYXNt
220,ILEARGILEr
221,PIP4K_PALM_LNA_c
222,ASPTA6
223,ETHAPT_HDE_ALNA_c
224,AGAT_LLA
225,FABM2
226,PLBPC_SCe
227,DAGAH_HDE_LNA_c
228,GLYt2m
229,HMR_0362
230,EX_ribflv_e
231,MTHFR3_1
232,GART
233,HODHL8
234,PGCD
235,DAGAH_HDE_DHA_c
236,DOLK
237,HMR_0876nhs
238,PS_asn__L_c
239,ETHAPT_HDE_LNA_c
240,CTECOAI6
241,FA100ACPHi
242,DAGK120
243,MAGtnhs
244,HMR_3864
245,EX_lyslyslys_e
246,PI4PP_cho
247,PAPA18111Z1819Z
248,PSP_L
249,MMTSADm
250,PLDAGAT_MYRS_EPA_DHA_PC_7_c
251,ETHAPT_STC_DHA_c
252,CDIPTr_cho
253,ACChex
254,ETHAPT_STC_HDE_c
255,ECOAH12
256,LNLNCGCPT2
257,DCSPTN1CRNt
258,GTHOXti
259,EX_pc_SC_e
260,4HPROtg
261,PLDAGAT_PALM_EPA_LNA_PC_8_c
262,DBRC
263,ETHAPT_HDE_HDE_c
264,LNLNCGCRNt
265,HISLYSTHRt
266,TMLt_m
267,CLPNH180
268,PLDAGAT_OLE_EPA_DHA_PE_15_c
269,HMR_0890nhs
270,FAOXC8C6m
271,PEFLIP
272,UAG2EMA
273,AMCOXO
274,LPLIPAL2G180
275,PLDAGAT_HDE_HDE_LNA_PC_8_c
276,MMSAD1m
277,MG2Ac
278,r2514m
279,GLYO1
280,PLA2PE_PALM_ALNA_c
281,HISD_c
282,EX_lystyrile_e
283,TRPO2
284,NEU23nhs
285,ARTFR208_cho
286,DOLPMT2
287,NMNDA
288,PLDAGAT_HDE_HDE_LNA_PC_3_c
289,MG2Bc
290,ECOAH5_1
291,EX_glucan1500_e
292,PLDAGAT_HDE_EPA_DHA_PE_11_c
293,NTRIR4ppc
294,B2ARAT1
295,ARTFR41_cho
296,HMR_4957
297,DOLPMTcer
298,PLDPC_HDE_ALNA_c
299,PLDAGAT_MYRS_EPA_LNA_PC_4_c
300,CLS_cho
301,GLCMAN6
302,OCDCYAt
303,HACD5i
304,DAGK141
305,HISLYSTHRr
306,ACPpds
307,PLA2PC_STC_DHA_c
308,AHCYSte
309,MAGAH1819Z_c
310,AM6SAD
311,PI4P5K_LNA_LNA_c
312,A3GALT2
313,CITabc
